Tag1,Tag2,Num_Occurrence
7-segment,multiplexer,3
arduino-yun,linux,13
button,display,3
johnny-five,rfid,1
processing-lang,servo,2
input,led,6
code-review,rs485,1
ds18b20,mkr1000,1
arduino-leonardo,esp8266,2
hardware,remote-control,1
mosfet,pins,2
mpu6050,pull-up,1
arduino-mega,power,46
c++,ethernet,9
c++,electronics,4
adc,sleep,1
data-type,string,2
avr,avr-toolchain,6
gsm,softwareserial,27
arduino-micro,arduino-uno,16
arduino-micro,softwareserial,3
heat,motor,3
arduino-yun,sketch,7
arduino-uno,baud-rate,14
frequency,tmrpcm,1
arduino-mega,pcb-design,3
android,serial-data,1
atmega2560,pins,1
esp8266,mac-os,3
keyboard,pins,2
arduino-uno-smd,debugging,1
arduino-uno,convert,6
atmega32u4,sleep,2
arduino-mega,fat,2
current,pull-up,2
display,shift-register,2
esp8266,shields,5
fedora,teensy,1
arduino-mega,uploading,11
lcd,progmem,1
arduino-nano,wifi,5
arduino-mega,ir,5
prototype,shields,2
arduino-ide,code-optimization,9
ubuntu,usb,2
arduino-yun,library,1
memory,sd,1
hardware,input,4
button,switch,11
arduino-uno,ethernet,114
flash,sensors,1
c++,core-libraries,4
debugging,i2c,3
arduino-uno,rx-pin,5
arduino-uno,h-bridge,15
c++,max6675,1
home-automation,wifi,1
gps,serial,19
robotics,sensors,17
flash,spi,3
electricity,programming,1
arduino-ide,bluetooth,11
arduino-ide,power,1
max7219,spi,1
digital,power,2
millis,nodemcu,1
arduino-due,arduino-duemilanove,2
library,object-oriented,1
arduino-micro,keyboard,5
oscillator-clock,timing,2
arduino-uno,l298n,15
serial,virtualwire,2
interrupt,joystick,2
c,compilation-errors,1
ui,wifi,1
current,power,32
motor,rf,2
electricity,fuses,1
resistor,usb,1
power,sd,1
sensors,xbee,5
atmega328,compile,1
emulation,flash,1
pid,timers,1
input,loop,1
adc,float,1
programming,usbasp,1
bno055,imu,1
library,sd,1
json,thingspeak,1
button,c,2
port-mapping,timing,1
arduino-mega,system-design,3
adafruit,atmega328,2
analogread,ethernet,1
c,nrf24l01+,2
arduino-pro-micro,isp,2
datalogging,i2c,1
arduino-uno-smd,softwareserial,1
c++,thermocouple,1
assembly,pwm,1
raspberrypi,teensy,1
1-wire,arduino-mega,2
buzzer,sensors,1
bluetooth,keyboard,6
arduino-nano,pins,8
arduino-uno-smd,ethernet,1
hardware,rf,1
arduino-yun,time,1
