Tag1,Tag2,Num_Occurrence
boeing-737,winglets,4
airspeed,autopilot,1
airbus-a320,attitude,1
boeing,noise,1
airline-operations,terminology,3
lift,propeller,6
aircraft-design,panavia-tornado,3
procedure,v-speeds,1
aircraft-design,icao-recommendations,1
apu,feature-identification,1
climb,flight-planning,2
airport,wind,2
airbus-a320,refueling,1
incidents,website,1
inlet,shock-waves,1
incidents,online-tracking,1
drag,fuel-consumption,1
airspeed,propeller,1
fms,inertial-nav-system,2
accidents,acs-pressurization,1
datasets,radar,1
international,student-pilot,1
boeing-787,vertical-speed,1
flight-testing,icao-sarps,1
aircraft-physics,reynolds-number,1
aviation-history,cabin-pressure,2
airlines,international,1
flight-path,regulations,1
cargo,night-flying,1
engine,fighter,1
airline-operations,casa-regulations,1
airplane,electric-engine,1
flight-simulator,trainer,1
legal,notam,1
altimeter,radio,1
engine,geared-turbofan,1
head-of-state-transport,missiles,1
aircraft-systems,caa-uk-regulations,1
thrust,unmanned-aerial-vehicle,1
china,pakistan,1
fuel-tanks,general-aviation,2
approach,dc-4,1
ch-47,sensors,1
aircraft-maintenance,glider,1
air-traffic-control,pirep,1
aircraft-operations,closed-runways,1
ailerons,spoilers,2
cruise,pilots,4
aircraft-ownership,ppl,1
air-traffic-control,air-traffic-management,8
emergency,pitch,1
airbus-a320,pilots,1
lightning,static-electricity,2
airbus,flight-instruments,3
ailerons,aircraft-systems,2
aircraft-systems,piston-engine,13
aircraft-certification,type-ratings,1
efficiency,ferry-flight,1
faa-regulations,paint,1
aircraft-development,lightning,1
airbus,economics,1
air-traffic-control,checklist,1
mig-23,military,1
airport,landing,13
airbus,autopilot,7
ils,radio-communications,1
aircraft-performance,general-aviation,10
online-tracking,website,2
airport-lighting,faa,1
emergency-procedures,flight-instruments,2
airbus-a320,weather,2
inlet,scramjet,1
noise-reduction,unmanned-aerial-vehicle,1
cessna-150,cessna-208,1
battery,safety,3
cargo,weight-and-balance,5
australia,flight-attendant,1
airline-operations,transatlantic,1
noise,turbofan,2
gyroscopic-instruments,unmanned-aerial-vehicle,1
takeoff,weather,1
panavia-tornado,thrust-reverser,1
aircraft-maintenance,piston-engine,16
fire,pilot-technique,1
aircraft-structures,airframe,1
aviation-history,bomber,2
airport-design,security,1
aircraft-design,engineer,1
cpl,easa,1
commercial-operations,datasets,1
general-aviation,weight,1
airship,faa-regulations,1
aircraft-performance,f-14,1
autopilot,engine-failure,1
reynolds-number,wind-tunnel,1
emergency,maneuver,3
pushback,radio-communications,2
cabin-design,windows,3
instrument-flight-rules,preflight,1
flaps,pilots,1
aircraft-operations,flight-simulator,1
airspeed,flight-controls,1
airbus-a320,winglets,1
cabin,oxygen-mask,1
airliner,mid-air-refueling,2
aircraft-performance,etops,1
g-forces,military,1
aircraft-performance,drag,8
air-traffic-control,traffic-pattern,13
medical,time,1
safety,static-electricity,3
aircraft-performance,flight-training,2
engine-failure,hydraulic-system,1
air-traffic-control,faa,21
safety,unmanned-aerial-vehicle,5
aircraft-design,icing,3
airliner,ryanair,1
airliner,cell-phone,2
flight-level,flight-planning,1
aerodynamics,maneuver,8
flight-planning,fss,2
approach,clearance,2
airport,stall,1
aircraft-manufacturer,aircraft-purchase,2
aircraft-operations,braking,1
display,waypoint,1
aircraft-lighting,aircraft-maintenance,1
missile-lock,piston-engine,1
logging,terminology,1
airspeed,pilots,1
easa-regulations,france,2
experimental-aircraft,wind,1
aircraft-physics,rotorcraft,1
flight-path,flight-tracking,2
aircraft-design,aircraft-development,8
airman-certification,flight-training,12
fuel,ryanair,1
flight-controls,wake-turbulence,1
aircraft-maintenance,airline-operations,11
faa-approval,military,1
ornithopters,wing,2
fuel-dumping,weight-and-balance,1
chicago-convention,closed-runways,1
cessna-172,radio,1
