Tag1,Tag2,Num_Occurrence
etiquette,twilight-imperium,1
game-accessories,online,2
canasta,variants,1
blueprints,house-rules,1
dominion-hinterlands,dominion-seaside,1
mtg-commander,mtg-indestructible,1
online,werewolf,1
catan,cheating,1
deck-building,game-design,1
forbidden-island,house-rules,1
dominion-intrigue,house-rules,1
magic-the-gathering,notation,1
luck,mtg-drafting,1
carcassonne,online,1
twilight-imperium-3rd-edition,two-player,1
mtg-competitive-rel,mtg-regular-rel,4
notation,poker,1
balance,little-dungeon,1
axis-and-allies,house-rules,12
statistics,tournament,2
professional,study,1
axis-and-allies,game-design,1
house-rules,ora-et-labora,1
house-rules,spades,3
duplicate-bridge,scoring,1
7-wonders,7-wonders-leaders,11
magic-the-gathering,mtg-multiplayer,31
arkham-horror-curse-of-dark-pharaoh,edition-comparison,1
board-game-adaptations,dice,1
agricola,handicap,1
copyright,warhammer-fantasy,1
dice,poker-dice,1
statistics,warhammer-fantasy,1
fluxx,luck,1
magic-the-gathering,variants,1
etiquette,house-rules,4
bidding,monopoly,1
computer-ai,rank,1
online,ticket-to-ride,2
house-rules,space-hulk,2
cooperation,recommendations,4
balance,descent,1
dominion-cornucopia,dominion-prosperity,1
chess,positional-judgement,1
bridge,spades,1
arkham-horror,elder-sign,2
tau,warhammer-40k,12
mtg-drafting,sealed-deck,3
coup,house-rules,1
luck,sealed-deck,1
crayon-rail-games,variants,1
play-time,variants,1
history,lost-cities,1
dominoes,identify-this-game,1
boss-monster,expansions,1
android-netrunner,tactics,1
combinatorial-games,game-design,1
eldritch-horror,eldritch-horror-the-dreamlands,1
backgammon,teaching,1
dc-comics-deck-building,dc-comics-deckbuilding-crisis,2
paris-connection,probability,1
computers,ko,1
board-size,game-theory,1
edition-comparison,nosferatu,1
magic-the-gathering,recommendations,1
house-rules,variants,6
game-design,online,1
eclipse,house-rules,1
house-rules,probability,1
age-of-sigmar,warhammer-fantasy,3
pandemic,pandemic-state-of-emergency,3
online,othello,1
end-game,professional,1
magic-the-gathering,mtg-professional-rel,3
belote,end-game,1
history,hnefatafl,1
balance,turn-order,1
call-of-cthulhu-lcg,game-of-thrones-card-game,1
game-design,spades,1
poker-texas-holdem,scoring,2
openings,scythe,1
dc-comics-deck-building,house-rules,1
recommendations,star-wars-x-wing,1
mahjong,professional,1
othello,terminology,1
balance,bang,2
dice,yahtzee,1
luck,skill,4
boggle,game-design,1
fluxx,house-rules,3
history,poker,1
house-rules,rorys-story-cubes,1
end-game,etiquette,2
monopoly,trading,2
mtg-commander,mtg-tiny-leaders,1
house-rules,titan,1
modelling,warhammer-fantasy,1
elder-sign,eldritch-horror,1
chess,online,1
balance,dominion,1
forbidden-island,two-player,1
notation,poker-texas-holdem,1
go,leela,2
computer-ai,leela,1
agricola,agricola-goodies,5
ancient-board-games,xiangqi,1
board-game-adaptations,puzzles,1
deadlands-doomtown,doomtown-reloaded,1
game-design,ticket-to-ride,1
chess,rank,1
dice,prototyping,1
openings,roll-through-the-ages,1
house-rules,san-juan,1
game-design,tales-of-arabian-nights,1
combinatorial-games,othello,2
chess,game-design,2
card-sleeves,thunderstone,1
house-rules,kids,2
handicap,house-rules,6
pandemic,pandemic-in-the-lab,5
components,go,3
influence,thickness,2
etiquette,go,1
game-design,house-rules,4
blackjack,casino,3
card-sleeves,judge-dredd,1
bridge,fit,1
twilight-imperium,variants,1
legal,magic-the-gathering,1
ios,magic-duels,1
bridge,duplicate-bridge,9
age-of-steam,house-rules,2
go,mahjong,1
board-game-adaptations,risk,1
go,shape,2
go,ios,1
mtg-double-faced-cards,mtg-planeswalkers,1
bridge,terminology,3
magic-the-gathering,yu-gi-oh,3
betrayal-at-house-on-the-hill,custom-game-pieces,1
backgammon,statistics,3
house-rules,munchkin,5
magic-the-gathering,playing-cards,3
card-sleeves,cash-n-guns,1
bridge,online,1
history,house-rules,1
cribbage,scoring,4
end-game,scrabble,1
dice,rorys-story-cubes,1
dominion,dominion-renaissance,2
game-design,game-development,19
board-game-adaptations,catan-cities-and-knights,1
game-theory,tic-tac-toe,3
chess,mahjong,1
hearts,online,1
kingdom-builder,openings,1
game-development,professional,1
acquire,edition-comparison,1
balance,death-angel,1
board-game-adaptations,catan,1
dungeonquest,probability,1
dominion,shuffling,1
catan,expansions,5
dominion-alchemy,dominion-promotional,1
copyright,mechanics,1
dominion-prosperity,dominion-seaside,5
mahjong,online,1
boggle,variants,2
board-game-adaptations,identify-this-game,1
game-design,othello,2
king-of-new-york,king-of-tokyo,1
7-wonders,reference,1
expansions,puerto-rico,1
dc-comics-deck-building,dc-comics-deck-building-rivals,1
chess,house-rules,1
dice,monopoly,1
edition-comparison,pandemic,1
cards-against-humanity,print-and-play,1
game-design,probability,3
blokus,openings,1
lords-of-waterdeep,variants,1
magic-the-gathering,storage,5
machi-koro,reference,1
components,game-design,4
house-rules,luck,5
house-rules,statistics,1
variants,war,1
alhambra,tactics,1
catan,etiquette,2
go,tsumego,15
game-of-thrones-card-game,star-wars-lcg,1
game-design,poker,1
blackjack,card-counting,4
online,titan,1
counting,terminology,1
game-lore,warhammer-40k,1
probability,star-realms,1
house-rules,phase-10,1
axis-and-allies,variants,2
18xx,teaching,1
game-theory,othello,1
custom-game-pieces,party,1
tales-of-arabian-nights,variants,1
magic-the-gathering,mtg-double-faced-cards,25
end-game,seki,1
statistics,uno,1
checkers,house-rules,2
mechanics,recommendations,3
etiquette,euchre,1
balance,openings,1
castle-ravenloft,variants,1
monopoly,probability,2
openings,quatro,1
bang,bang-dodge-city,1
dominion,trashing,3
galaxy-trucker,statistics,2
identify-this-game,monopoly,1
mtg-commander,probability,1
carcassonne,game-theory,1
magic-the-gathering,mtg-tiny-leaders,1
gin,scoring,1
mordheim,warhammer-fantasy,2
crazy8s,identify-this-game,1
chess,teaching,5
dominion-intrigue,dominion-promotional,1
house-rules,pokemon,2
catan,catan-traders-and-barbarians,6
dc-comics-deckbuilding-crisis,house-rules,1
android-netrunner,play-time,1
scoring,shark,1
aesthetics,goban,2
free-cell,statistics,1
house-rules,star-wars-imperial-assault,1
computers,game-design,1
crokinole,house-rules,1
deck-building,smash-up,1
end-game,probability,1
identify-this-game,scoring,1
identify-this-game,variants,2
game-of-thrones,house-rules,5
agricola,puerto-rico,1
deck-building,mage-wars,1
house-rules,splendor,1
tactics,zombicide-black-plague,1
go,kifu,2
antike,openings,1
avalon-hill,pricing,1
saboteur,saboteur-2,2
axis-and-allies,axis-and-allies-mini,1
etiquette,rummy,1
deck-building,playing-cards,1
mahjong,riichi-mahjong,11
balance,house-rules,9
diplomacy,recommendations,2
probability,risk-legacy,1
eldritch-horror-mountains-madness,eldritch-horror-under-the-pyramids,1
button-men,probability,1
magic-the-gathering,mtg-commander-damage,8
poker-texas-holdem,split,1
carcassonne,carcassonne-catapult,2
pinochle,terminology,1
catan,catan-explorers-pirates,1
elder-sign,mansions-of-madness,1
khet,openings,1
openings,positional-judgement,1
carcassonne,scoring,1
bidding,bridge,106
miniatures,zod,1
dungeon-run,tactics,1
catan,monopoly,2
modelling,warhammer-40k,1
dice,risk-express,1
bidding,euchre,1
mtg-commander,mtg-planeswalkers,1
barbarian-prince,statistics,3
cosmic-encounter,diplomacy,1
playing-cards,terminology,1
house-rules,small-world,1
poker-texas-holdem,terminology,1
pit,variants,1
go,ko,9
online,pathfinder-adventure,1
citadels,house-rules,3
arkham-horror,expansions,3
go,positional-judgement,1
expansions,pandemic-in-the-lab,1
castle-ravenloft,dnd-adventure-system,5
magic-the-gathering,shuffling,5
archipelago,archipelago-solo-exp,2
board-size,game-design,4
innistrad,magic-the-gathering,3
handicap,kids,1
house-rules,werewolf,2
playing-cards,tactics,1
arkham-horror,game-accessories,2
expansions,magic-the-gathering,2
probability,statistics,5
edition-comparison,expansions,1
board-size,othello,1
hanabi,house-rules,1
etiquette,warhammer-fantasy,1
dnd-adventure-system,variants,1
magic-the-gathering,mtg-two-headed-giant,18
illuminati,recommendations,1
cheating,game-design,2
chess,notation,2
empire-builder,variants,1
dominion,playing-cards,2
puerto-rico,san-juan,2
etiquette,magic-the-gathering,3
board-size,chess,1
bridge,ethics,4
game-development,storage,1
online,phase-10,1
dominion,dominion-empires,1
chinese-checkers,history,1
catan,catan-cities-and-knights,26
balance,risk,1
magic-the-gathering,mtg-cube,7
game-development,risk,1
agricola,agricola-farmers-of-the-moor,4
counting,seki,1
board-game-adaptations,game-theory,1
balance,ticket-to-ride,1
game-design,icehouse,1
elder-sign,house-rules,1
playing-cards,probability,2
invasion,joseki,1
agricola,bohnanza,1
edition-comparison,variants,1
luck,magic-the-gathering,2
mechanics,space-alert,1
bidding,teaching,1
party,scattergories,1
cooperation,dungeon-run,1
bridge,recommendations,1
mechanics,prototyping,2
house-rules,machi-koro,1
components,puerto-rico,1
magic-the-gathering,stack,37
ethics,etiquette,1
age-of-steam,steam,2
bridge,scoring,4
catan,storage,1
accessibility,casino,1
basing,warhammer-fantasy,1
go,house-rules,1
cooperation,star-realms,1
bridge,notation,1
expansions,stone-age,1
game-design,scrabble,1
boss-monster,house-rules,1
bidding,spades,1
