Tag1,Tag2,Num_Occurrence
technic,vintage,1
bionicle,lego-group,1
software,tools,4
lejos,software,1
castle,moc,1
ios,mindstorms,2
moc,sets,2
star-wars,transport,1
nxt,robotic,2
design,star-wars,1
disassembly,glue,1
bluetooth,nxc,2
3rd-party,accessories,2
bionicle,part-identification,3
mindstorms,technic,12
cleaning,disassembly,2
lotr,sets,1
piece-information,shopping,3
lighting,storage,1
bricks-and-pieces,piece-information,5
design,plastics,2
duplo,gears,1
mindstorms,robotc,3
disassembly,instructions,1
software,trains,1
manufacturing,replacement-parts,1
animation,minifigures,1
pathfinding,robotic,1
moc,set-database,1
value,vintage,2
pc,robotic,1
ldraw,software,1
instructions,juniors,1
disassembly,piece-information,3
building,pneumatic,2
motors,nxt,19
ev3,gyro,3
model-identification,star-wars,1
modular-buildings,replacement-parts,1
9v,electronics,2
customization,lego-group,2
clone-brands,modular-buildings,1
ev3,labview,6
programming,rcx,7
design,modular-buildings,1
education,technic,1
piece-usage,set-identification,1
battery,trains,1
power-functions,remote-control,10
software,the-lego-movie,1
sensor,value,1
nxt,remote-control,2
piece-information,water,1
discontinued,repair,1
moc,power-functions,2
tracks,trains,4
city,steering,1
minifigures,size,4
ev3-g,software,4
lighting,power-functions,1
discontinued,history,3
design,power-functions,1
creator,motor,1
compatibility,friends,2
labview,software,1
3rd-party,part-identification,5
manufacturing,sets,1
building,robotic,3
technic,tools,5
rcx,sensor,1
bridge,glue,1
design,software,1
compatibility,mac,2
building,shopping,1
12v,remote-control,1
compatibility,size,1
diy,instructions,1
bricks-and-pieces,sets,1
pathfinding,software,1
ev3,shopping,1
12v,piece-information,1
lego-group,terminology,1
bluetooth,robotc,2
afol,sets,1
modular-buildings,shopping,1
part-identification,piece-information,34
duplo,tracks,3
building,size,2
accessories,friends,1
motor,repair,1
piece-usage,sets,1
ev3,nxt-g,4
ideas,set-numbering,1
bluetooth,nxt-g,1
ev3,lighting,1
afol,design,1
nxt,programming,51
piece-information,technic,20
compatibility,nxc,1
duplo,monorail,1
lego-group,star-wars,1
brick,pick-a-brick,1
colour,manufacturing,1
nxt,sensor-colour,3
instructions,the-lego-movie,1
history,sets,6
instructions,part-identification,4
ldd,mindstorms,1
cad,mac,1
motors,trains,11
power-functions,technic,29
motors,steering,1
fabuland,minifigure-identification,2
alternate-model,power-functions,1
bricklink,bricks-and-pieces,2
design,part-identification,1
ios,nxt,3
gears,the-lego-movie,1
sensor-ultrasonic,trains,1
shopping,software,3
building,manufacturing,1
building,ldd,3
ev3-g,sensor-ultrasonic,1
programming,sensor-colour,4
part-identification,set-database,1
customization,software,1
customization,preservation,1
minifigures,star-wars,12
electronics,nxt,1
architecture,sets,3
piece-information,vintage,3
piece-information,remote-control,2
battery,wedo,1
building,plastics,2
nxt,repair,7
lego-games,micro-scale,2
nxt,piece-information,3
programming,technic,1
lego-group,mindstorms,1
compatibility,replacement-parts,2
part-identification,set-identification,23
ev3-g,gyro,1
replacement-parts,sets,4
hero-factory,piece-information,2
advanced-models,ldd,1
manufacturing,pick-a-brick,1
rcx,remote-control,1
packaging,storage,1
manufacturing,shopping,3
electronics,trains,3
star-wars,trading,2
bionicle,compatibility,1
electronics,software,1
collectable-minifigures,replacement-parts,1
history,replacement-parts,1
programming,robotic,5
lego-store,pick-a-brick,4
colour,replacement-parts,1
pc,plastics,1
pneumatic,repair,1
cad,customization,1
gears,motor,1
repair,technic,2
bricklink,minifigures,1
gears,piece-usage,1
nxt,trains,2
motors,robotc,1
nxc,pathfinding,1
brick,connections,1
12v,9v,1
shopping,vintage,1
education,nxt,4
duplo,lugbulk,1
ev3-g,nxt,6
gears,power-functions,3
size,star-wars,2
ev3,robotc,6
programming,remote-control,3
books,building,1
building,challenge,1
remote-control,technic,9
discontinued,robotic,1
tracked-vehicle,tracks,1
collectable-minifigures,manufacturing,1
colour,value,1
instructions,size,1
ev3-g,rcx,1
building,steering,3
clone-brands,replacement-parts,1
sets,vehicle,2
investment,manufacturing,1
bridge,duplo,1
disassembly,technic,12
lego-group,sociology,1
castle,set-identification,1
design,gears,3
cleaning,pneumatic,1
scale,terminology,1
monorail,repair,1
instructions,shopping,1
diy,power-functions,1
micro-scale,sets,1
ev3-g,ev3dev,2
preservation,repair,1
3rd-party,customization,1
mechanical,technic,7
snir,terminology,1
history,minifigures,7
shapes,technic,1
automation,mindstorms,1
electronics,ev3,1
bluetooth,ev3,21
ev3dev,motor,1
set-identification,trains,1
durability,glue,1
set-database,shopping,4
micro-scale,minifigures,1
annual-support,technic,1
building,stickers,1
remote-control,trains,7
gears,mechanical,1
building,durability,3
software,storage,1
motors,remote-control,4
bricks-and-pieces,part-identification,1
ev3-g,technic,1
durability,hero-factory,1
size,technic,3
motor,powered-up,1
brick,building,6
clone-brands,sets,4
glue,organisation,1
piece-information,sets,10
mindstorms,programming,58
power-functions,programming,1
3rd-party,labview,1
motors,robotic,2
part-database,piece-information,1
organisation,piece-information,3
piece-information,piece-usage,4
motors,nxc,1
manufacturing,packaging,2
9v,tracks,1
diy,technic,1
sets,trading,1
instructions,inventory,1
brick,colour,2
monorail,wheel,1
ev3,nxc,4
ldraw,lego-games,1
building,power-functions,3
monorail,theme,1
afol,piece-information,1
brick,organisation,1
minifigure-identification,the-lego-movie,1
lego-group,technic,1
nxt,software,18
disassembly,shopping,1
friends,piece-usage,1
bluetooth,nxt,16
compatibility,piece-information,4
pneumatic,technic,10
motor,nxc,2
building,collectable-minifigures,1
building,colour,2
mindstorms,power-functions,5
ev3,safety,1
lotr,minifigures,1
clone-brands,part-identification,18
snot,technic,1
cleaning,vintage,1
design,duplo,1
ldd,software,5
manufacturing,piece-information,9
motors,pathfinding,1
instructions,ldd,4
piece-information,replacement-parts,2
instructions,manufacturing,1
automation,programming,3
clone-brands,duplo,1
motor,technic,7
mindstorms,sensor-colour,1
duplo,part-identification,4
technic,tracked-vehicle,1
city,set-identification,11
mindstorms,software,27
history,repair,1
history,micro-scale,2
motors,water,1
size,terminology,1
investment,shopping,2
piece-usage,plastics,1
set-numbering,stickers,1
replacement-parts,set-identification,1
accessories,cleaning,1
9v,sets,1
mechanical,steering,1
bluetooth,duplo,1
ev3,technic,5
mindstorms,pc,1
ev3,ldd,1
remote-control,steering,1
piece-information,terminology,6
discontinued,part-identification,1
instructions,moc,2
customization,disassembly,1
9v,motor,1
mindstorms,nxc,8
building,knolling,1
discontinued,mindstorms,1
history,sociology,1
education,mindstorms,6
compatibility,duplo,10
afol,bionicle,1
software,technic,5
3d-printing,customization,1
ev3-g,lego-group,1
shopping,trains,3
ev3,scratch,1
robotic,software,1
disassembly,minifigures,2
lighting,technic,1
3rd-party,manufacturing,3
design,piece-information,3
clone-brands,set-database,1
building,design,18
brick,slope,1
advanced-models,shopping,1
nxt,technic,3
organisation,storage,3
brick,plastics,2
racers,set-identification,1
building,the-lego-movie,1
patent,piece-information,1
instructions,lego-group,3
battery,ev3,3
building,wheel,5
ldd,ldraw,3
books,technic,1
history,monorail,2
part-identification,trains,4
design,ldd,1
balls,technic,2
clone-brands,size,1
minifigures,moc,2
alternate-model,technic,1
design,legoland,1
diy,electronics,1
cad,colour,1
nxc,programming,9
instructions,set-database,2
building,mechanical,2
alternate-model,storage,1
city,sets,4
bluetooth,powered-up,3
cellulose-acetate,cleaning,1
juniors,set-identification,1
bluetooth,python,1
electronics,repair,2
cad,electronics,1
collectable-minifigures,shopping,2
motors,technic,19
manufacturing,patent,1
accessories,clone-brands,1
colour,customization,2
cleaning,technic,3
storage,tools,1
cleaning,minifigures,2
pc,software,2
packaging,sets,2
duplo,ldd,1
accessories,castle,1
battery,cleaning,1
clone-brands,history,1
nxt,sensor-ultrasonic,4
brick,bricks-and-pieces,5
ldd,mac,2
mechanical,nxt,1
bluetooth,sensor-colour,1
repair,sets,1
battery,nxt,2
creator,part-identification,1
part-identification,sets,1
moc,steering,1
programming,robotc,3
electronics,motors,1
brick,history,1
motor,programming,4
ev3,ev3-g,30
monobrick,programming,4
compatibility,lego-group,1
clone-brands,vintage,2
set-database,technic,1
pneumatic,sets,1
angles,building,5
brick,technic,3
model-identification,part-identification,1
shopping,stickers,1
compatibility,juniors,1
friends,technic,1
afol,lego-group,3
motor,sensor,1
pc,rcx,2
automation,power-functions,1
ev3dev,nxt,1
instructions,vehicle,1
bluetooth,mindstorms,14
clone-brands,compatibility,10
lego-group,shopping,4
motors,wedo,1
ev3,size,2
challenge,piece-usage,1
city,vehicle,2
3d-printing,technic,1
city,part-identification,3
3d-printing,cad,3
gears,wheel,1
lejos,sensor-ultrasonic,1
boat,sets,1
compatibility,power-functions,2
piece-usage,shapes,1
set-identification,sets,8
history,investment,1
lego-store,shopping,4
moc,stickers,1
rcx,technic,1
angles,moc,1
design,minifigures,1
inventory,software,1
part-identification,vehicle,1
nxt,wi-fi,1
bricks-and-pieces,plastics,3
lighting,set-modification,1
cad,technic,2
part-database,technic,1
9v,piece-information,1
ev3,software,27
creator,technic,2
cleaning,manufacturing,1
disassembly,discontinued,1
bricks-and-pieces,ldd,2
electronics,piece-information,3
organisation,sets,1
building,glue,1
brick,ev3,4
building,compatibility,7
motor,steering,1
mindstorms,wheel,1
piece-information,plastics,4
advent-calendar,shopping,1
3rd-party,power-functions,1
ev3-g,trains,1
piece-information,the-lego-movie,1
glue,stickers,1
part-identification,stickers,3
customization,electronics,1
bricklink,piece-information,1
piece-information,pneumatic,1
history,terminology,1
rcx,robotc,3
colour,sets,1
moc,the-lego-movie,1
compatibility,gears,1
ldd,sets,1
duplo,repair,2
bricks-and-pieces,building,3
instructions,tools,1
cad,diy,2
education,piece-information,1
scale,star-wars,1
piece-information,stickers,1
gears,steering,1
records,sets,2
instructions,motors,2
motors,piece-information,1
accessories,replacement-parts,1
minifigure-identification,set-identification,1
vintage,wooden-toys,1
gears,size,1
building,sets,11
programming,sensor,1
scratch,wi-fi,1
lejos,sensor-colour,1
lego-group,manufacturing,4
minifigures,ninjago,2
bricks-and-pieces,mindstorms,1
city,theme,1
power-functions,vehicle,3
ldd,part-database,1
plastics,repair,1
part-identification,terminology,2
piece-information,software,1
ev3,water,1
remote-control,vehicle,1
clone-brands,ebay,1
bricklink,replacement-parts,1
cleaning,stickers,1
bluetooth,ios,1
sensor-colour,sensor-ultrasonic,1
gears,repair,1
12v,set-identification,1
size,wheel,2
balls,building,1
ev3,wheel,1
monorail,tracks,1
building,rcx,1
clone-brands,minifigure-identification,1
alternate-model,organisation,1
ldd,replacement-parts,1
disassembly,tools,10
colour,history,1
duplo,trains,12
motors,wheel,2
plastics,water,1
ev3-g,programming,13
3rd-party,piece-information,4
ev3,rcx,1
minifigures,sets,8
compatibility,instructions,1
power-functions,wedo,2
technic,wheel,3
instructions,technic,7
piece-information,star-wars,4
sets,the-lego-movie,2
minifigures,scale,1
building,star-wars,3
design,technic,7
friends,sets,2
history,stickers,1
commander,mindstorms,1
manufacturing,power-functions,1
duplo,size,3
ev3-g,mac,4
glue,history,1
nxc,nxt,17
bricklink,shopping,11
sets,space,3
building,ldraw,2
discontinued,vehicle,1
city,friends,2
minifigures,value,2
star-wars,terminology,1
building,programming,1
fll,lego-group,1
boat,water,1
sets,terminology,2
building,piece-usage,5
ev3dev,mindstorms,1
gears,part-identification,2
lejos,rcx,1
gears,nxt,1
automation,building,1
duplo,electronics,1
brick,mindstorms,1
electronics,moc,1
nxt,sensor,2
instructions,set-identification,7
gyro,robotc,1
ev3,nxt,29
friends,minifigures,2
minifigures,pick-a-brick,2
set-database,software,2
disassembly,motor,1
minifigures,space,1
bluetooth,wi-fi,1
moc,wheel,2
3rd-party,building,1
model-identification,sets,2
boost,ev3,1
nxt,shopping,1
ev3,ev3dev,6
part-identification,the-lego-movie,2
customization,instructions,1
part-identification,theme,1
manufacturing,star-wars,1
manufacturing,vintage,1
ev3dev,wi-fi,1
accessories,nxt,1
instructions,mindstorms,1
9v,power-functions,4
diy,ldraw,1
instructions,software,5
gears,shapes,1
bluetooth,trains,2
commander,ev3,3
customization,moc,1
disassembly,motors,1
12v,repair,1
building,storage,1
mindstorms,remote-control,7
design,piece-usage,1
remote-control,sensor-colour,1
bionicle,clone-brands,1
nxc,python,1
lego-dimensions,minifigures,1
gears,mindstorms,1
heroica,micro-scale,2
history,shapes,1
bricklink,lugbulk,1
part-identification,star-wars,4
set-database,sets,1
moc,terminology,2
storage,wheel,2
remote-control,water,1
ev3,repair,2
bricklink,star-wars,3
design,discontinued,1
technic,tracks,1
clone-brands,slope,1
colour,plastics,5
mindstorms,piece-information,2
bricklink,technic,1
compatibility,motors,1
investment,value,2
pick-a-brick,software,1
mac,software,4
gears,robotic,1
micro-scale,microfigure,1
gears,terminology,1
organisation,technic,1
compatibility,motor,2
ldd,piece-information,2
packaging,shopping,1
popular-culture,sets,1
bluetooth,labview,2
cad,software,7
instructions,vintage,2
castle,minifigure-identification,1
battery,sets,1
pick-a-brick,vehicle,1
gears,technic,25
power-functions,set-modification,4
design,vintage,1
electronics,part-identification,4
part-identification,slope,2
bag-build,packaging,1
compatibility,electronics,1
packaging,trading,1
piece-usage,software,1
piece-information,shapes,1
durability,monorail,1
customization,stickers,2
nxc,sensor-colour,3
history,technic,4
compatibility,software,2
building,micro-scale,3
building,clone-brands,5
nxt-g,software,5
minifigures,stickers,1
nxc,sensor-ultrasonic,1
glue,star-wars,1
annual-support,building,1
sets,star-wars,8
power-functions,powered-up,1
cad,ldraw,3
compatibility,nxt,6
gears,remote-control,1
city,design,3
lego-games,manufacturing,1
building,motor,1
set-identification,software,1
mindstorms,motors,17
design,preservation,1
ev3-g,robotic,1
3d-printing,manufacturing,2
lejos,mac,1
bluetooth,commander,2
ev3-g,motor,3
alternate-model,annual-support,1
motors,part-identification,2
motor,sensor-ultrasonic,1
steering,tracked-vehicle,1
building,water,2
harry-potter,instructions,1
set-identification,star-wars,22
compatibility,tracks,1
9v,motors,1
labview,motors,1
lighting,sensor-colour,1
organisation,terminology,1
cleaning,plastics,1
safety,trains,1
duplo,vintage,1
clone-brands,shopping,3
steering,vehicle,3
afol,terminology,1
piece-information,wheel,3
steering,wheel,2
power-functions,steering,2
piece-information,quality,1
ev3,wi-fi,3
sets,trains,6
trains,wheel,2
3d-printing,size,1
building,customization,3
space,wheel,1
sets,vintage,4
gears,set-identification,1
organisation,part-identification,2
shopping,trading,6
instructions,organisation,2
gyro,mindstorms,1
lejos,nxt,3
rcx,robotic,1
colour,terminology,1
lego-store,minifigures,2
set-identification,shopping,1
cad,ldd,2
ev3,steering,1
brick,size,2
lejos,pc,1
steering,wedo,1
moc,star-wars,2
compatibility,mindstorms,8
monorail,sets,1
minifigures,set-database,1
lugbulk,software,1
disassembly,vintage,1
minifigures,plastics,1
motor,power-functions,11
history,wooden-toys,2
part-identification,wheel,1
3d-printing,software,1
collectable-minifigures,quality,1
bricks-and-pieces,nxt,1
building,electronics,1
power-functions,repair,1
automation,trains,2
3rd-party,rcx,1
ev3,remote-control,6
building,heroica,5
brick,duplo,1
ev3,mindstorms,82
set-identification,space,5
fll,programming,1
history,theme,3
labview,robotic,1
castle,sets,1
set-identification,technic,8
battery,piece-information,2
3rd-party,pneumatic,1
books,history,1
disassembly,organisation,1
remote-control,wedo,1
minifigures,repair,8
building,monorail,1
lego-group,vehicle,1
theme,video-games,1
gears,piece-information,1
brick,clone-brands,2
ev3,lejos,8
model-identification,set-identification,2
moc,trains,1
12v,compatibility,2
technic,terminology,1
piece-usage,technic,2
customization,motors,2
part-identification,vintage,7
ev3,sensor-colour,10
repair,stickers,2
motor,wedo,1
bricks-and-pieces,pick-a-brick,2
3rd-party,nxt,3
motor,nxt-g,1
records,size,3
disassembly,stickers,1
mtron,theme,1
part-identification,pneumatic,1
programming,wedo,1
ev3,terminology,1
motors,safety,1
power-functions,trains,20
minifigures,piece-usage,2
trading,vintage,2
labview,mindstorms,8
mindstorms,python,2
instructions,trains,2
terminology,wheel,1
lego-group,set-identification,2
shopping,value,6
electronics,power-functions,8
modular-buildings,sets,2
afol,history,1
compatibility,technic,8
brick,part-identification,5
instructions,x-pods,1
9v,manufacturing,1
cad,mindstorms,1
customization,technic,2
ev3dev,python,1
battery,compatibility,2
microfigure,terminology,2
nxc,software,3
set-modification,trains,5
lego-group,packaging,1
durability,technic,1
duplo,minifigures,1
pick-a-brick,shopping,9
brick,compatibility,3
clone-brands,organisation,1
city,history,2
gears,motors,5
moc,technic,4
building,scale,2
building,replacement-parts,1
harry-potter,value,1
ios,remote-control,1
advent-calendar,sets,1
brick,robotic,1
sets,value,2
colour,minifigures,3
electronics,mechanical,1
software,stickers,1
lugbulk,terminology,1
discontinued,motors,1
organisation,trading,2
safety,water,2
lego-games,programming,1
lighting,trains,1
motor,wheel,1
instructions,piece-information,3
preservation,storage,1
building,piece-information,9
