Tag1,Tag2,Num_Occurrence
meaning-in-context,measure-word,2
phrase,synonyms,3
pronunciation,simplified-chinese,2
difference,possessives,1
mandarin,strokes,1
conversation,doraemon,4
equivalent-phrase,expressions,1
cantonese,traditional-vs-simplified,2
history,listening,1
meaning-in-context,past-tense,1
books,history,1
colloquialisms,meaning,3
particles,usage,10
speaking,tones,3
mandarin,structure,1
classical-chinese,food,1
advanced,multimedia,1
mandarin,word-requests,5
grammar,mandarin,107
lyrics,pronunciation,1
usage,word-choice,77
regional-variation,traditional-chinese,1
names,word-choice,1
translation,word,20
dictionary,word,3
meaning,writing,3
characters,handwriting,6
simplified-chinese,traditional-chinese,33
taiwan,translation,3
number,pronunciation,3
dictionary,usage,4
cantonese,yale-romanization,4
measure-word,word,1
particles,possessives,2
mandarin,vocabulary,33
difference,formalities,2
adjectives,comparison,2
cantonese,food,2
pinyin,yale-romanization,1
character-identification,translation,18
conversation,vocabulary,6
listening,speaking,3
characters,history,13
idioms,topolect,1
grammar,particles,28
ime,structure,1
ambiguity,usage,1
mainland-china,word-choice,2
phrase,slang,4
character-variant,personal-pronouns,1
cantonese,names,2
cantonese,grammar,20
mandarin,particles,1
grammar,negation,2
synonyms,verbs,1
meaning,terms-of-address,1
preposition,word-choice,2
speaking,writing,1
mandarin,regional-variation,2
phrase,phrase-meaning,1
strokes,writing,1
characters,terminology,1
mainland-china,writing,2
characters,transcription,1
pinyin,software,4
regional-variation,taiwan,2
place-names,software,1
spelling,transliteration,1
euphemism,nuance,1
topolect,writing,2
pronunciation,software,3
characters,meaning,44
nuance,word-choice,2
reading,transliteration,1
learning,names,1
expressions,particles,1
style,usage,1
mainland-china,simplified-chinese,6
hokkien,spelling,2
traditional-chinese,word,1
reference-materials,spelling,1
cantonese,place-names,1
history,pronunciation,4
hsk,simplified-chinese,1
classical-chinese,measure-word,1
direction-complement,syntax,1
lyrics,meaning-in-context,2
pronunciation,traditional-vs-simplified,1
grammar,resources,3
regional-variation,usage,1
books,writing,2
magazines,translation,1
phonology,vocabulary,1
nuance,sentence-structure,1
software,speaking,2
phrase-request,translation,1
difference,pinyin,3
meaning,seal,2
characters,intermediate,2
hsk,word-lists,2
comparison,terminology,1
classical-chinese,traditional-chinese,15
resources,terminology,1
definition,meaning-in-context,1
input-methods,tones,1
food,usage,4
characters,origin,1
expressions,proverb,2
magazines,readers,1
grammar,mistakes,1
reference-materials,software,1
database,software,2
taiwan,zhuyin-fuhao,1
history,romanization,1
synonyms,vocabulary,10
hsk,listening,1
learning,software,2
meaning-in-context,terms-of-address,1
expressions,word-requests,3
cantonese,congratulations,1
etymology,place-names,3
fonts,hsk,1
formalities,meaning,1
advanced,simplified-chinese,1
games,listening,1
old-chinese,pronunciation,1
simplified-chinese,software,5
culture,definition,1
equivalent-phrase,phrase,13
difference,verbs,2
loanwords,word,3
grammar,verb-object-compounds,1
vocabulary,word-requests,10
traditional-chinese,word-requests,2
movies,translation,2
distribution,names,1
accent,pronunciation,1
difference,taiwanese,1
simplified-chinese,word,1
hakka,mandarin,1
beginner,mandarin,5
hong-kong,taiwanese,2
cantonese,number,2
meaning,particles,4
conversation,phrase,1
calligraphy,character-identification,2
cantonese,translation,28
internet-slang,meaning-in-context,3
books,character-identification,1
congratulations,vocabulary,1
calligraphy,practice,1
chengyu,proverb,2
reference-materials,word-choice,1
tongue-twister,usage,1
simplified-chinese,usage,2
accent,culture,1
classical-chinese,reference-materials,1
dictionary,meaning-in-context,1
meaning,pronunciation,9
etymology,internet-slang,1
mandarin,place-names,1
chinese-new-year,culture,1
translation,usage,51
learning,shanghainese,2
mandarin,orthography,1
phonology,word-choice,1
classical-chinese,dictionary,2
grammar,transliteration,1
mandarin,terminology,2
phrase-meaning,poetry,1
idioms,usage,4
topolect,word,4
listening,mandarin,1
ipa,pronunciation,1
idioms,verbs,1
calendar,word-choice,1
kinship,meaning,1
characters,online,1
mandarin,readers,1
literary-chinese,proverb,2
etymology,phrase,7
poetry,proverb,1
orthography,traditional-chinese,1
formalities,usage,1
comparison,idioms,1
beginner,simplified-chinese,1
definition,word-choice,1
pinyin,pronunciation,23
learn-chinese,radicals,1
etymology,hong-kong,1
meaning,time,1
definition,usage,1
formalities,mandarin,1
etymology,meaning-in-context,9
regional-variation,speaking,1
adjectives,difference,1
colloquialisms,conversation,1
meaning,pinyin,3
meaning-in-context,word-choice,22
hong-kong,translation,2
translation,transliteration,11
mandarin,technology,1
beginner,translation,2
learning,tones,2
handwriting,simplified-chinese,1
grammar,usage,97
characters,difference,15
dictionary,software,5
meaning-in-context,topolect,2
advanced,intermediate,4
casual,loanwords,1
chengyu,grammar,4
character-identification,culture,2
character-identification,regional-variation,1
academic,tones,1
sentence-structure,yes-no-questions,2
mandarin,word,18
character-identification,pronunciation,1
pinyin,teaching-methods,1
resources,websites,5
meaning-in-context,names,1
dictionary,translation,2
cantonese,ime,2
software,topolect,1
romanization,simplified-chinese,1
reference-materials,usage,1
idioms,terms-of-address,1
erhuayin,word-choice,1
greetings,interjections,1
adjectives,syntax,2
constructs,word-lists,1
meaning,simplified-chinese,4
speech,word,1
loanwords,mandarin,3
