Tag1,Tag2,Num_Occurrence
circuit-breaker,glass-top-range,1
floor,wood,33
dust,walls,1
hardwood-floor,water-heater,1
crack,fire-sprinkler,1
ceiling-fan,heating,1
safety,wire,3
lumber,shed,2
beam,studs,1
air-conditioning,solar-panels,1
health-and-safety,spray-foam,1
foundation,vent,2
ducts,electrical,1
fascia,gutters,2
cleaning,flooring,7
cement-board,siding,1
septic-tanks,sewer,1
pump,water-circulating-heating,1
bathroom,television,1
outdoor,rope-knots,1
paint,spackling-paste,1
surge-suppression,tv-antenna,1
coaxial-cable,venting,1
siding,slab,1
finishing,hanging,1
porch,structural,3
ceiling,ethernet,2
frost,frost-heave,2
internet,security,1
repair,troubleshooting,12
cement,protection,1
nylon-washer,pivot,1
electrical,structural,1
foundation,mounting,1
demolition,drainage,1
gas,screws,1
curtain-rail,sound-proofing,1
toilet,valve,24
dricore,underlayment,1
framing,slope,1
building-regulations,walls,4
health-and-safety,taps,1
interior,safety,3
dryer,humidity,2
furniture,hinges,3
sealing,tub,1
air-conditioning,flashing,1
bathroom,molding,1
staining,table,2
caulk,windows,5
hood,hvac,2
joists,timber-framing,4
laminate-floor,saw,1
deck,hanging,2
mounting,structural,2
afci,basement,1
repair,staining,6
pine,wooden-furniture,2
brackets,screens,1
pet-door,windows,1
boiler,safety,1
decking,tools,1
cooling,thermostat-c-wire,2
ceramic-tile,kitchens,6
ladder,painting,1
ground,subpanel,2
painting,voc,2
dissolve,lubrication,1
adhesive,backer-board,1
pest-control,sealing,3
polyurethane,temperature,1
trim-carpentry,windows,2
chimney,interior,1
fireplace,rock,2
plumbing,saddle-valve,5
fireplace,hole,1
code-compliance,grounding-and-bonding,6
flooring,spray-foam,1
cost-effective,hot-water,1
fastener,plywood,1
cabinets,repainting,2
humidity,kitchens,1
kitchen-counters,kitchens,57
concrete,cost-effective,1
electrical,lubrication,3
hardwood,laminate,1
cooling,saving-money,1
replacement,toilet,4
bathroom,kitchen-counters,3
heating,troubleshooting,2
load,shelving,1
joists,tile,2
engineering,framing,5
mortar,veneer,1
cutting,demolition,1
cover,heating,1
carrier,generator,1
energy-audit,glass,1
noise,vibration,6
remove,wallpaper,1
junction-box,switch,9
corrosion,well,1
aluminum,metal,10
basement,bathtub,4
appliances,ice-maker,8
electrical,sanding,1
design,laminate-floor,1
addition,foundation,2
lock,uk,1
basement,cleanout,2
gfci,testing,3
garage,slope,1
ducts,health-and-safety,1
gas,meter,2
energy-efficiency,waterproofing,1
humidifier,replacement,1
joints,pvc,2
humidifier,zoned-heating,1
oil,water,1
ballast,electrical,4
termite,woodworking,1
thermostat,vibration,1
gutters,lighting,1
aluminum,garage,1
vanity,wood,1
acrylic,plaster,1
240v,replacement,1
bathtub,shower,54
carpentry,drill,1
kitchens,microwave-oven,3
brackets,hanging,1
plastic,protection,1
concrete,sound-proofing,2
roof,shed,9
fastener,steel,4
fan,insulation,1
drain,filter,1
gfci,sink,1
dissolve,flooring,1
attic,coaxial-cable,1
drywall,exterior,4
interference,outdoor,1
pvc,sprinkler-system,10
trim,water-damage,1
coax,electrical,7
protection,water,2
cabinets,subfloor,2
door-frame,wood,6
basement,fireplace,1
porch,post,2
faucet,taps,11
attic,installation,2
steel,welding,2
planning-permission,septic,1
switch,timer,31
240v,surge-suppression,1
mold,pest-control,3
basement,wood,10
miter,shelving,1
damage,interior,1
load,washing-machine,1
ceiling,wiring,39
adhesive,sink,3
windows,woodworking,4
bedroom,cfl,1
driveway,removal,2
attic,insulation,140
cost-effective,led,2
door-frame,interior,4
plumbing,sump,2
mosquitoes,plumbing,1
floorheating,insulation,3
plumbing,water-heater,159
exterior,hole,5
grounding,lighting,27
fence,winter,1
deck,plumbing,2
joists,wiring,7
ground,neutral,2
maintenance,pvc,1
canada,walls,1
aluminum-wiring,gfci,1
detached-structure,electrical,6
framing,porch,1
air-filter,laminate-floor,1
siding,waterproofing,9
central-vacuum,replacement,1
grout,porcelain,2
kitchen-counters,mold,1
carpentry,vinyl,1
tools,troubleshooting,1
deck,walls,1
kitchens,roof,1
basement,hole,4
chainsaw,circular-saw,1
cracks,rock,1
cracks,spackling-paste,1
attic,light-fixture,3
lighting,solar-tubes,1
addition,wood,2
lighting,smoke-detectors,2
bolts,carpentry,2
basement,post,1
drywall,projector,3
drywall,kitchens,17
furniture,repair,25
doors,sound-proofing,15
energy-efficiency,interior,2
basement,painting,6
post,structural,7
coaxial-cable,troubleshooting,1
hardwood-floor,polyurethane,14
aluminum,circuit-breaker,1
cables,pipe,1
acrylic,load-bearing,1
irrigation,winterizing,3
contractors,wire,1
rebar,walls,2
generator,heating,2
electrical,vent,8
glue,woodworking,1
footings,termite,1
grout,kitchens,4
bathroom-fixtures,stuck,1
data-wiring,ventilation,1
data-wiring,wiring,57
tile,valve,1
decking,metal-roof,1
basement,fire-sprinkler,1
basement,laminate,4
custom-cabinetry,measuring,1
drain,self-leveling-concrete,1
insect,refrigerator,1
grout,wood,3
fence,pet-proofing,4
jamb,outdoor,1
hole-repair,kitchens,1
drain,remodeling,2
desk,spraying,1
heating,installation,3
acrylic,sump-pump,1
fitting,water-heater,1
carpentry,waterproofing,2
electrical,interior,8
lumber,walls,1
access-panel,gas,1
electrical,lighting,835
backsplash,travertine,1
concrete-block,framing,2
electrical,power,27
deck,wind,1
acrylic,concrete,1
electrical-panel,garage,4
engineering,post,1
faucet,kitchen-sink,26
led,outdoor,4
caulking,cleaning,2
pvc,sink,6
hand-tools,routers,2
masonry,septic-tanks,1
rust-removal,vanity,1
240v,adapter,1
metal,oven,1
fascia,powertools,1
alarm,generator,1
hood,island,1
plywood,self-leveling-concrete,2
vinyl-siding,windows,2
electrical,oven,67
gas,laundry,1
alarm,fire-sprinkler,2
garage,hardware,1
gfci,refrigerator,5
coax,data-wiring,1
water-pressure,water-softener,3
outdoor,storage,1
saw,technique,1
lumber,retaining-wall,3
basement,garage,2
appliances,renovation,1
cover,sink,1
hole,leak,1
floor,gap,1
cooling,lighting,1
cables,copper,1
deck,gas,1
lath-and-plaster,shelving,2
afci,refrigerator,2
renovation,rewire,1
drywall-anchor,kitchens,1
replacement,trim,1
switch,wiring,385
appliances,vent,2
receptacle,thermostat,2
basement-refinishing,waterproofing,4
bathtub,exhaust-fan,1
foundation,pool,2
electrical,hydronic,2
pipe,slope,1
electrical,hvac,117
breaker-box,conduit,2
staining,tools,1
hardwood-floor,insulation,1
retaining-wall,slope,2
240v,appliances,7
bathroom-fixtures,valve,3
finishing,mirror,1
remodeling,sealing,1
cutting,kitchens,1
central-air,cooling,1
aluminum,screws,5
crawlspace,siding,1
cast-iron,welding,1
renovation,tile,2
subfloor,tongue-and-groove,3
lighting,timer,12
relay,water-circulating-heating,1
appliances,ductwork,1
code-compliance,speakers,1
building-regulations,ethernet,2
baseboard,old-work,1
inspection,interior,1
flashing,roof,18
basement-refinishing,design,1
kitchens,new-home,2
chimney,structural,1
replacement,screws,1
plumbing,switch,3
placement,wooden-furniture,1
sound-deadening,vent,1
pump,water-tank,7
coaxial-cable,ethernet,3
exhaust-fan,gfci,2
attic,fans,8
fiberglass,walls,1
receptacle,timer,2
flooring,humidifier,1
electrical,stucco,5
soldering,structural,1
