Tag1,Tag2,Num_Occurrence
nasa,sea-ice,1
ncep,temperature,2
glaciology,ice-shelf,1
geology,isostasy,4
clouds,gas,1
matlab,seismic,3
petroleum,resources,2
atmospheric-circulation,earth-system,1
clouds,lightning,1
land-surface,urban-climate,1
crystals,desert,1
measurements,seismology,4
petrology,sedimentology,3
matlab,software,1
ecology,soil,2
lithosphere,orography,1
iron,minerals,1
climate,wind,6
drought,tropical-cyclone,1
atmospheric-chemistry,geophysics,1
air-quality,back-trajectory,1
forest,planetary-science,1
history-of-science,petrology,1
carbon,global-warming,1
geophysics,paleontology,2
geochemistry,hydrology,3
astrobiology,astronomy,1
astronomy,light,1
enso,predictability,2
petrology,thermodynamics,1
climate-change,global-warming,3
atmosphere,geoengineering,3
severe-weather,tornado,5
meteorology,thermodynamics,6
ice,snow,2
oceanography,rocks,2
axial-obliquity,equator,1
igneous,meteorite,1
climate,earth-rotation,3
greenhouse-gases,plastic,1
agriculture,arctic,1
agriculture,hydrogeology,1
climate-change,earth-observation,3
sea-ice,sea-level,1
field-measurements,measurements,3
convection,planetary-science,1
earth-history,sea-level,3
climate-change,desert,7
mineralogy,soil,2
eddies,mediterranean,1
cyclone,mesoscale-meteorology,1
mass-extinction,natural-disasters,1
global-warming,water-vapour,1
geography,groundwater,1
earth-history,volcanoes,1
geography,paleogeography,2
geophysics,mantle-plumes,3
ocean,wind,8
earth-system,sun,1
flooding,tides,2
insolation,orbit,1
groundwater,measurements,1
climate-change,methane,3
seismology,software,3
geomagnetism,natural-conditions,1
ocean,satellites,1
plate-tectonics,subduction,10
climate,planetary-science,9
estuary,hydrology,1
land-surface,turbulence,1
rivers,water-table,1
earth-system,land-surface-models,3
meteorology,water-vapour,7
hotspot,mantle,1
atmosphere,impacts,1
gfs,models,4
coordinate-system,weather-satellites,1
ice-age,ocean,1
land-surface,soil-moisture,1
mining,oceanography,1
history-of-science,tropical-cyclone,2
glaciology,soil,1
solar-terrestrial-physics,time,1
models,vegetation,1
landscape,mapping,1
meteorology,weather-forecasting,61
ocean-currents,ocean-models,3
literature-request,sedimentology,1
dating,geology,3
atmospheric-circulation,precipitation,1
atmospheric-chemistry,diamond,1
climate-models,rain,1
amazon,forest,1
geodynamics,remote-sensing,1
earth-system,land-surface,2
radiative-transfer,temperature,3
atmosphere,mineralogy,1
petrology,subduction,1
california,ecology,1
anthropocene,metamorphism,1
fossil-fuel,thermodynamics,1
core,crust,4
planetary-boundary-layer,temperature,1
glaciology,ice-sheets,6
software,visualization,3
climate,mars,1
glaciation,ice-sheets,2
earth-history,metamorphism,1
geology,impacts,3
in-situ-measurements,ocean,2
jet-stream,weather,1
paleoclimatology,precambrian,1
climate-models,monsoon,1
drought,rain,1
snow,weather,1
petrology,volcanoes,1
oceanography,petroleum,1
climatology,correlation,1
oceanography,thermohaline-circulation,5
crystals,mineralogy,6
radiosounding,software,1
hydrology,land-surface-models,1
earth-history,ocean,5
climate,ocean,8
co2,soil,1
climate,storms,1
east-africa-rift,kimberlite,1
geography,volcanology,4
convection,geophysics,1
meteorology,models,24
models,moisture-flux,1
geophysics,microseism,1
biogeochemistry,biomass,2
ecology,estuary,1
climate,water-vapour,2
homework,mapping,2
clouds,precipitation,3
atmosphere,tibetan-plateau,1
human-influence,severe-weather,1
meteorology,oceanography,6
barometric-pressure,instrumentation,1
geophysics,identification-request,2
meteorology,planetary-science,11
geochemistry,statistics,1
climate,milankovitch-cycles,7
fracking,geophysics,1
extreme-weather,natural-disasters,3
plate-tectonics,temperature,1
climate-change,reanalysis,1
coriolis,equator,1
geochemistry,paleontology,1
atmosphere,global-warming,3
convection,mesoscale-meteorology,1
insolation,sun,3
solar-terrestrial-physics,weather-satellites,1
mineralogy,petrology,13
models,water,5
sea-level,tropical-cyclone,2
ocean-models,salinity,1
metamorphism,structural-geology,1
atmosphere-modelling,weather-forecasting,5
monsoon,rain,1
land-surface,planetary-boundary-layer,2
climate-change,drought,5
cyclone,meteorology,3
