Tag1,Tag2,Num_Occurrence
live-cd,usb-drive,1
power,system-installation,2
amd,graphics,3
graphic-drivers,ubuntu,4
office,wine,1
playonlinux,wine,6
overheat,ubuntu,1
color-format,display,1
greeter,release-loki,42
boot,networking,2
lemp,php,1
macbook,macintosh,5
design,release-freya,4
internet,security,1
plank,sound,1
elementary-project,ubuntu,2
boot,dell,1
greeter,luna,1
dell,firmware,1
greeter,keyboard,6
macbook,overheat,1
pantheon,suspend,1
release-loki,updates,61
pantheon-mail,window-manager,1
nvidia,updates,5
wifi,wingpanel,5
videos,vlc,2
navigation,window-management,2
google-chrome,themes,1
conky,laptop,1
apt,repositories,6
wifi,windows,1
files,wine,1
development,keyboard,1
hardware,input,1
encryption,release-freya,1
show-desktop,startup,1
grub,software-installation,1
applications,pantheon,1
keyboard,release-juno,1
default,ssh,1
lenovo,mouse,2
nautilus,show-desktop,1
development,gtk,5
notifications,pantheon-mail,1
appcenter,release-loki,45
gesture,workspace,1
encryption,uefi,1
crash,intel,3
refind,release-freya,1
bash,zsh,3
menu,release-freya,2
bash,command-line,4
window-decoration,window-management,1
battery,tlp,1
dependencies,package,1
pantheon,updates,1
epiphany,package,1
language,updates,3
security,software-installation,1
gala,windows,1
dconf,pantheon,1
greeter,performance,1
gnome,vala,1
refind,system,1
appcenter,firefox,1
development,software-installation,5
pantheon-files,slingshot,2
graphics,nvidia,12
ubuntu,unity,1
filesystem,suspend,1
layout,release-freya,2
cerbere,startup,1
games,software-installation,2
cpu,package-management,1
dual-boot,refind,7
bluetooth,keyboard,5
grub,microsoft-windows,5
graphic-drivers,release-juno,1
macintosh,resolution,1
macbook,sound,1
google-chrome,wingpanel,2
files,pantheon-files,16
development,pantheon-files,1
crash,settings,1
crash,games,1
drivers,dual-boot,1
grub,power,1
boot,windows,4
release-freya,settings,22
intel,macbook,2
php,web-development,2
multitasking-view,release-freya,1
software-installation,wifi,3
drivers,hp,4
software-installation,software-recommendation,1
dual-boot,gnome,1
refind,release-loki,1
chromium,videos,1
switchboard,wallpaper,1
kernel,touchpad,4
mount,usb,3
release-freya,shared-libraries,1
drivers,issues,1
google-chrome,repositories,1
32-bit,shared-libraries,1
greeter,release-freya,19
firefox,release-freya,2
file-management,pantheon-files,5
applications,keyboard-shortcuts,6
apt,desktop,1
battery,release-freya,2
apple,macbook,2
folder,plank,2
logo,system-installation,1
32-bit,intel,1
release-loki,search,1
minimize,settings,1
applications,window-management,6
intel,system-installation,2
multitasking-view,suspend,1
asus,hdmi,1
release-loki,session,3
netboot,performance,1
camera,window-manager,1
software-installation,ubuntu,2
boot,release-loki,31
gnome,shell,1
boot,conky,1
grub,system,3
apt,system,7
hardware,pantheon,1
networking,pantheon-files,7
file-management,software-recommendation,1
keyring,security,2
macbook,networking,1
input,windows,1
kernel,wifi,6
updates,vlc,1
gala,rdp,1
ppa,system-installation,1
efi,touchpad,1
pantheon,system,1
desktop,system,3
plank,user,1
command-line,suspend,1
display,logo,1
appcenter,language,1
hidpi,slingshot,1
asus,intel,1
hdmi,release-freya,1
chromebook,release-freya,2
efi,usb-drive,2
display,user-interface,4
app-shortcuts,pantheon-files,1
codec,video-player,2
appcenter,updates,44
hot-corners,release-juno,1
plank,spotify,1
release-freya,screenshot,7
radeon,uefi,1
cpu,hardware,2
boot,netboot,1
release-loki,sharing,4
software-installation,surface-tablet,1
navigation,windows,1
elementary-website,vala,1
audio-cd,dvd,3
keyboard-shortcuts,scrollbars,1
software-centre,ubuntu,1
release-freya,thunderbird,1
app-shortcuts,screenshot,1
internet,system-installation,1
performance,ssd,1
ethernet,usb,1
crash,greeter,1
suspend,touchpad,6
amd,cpu,4
firefox,ubuntu,1
filesystem,root,1
release-freya,user,1
encryption,system,2
graphics,processes,1
nvidia,ssd,1
software-installation,sudo,1
filesystem,folder,1
hdmi,system-installation,1
dual-boot,microsoft-windows,19
desktop,software-centre,1
import,music,2
boot,graphics,1
pantheon,tweak-tool,2
camera,themes,1
brightness,release-loki,2
high-dpi,intel,1
dual-boot,window-management,1
graphic-drivers,shell,1
apt,package,2
graphic-drivers,proprietary,3
amd,refind,2
luna,settings,1
minimize,window-management,1
apt,package-management,12
apt,tweak-tool,1
google-chrome,internet-browser,1
amd,graphic-drivers,14
applications,gimp,1
games,settings,1
menu,mouse,1
command-line,updates,2
lenovo,release-juno,2
cpu,video-player,1
filesystem,system-installation,4
hardware,high-dpi,1
applications,networking,1
drivers,mouse,2
files,pantheon-terminal,1
disk-management,system,2
live-cd,uefi,1
files,settings,2
graphics,high-dpi,1
internet,wingpanel,1
clock,greeter,2
asus,suspend,2
amd,pantheon-files,1
app,rdp,1
display,videos,3
release-freya,search,1
lock,session,1
settings,sharing,1
ide,usb,1
pantheon,wallpaper,2
drivers,macintosh,1
fish,pantheon-terminal,3
language,time,1
editor,text,1
asus,audio,3
pantheon-mail,plank,1
drivers,updates,3
code,epiphany,1
time,windows,1
power,release-freya,11
networking,printer,5
capnet-assist,system,1
navigation,wingpanel,1
command-line,vlc,1
ppa,vlc,1
pantheon-terminal,sudo,2
android-studio,ide,3
drivers,videos,1
luna,nautilus,1
music,settings,1
release-loki,touchpad,32
app-shortcuts,menu,1
security,user,1
color-format,mouse,1
ide,programming,3
graphics,software-recommendation,1
display,mouse,2
games,performance,1
fonts,release-juno,1
laptop,uefi,2
audio,release-freya,4
hardware,luna,1
menu,slingshot,1
design,window-decoration,1
greeter,vnc,2
grub,uefi,9
iphone,music,1
apt,ppa,9
encryption,kernel,1
efi,secure-boot,1
lock,networking,1
elementary-website,release-juno,1
drivers,input,1
pantheon-files,script,1
settings,user,4
bluetooth,sharing,2
firefox,web-browser,3
file-management,photos,2
window-decoration,wingpanel,1
internet,macbook,1
release-juno,shutdown,1
greeter,xorg,1
midori,slingshot,1
boot,display,9
display,icons,1
window-management,window-manager,9
gnome-terminal,hot-corners,1
photos,software-recommendation,2
disk-management,pantheon-files,2
bluetooth,release-juno,1
cpu,system-installation,3
gala,settings,2
epiphany,firefox,3
cpu,monitoring,1
default,pantheon-files,1
design,icons,2
crash,pantheon,1
input,internationalization,1
photo-editing,photos,1
disk-management,system-installation,6
pantheon-files,search,4
gnome,keyboard-shortcuts,1
shared-libraries,video-player,1
keyboard,release-freya,15
design,slingshot,1
input,release-juno,1
notification-badge,printer,1
lenovo,wifi,1
applications,plank,5
dell,webcam,1
accessibility,keyboard-shortcuts,1
brightness,laptop,2
input,typing,1
development,python,1
applications,sound,1
mount,system,2
hidpi,settings,1
input,touchpad,5
grub,windows,3
drivers,games,1
release-freya,sound,10
macbook,uefi,2
vpn,wingpanel,1
boot,grub,38
pantheon-terminal,zsh,2
development,midori,1
release-juno,usb,1
graphics,mouse,2
battery,system,4
pantheon-files,usb,1
greeter,hidpi,4
drivers,wacom,1
system-installation,window-management,1
luna,software-sources,1
accessibility,pantheon,1
audio,pantheon,1
boot,desktop,4
display,performance,2
release-loki,software-installation,24
dual-boot,windows,12
disk-management,elementary-website,1
resolution,wallpaper,1
dual-boot,uefi,13
grub,mount,1
development,metadata,1
boot,click,1
battery,suspend,2
release-freya,video-player,1
grub,package-management,1
startup,system,3
laptop,mouse,1
nvidia,steam,1
release-freya,system,26
mouse,system-installation,2
display,pantheon,4
testing,wingpanel,1
root,user,1
battery,brightness,1
dual-boot,startup,1
kernel,usb-drive,1
intel,resolution,1
live-installation,release-loki,2
command-line,startup,2
firefox,gtk,2
pantheon-terminal,sources,2
search,wingpanel,2
pantheon-files,sudo,1
permissions,updates,1
release-freya,security,7
nvidia,ppa,1
audio-cd,music,1
dual-boot,elementary-website,1
tweak-tool,ui,1
release-juno,system,3
crash,updates,2
mouse,wingpanel,1
bumblebee,intel,1
asus,drivers,2
battery,xorg,1
development,updates,2
display,pixel-density,2
keyboard-shortcuts,mouse,3
system,touchpad,4
microsoft-windows,samba,1
code,ubuntu,2
script,vala,1
drivers,software-installation,1
system-installation,wifi,6
settings,vaio,1
audio,audio-cd,1
folder,pantheon-files,6
codec,performance,1
resolution,slingshot,2
bluetooth,sound,9
color,sound,1
luna,ubuntu,1
multimedia,video-playback,1
pantheon,window-manager,3
nvidia,slingshot,1
release-juno,software-installation,2
dell,release-juno,3
greeter,macbook,2
efi,gnome,1
kernel,release-freya,10
intel,netboot,1
keyboard,wingpanel,5
settings,slingshot,1
gala,window-manager,4
plank,release-loki,21
mtp,release-loki,1
applications,startup,3
boot,software-installation,1
fonts,themes,2
repositories,security,1
cpu,sources,1
apps,photo-editing,1
folder,release-freya,1
bluetooth,startup,2
pantheon-files,usb-drive,3
backup,system,1
usb,wifi,4
development,web-development,2
script,sound,1
mixed-dpi,slingshot,1
high-dpi,user-interface,1
files,search,2
amd,uefi,1
fcitx,pantheon-mail,1
cpu,wingpanel,1
menu,wingpanel,7
gnome,keyring,1
pantheon-terminal,release-juno,3
apps,wingpanel,1
backlight,lenovo,1
dconf,software-centre,1
greeter,samba,1
secure-boot,uefi,1
release-freya,wallpaper,1
software-installation,ssd,1
gtk,user-interface,3
drivers,steam,1
fonts,music,1
keyboard,screenshot,2
mount,photos,1
hardware,system,4
greeter,language,6
boot,kernel,10
settings,system,18
android-studio,shared-libraries,1
apt,development,2
evolution,keyring,1
display,release-juno,10
lenovo,updates,1
backup,pantheon-files,1
android-studio,drivers,1
pantheon-files,pantheon-terminal,6
contract,files,4
command-line,launcher,2
lemp,software-installation,1
display,intel,6
release-loki,switchboard,4
audience,release-loki,4
applications,window-manager,2
hidpi,system-installation,1
display,issues,2
greeter,release-juno,5
programming,vala,14
applications,skype,2
hardware,sound,2
drivers,live-installation,1
release-juno,thinkpad,1
backup,keyboard-shortcuts,1
elementary-website,windows,1
internationalization,language,2
color,notifications,1
gala,wallpaper,1
release-juno,themes,1
release-juno,ubuntu,2
eclipse,slingshot,1
pantheon,pantheon-files,13
adapter,settings,1
display,laptop,9
launcher,release-loki,1
refind,windows,1
notifications,wingpanel,7
keyboard-shortcuts,release-loki,30
settings,show-desktop,1
printer,updates,1
input,java,1
mount,user,1
display,plymouth,1
audio-cd,pantheon-files,1
keyboard-shortcuts,microsoft-windows,1
microsoft-windows,release-loki,4
graphics,greeter,5
sound,videos,3
language,release-freya,1
games,themes,1
apt,search,1
hdmi,mouse,1
google-chrome,ui,1
microsoft-windows,surface-tablet,1
live-cd,system-installation,3
permissions,system-installation,1
power,sound,1
desktop,development,2
dropbox,icons,1
gesture,kernel,1
appcenter,sources,2
mount,sudo,1
mouse,wifi,1
files,web-browser,1
release-freya,testing,1
audio,system,1
release-loki,wine,5
elementary-website,release-loki,6
chromium,scrollbars,1
graphic-drivers,release-freya,29
juno,keyboard-shortcuts,1
download,iso,2
gpg,pantheon-mail,1
hdd,swap,1
pantheon-files,pantheon-mail,1
mouse,skype,1
release-juno,thirdpartyapps,6
calendar,gala,1
applications,webcam,1
dconf,pantheon-terminal,1
hot-corners,keyboard-shortcuts,2
indicator-sound,settings,1
applications,sudo,1
development,pantheon-terminal,1
microsoft-windows,windows,1
code,development,1
metadata,pantheon-files,1
gala,games,1
pantheon,usb-drive,1
appcenter,programming,1
firefox,updates,2
system,temperature,1
performance,steam,2
nvidia,video-player,1
drivers,storage,1
cpu,release-freya,3
cpu,networking,1
laptop,networking,3
juno,xorg,1
repositories,tweak-tool,1
adapter,release-loki,1
disk-management,release-freya,3
launchpad,libreoffice,1
google-chrome,keyring,2
themes,vlc,1
accessibility,release-loki,2
drivers,release-loki,18
luna,networking,1
display,system,12
macbook,usb-drive,4
gtk,sudo,1
icons,pantheon-files,2
firefox,release-loki,5
apt,sources,2
gui-toolkits,release-loki,1
pantheon,software-installation,1
filesystem,grub,1
hidpi,themes,1
pantheon-files,subtitles,1
keyboard,vaio,1
internet,internet-browser,1
eclipse,gtk,1
intel,virtualization,1
hdd,ssd,3
gtk,settings,1
dual-boot,grub,18
dependencies,hp,1
release-freya,software-centre,2
extensions,release-loki,1
desktop,hidpi,1
system,wine,1
desktop,layout,1
openvpn,release-freya,1
ide,permissions,1
lenovo,thinkpad,2
graphics,shutdown,1
macbook,system-installation,9
color,pantheon-terminal,2
minimize,ui,1
python,usb,1
settings,vpn,1
apps,command-line,1
boot,show-desktop,1
greeter,startup,1
contract,pantheon,1
mouse,release-freya,12
google-chrome,web-browser,1
pantheon-terminal,suspend,1
laptop,power,2
programming,release-freya,2
battery,wifi,1
settings,user-interface,5
macbook,webcam,3
android-studio,release-loki,2
amd,macbook,1
release-loki,root,1
ide,vala,1
keyboard,suspend,4
drivers,printer,3
pantheon-terminal,system,2
applications,google-chrome,5
development,thirdpartyapps,1
64-bit,macintosh,2
codec,sound,1
code,color-format,1
swap,ubuntu,1
grub,ntfs,1
pantheon-terminal,plank,1
language,layout,3
nvidia,settings,1
microsoft-windows,ubuntu,1
plank,playonlinux,1
usb,usb-drive,4
dconf,system,2
display,settings,19
pantheon-terminal,settings,4
release-freya,steam,3
64-bit,iso,1
app-shortcuts,startup,2
video-player,videos,5
pantheon-files,testing,2
hot-corners,minimize,2
grub,release-freya,13
appcenter,notifications,2
display,shell,1
rdp,release-loki,2
display,hot-corners,2
libreoffice,themes,1
epiphany,keyboard,2
juno,release-juno,2
fonts,ubuntu,2
grub,nvidia,2
audio,pantheon-files,1
nvidia,power,2
ethernet,ubuntu,1
boot,intel,1
pantheon-files,system,2
applications,dvd,1
code,text,1
skype,wingpanel,3
firefox,language,1
indicator-sound,wingpanel,3
hardware,software-installation,3
app,wingpanel,1
gala,mouse,1
pantheon-files,suspend,1
issues,release-juno,1
drivers,system-installation,2
dependencies,skype,2
bluetooth,pantheon-files,1
hp,touchpad,1
ethernet,hp,1
nvidia,subtitles,1
ppa,updates,7
display,drivers,7
drivers,release-juno,3
greeter,juno,1
metadata,software-recommendation,1
gala,macintosh,1
calendar,pantheon-mail,1
system-installation,windows,1
crash,wingpanel,5
dconf,release-loki,4
macbook,music,1
subtitles,vlc,1
hdmi,macbook,1
ethernet,software-installation,1
boot,graphic-drivers,10
pkexec,settings,1
hidpi,pantheon-mail,1
hardware,usb-drive,2
search,ui,1
pantheon-files,release-freya,24
hdmi,sound,7
nvidia,system,1
playonlinux,software-installation,3
fonts,release-loki,7
release-freya,user-interface,2
games,resolution,1
desktop,display,10
juno,macbook,1
software-installation,wingpanel,1
nginx,web-development,2
appcenter,elementary-website,1
elementary-website,grub,1
networking,time,1
hot-corners,shell,1
system-installation,usb,4
applications,icons,6
hidpi,release-freya,1
pantheon-files,wallpaper,1
internet,privacy,1
command-line,shutdown,2
kernel,system-installation,4
appimage,updates,1
dual-boot,plymouth,1
64-bit,boot,1
release-juno,wingpanel,6
libreoffice,software-installation,4
accessibility,themes,1
display,user,2
gnome,slingshot,1
extensions,pantheon-files,1
crash,pantheon-mail,1
bumblebee,display,1
apps,system,2
storage,usb-drive,1
multimedia,sound,1
64-bit,intel,1
graphic-drivers,video-player,1
intel,radeon,1
microsoft-windows,pantheon-files,1
display,high-dpi,2
printer,release-juno,2
applications,apps,1
hp,system,1
release-loki,vlc,2
microsoft-windows,system-installation,15
app,release-freya,1
startup,system-installation,3
display,windows,2
development,vala,13
appcenter,search,1
graphics,video-player,1
graphic-drivers,nvidia,25
release-loki,web-browser,2
hardware,macintosh,1
hp,networking,5
gtk,programming,5
grub,ssd,2
greeter,settings,7
luna,scrollbars,1
notifications,updates,2
microsoft-windows,refind,1
deb,software-installation,1
settings,software-recommendation,1
minimize,release-juno,2
apt,libreoffice,1
graphic-drivers,virtualbox,2
graphic-drivers,kernel,7
code,search,1
power,thinkpad,1
android,bluetooth,1
design,user-interface,2
audio,software-installation,1
office,sudo,1
intel,system,1
hardware,uefi,2
minimize,pantheon,1
rdp,vnc,1
development,programming,5
clock,release-freya,1
gala,release-loki,4
64-bit,macbook,1
elementary-project,touchscreen,1
keyboard-shortcuts,wingpanel,2
iso,release-loki,1
plank,window-manager,1
notification-badge,plank,1
acer,system,1
live-cd,touchpad,1
graphics,themes,1
gala,pantheon,4
app-shortcuts,launcher,2
calendar,greeter,1
disk-management,photos,1
encryption,software-installation,1
boot,greeter,6
elementary-website,google-chrome,1
fish,release-freya,1
acpi,boot,2
hardware,power,1
bash,release-loki,1
elementary-project,release-juno,4
ethernet,software-centre,1
iphone,release-loki,2
apt,release-loki,15
release-loki,sound,18
gnome,settings,1
hp,microsoft-windows,1
juno,pantheon,1
files,navigation,1
internet-browser,web-browser,3
desktop-environment,gnome,1
pantheon-mail,vala,1
lenovo,system-installation,2
audio-player,playonlinux,1
slingshot,updates,2
display,window-manager,2
suspend,tlp,1
