Tag1,Tag2,Num_Occurrence
idiom,translation,1
expression,plurals,1
food,translation,2
affixes,nouns,1
meaning-in-context,translation,1
adjectives,meaning-in-context,1
accusative,pronunciation,1
adjectives,nouns,2
translation,word-difference,2
language,translation,1
word-choice,word-usage,13
single-word-requests,terminology,3
h-system,typography,1
prepositions,single-word-requests,3
grammar,verbs,2
translation,word-choice,9
h-system,language-evolution,1
course,learning,7
akademia-vortaro,dictionaries,1
affixes,single-word-requests,1
disambiguation,prepositions,1
phrase-requests,word-choice,1
gender,word-usage,1
nouns,single-word-requests,1
fundamento,history,1
plurals,word-difference,1
constructed-languages,esperanto-speakers,1
esperantidos,translation,1
course,websites,1
books,translation,2
word-choice,word-difference,5
prepositions,translation,1
culture,nouns,1
translation,websites,2
word-formation,writing,1
ambiguity-reduction,word-usage,1
phrase-requests,single-word-requests,3
pronunciation,syllables,2
affixes,verbs,2
accusative,prepositions,3
accusative,style,1
single-word-requests,word-meaning,2
phrase-requests,word-usage,2
pronouns,word-usage,2
cooking-recipes,verbs,1
etymology,idiom,1
verbs,word-usage,2
etymology,typography,1
meaning,meaning-in-context,2
phrase-requests,translation,5
akademia-vortaro,movado,1
participles,word-formation,1
etymology,history,3
etymology,language-evolution,2
affixes,word-usage,2
word-choice,word-formation,2
word-difference,word-usage,7
grammar,transitivity,1
prepositions,word-usage,3
culture,literature,7
nouns,translation,1
single-word-requests,translation,32
comics,verbs,1
single-word-requests,word-usage,8
h-system,x-system,1
gender,pronouns,1
idiom,word-usage,1
learning,literature,1
questions,translation,1
culture,language-evolution,1
lexicon,single-word-requests,1
dictionaries,transitivity,1
grammar,language-evolution,1
word-difference,word-meaning,3
adjectives,language,1
dative,prepositions,1
language,speaking,1
colors,word-meaning,2
reforms,spelling,1
infinitive,translation,1
history,meaning,1
participles,phrase-requests,1
culture,etymology,1
literature,writing,1
adjectives,adverbs,10
adverbs,word-usage,2
adjectives,correlatives,3
translation,verbs,4
learning,movado,1
learning,word-formation,1
participles,verbs,1
negation,verbs,1
single-word-requests,word-choice,2
idiom,single-word-requests,2
meaning,word-usage,2
affixes,word-choice,1
prepositions,word-choice,3
possessive,word-usage,1
colors,word-usage,1
verbs,word-choice,1
history,movado,2
verbs,word-formation,2
culture,esperanto-speakers,2
books,literature,2
negation,questions,1
diacritics,writing,1
correlatives,verbs,1
history,typography,1
diacritics,language-evolution,1
phrase-requests,prepositions,1
prepositions,verbs,2
adverbs,case,1
affixes,etymology,1
literature,resources,2
adjectives,possessive,1
accusative,translation,1
translation,word-meaning,1
meaning,word-meaning,2
correlatives,word-meaning,1
resources,technology,1
resources,translation,2
expression,translation,1
nouns,word-usage,1
plurals,reforms,1
word-meaning,word-usage,7
transitivity,verbs,2
technology,writing,1
word-choice,word-meaning,5
affixes,translation,1
subordinate-clauses,translation,1
adverbs,word-choice,2
reforms,word-difference,1
punctuation,quotes,1
article,word-usage,1
resources,single-word-requests,1
16-rules,accusative,2
language-evolution,x-system,1
history,word-meaning,1
dictionaries,grammar,1
nouns,word-formation,2
literature,nouns,1
akademia-vortaro,fundamento,1
culture,music,2
pasporta-servo,translation,1
adverbs,translation,1
adjectives,word-choice,4
adjectives,word-usage,3
adjectives,translation,1
16-rules,prepositions,1
questions,verbs,1
akademia-vortaro,history,1
adjectives,prepositions,1
single-word-requests,verbs,8
adjectives,affixes,1
negation,translation,1
meaning,translation,1
books,technology,1
culture,websites,2
fundamento,typography,1
lexicon,programming,1
language,nouns,1
adjectives,verbs,1
pronunciation,word-formation,1
adverbs,meaning-in-context,1
literature,style,1
infinitive,subject,2
akademia-vortaro,meaning,1
culture,translation,2
books,teaching,1
akademia-vortaro,single-word-requests,1
verbs,word-difference,1
affixes,learning,1
books,dictionaries,1
possessive,prepositions,1
learning,questions,1
ker-exams,native-speakers,1
history,reforms,1
article,possessive,1
affixes,word-meaning,4
history,literature,1
fundamento,meaning,1
esperanto-speakers,movado,1
adjectives,word-formation,2
meaning-in-context,verbs,1
adjectives,word-meaning,1
adjectives,word-difference,1
numbers,single-word-requests,1
nouns,plurals,1
accusative,grammar,1
books,culture,2
history,language-evolution,2
adjectives,word-order,1
diacritics,h-system,1
idiom,word-formation,1
culture,movado,3
history,translation,1
culture,history,7
accusative,word-formation,1
meaning-in-context,word-usage,4
duolingo,pronunciation,1
accusative,verbs,2
phrase-requests,questions,1
resources,websites,2
affixes,word-difference,2
etymology,single-word-requests,1
diacritics,pronunciation,1
books,resources,2
correlatives,questions,1
culture,word-meaning,1
affixes,word-formation,4
learning,resources,3
case,infinitive,1
fundamento,word-meaning,1
participles,word-usage,1
dative,possessive,1
disambiguation,translation,1
negation,subordinate-clauses,1
learning,websites,3
colors,word-formation,1
infinitive,verbs,3
plurals,word-usage,1
affixes,meaning,2
infinitive,word-order,2
books,learning,2
ambiguity-reduction,word-order,1
meaning,word-choice,2
syllables,word-formation,1
literature,technology,1
infinitive,prepositions,2
correlatives,history,1
literature,translation,1
word-formation,word-meaning,4
adverbs,verbs,2
proverbs,translation,1
diacritics,x-system,1
affixes,language-evolution,1
verbs,word-order,1
fundamento,quotes,1
prepositions,word-meaning,2
case,pronouns,1
diacritics,typography,5
abbreviations,single-word-requests,1
verbs,word-meaning,4
translation,word-usage,5
nouns,verbs,1
numbers,word-choice,1
movado,word-usage,1
adverbs,correlatives,3
diacritics,technology,6
single-word-requests,word-difference,1
word-formation,word-usage,1
single-word-requests,word-formation,3
idiom,phrase-requests,1
translation,writing,1
accusative,transitivity,2
correlatives,word-usage,3
culture,reception,1
dative,translation,1
akademia-vortaro,word-meaning,1
technology,typography,4
akademia-vortaro,word-formation,1
meaning-in-context,questions,1
dative,phrase-requests,1
programming,resources,1
culture,learning,2
pronouns,word-choice,1
adjectives,single-word-requests,1
ambiguity-reduction,prepositions,2
