Tag1,Tag2,Num_Occurrence
accounting,expenses,1
difficult-client,intellectual-property,1
accounting,invoices,5
referral,small-projects,1
negotiation,proposal,1
germany,group-freelancing,1
project-bidding,small-projects,1
programmer,web-development,6
customer-relations,time-management,2
business-plan,marketing,3
attracting-clients,time-management,1
invoices,scope-creep,1
communication,price,2
legal,virtual-office,2
client-support,difficult-client,9
billing,contracts,4
attracting-clients,freelance-websites,25
contracts,difficult-client,18
programmer,proposal,1
hourly,payments,1
contract-cancellation,negotiation,1
information-technology,working-from-home,1
attracting-clients,branding,2
client-support,clients,1
germany,uk,3
design,difficult-client,3
invoices,project-bidding,2
pay-rate,working-from-home,4
canada,remote,1
consulting,insurance,1
contracts,penalties,1
taxes,usa,21
foreign-markets,uk,2
communication,estimation,2
payments,project-management,1
travel,usa,1
estimation,pay-rate,2
invoices,portfolio,1
communication,proposal,1
productivity,project-management,1
ownership,software,1
fixed-price,software,3
consulting,writing,1
portfolio,programmer,1
finance,working-from-home,1
attracting-clients,programmer,3
branch-office,negotiation,1
difficult-client,project-management,3
overtime,time-management,2
copyright,legal,10
uk,working-from-home,1
evaluating-clients,project-management,1
attracting-clients,invoices,1
legal,partner,2
freelance-websites,writing,1
contracts,evaluating-clients,3
communication,working-from-home,1
client-support,late-payment,2
proposal,software,1
group-freelancing,interview,1
licensing,negotiation,1
business-plan,growth,2
time-management,writing,1
contracts,scope-of-work,1
contract-to-hire,project,1
estimation,project-bidding,1
portfolio,web-development,4
billing,payment-terms,4
germany,webmasters,1
remote,uk,5
taxes,travel,1
difficult-client,price-per-hour,1
legal,travel,2
fixed-price,hourly,2
legal,working-from-home,5
contracts,uk,7
freelance-websites,payment-terms,16
price-per-hour,web-development,1
freelance-websites,outsourcing,2
outsourcing,working-from-home,3
marketing,resume,2
fixed-price,proposal,3
insurance,web-development,1
client-support,remote,2
expenses,payment-terms,1
proposal,sales,2
payment-terms,travel,2
difficult-client,webmasters,1
attracting-clients,resume,1
client-support,invoices,1
accounting,freelance-websites,1
pay-rate,payment-terms,16
attracting-clients,changes,1
local-business,outsourcing,1
negotiation,overtime,1
remote,software,1
remote,working-from-home,5
budget,estimation,1
project,remote,1
client-support,retainer,2
business-plan,legal,2
estimation,overtime,2
web-development,webmasters,4
difficult-client,local-business,1
evaluating-clients,payment-terms,5
proposal,web-development,1
contracts,remote,5
client-support,company-management,1
billing,invoices,5
business-plan,group-freelancing,1
software,travel,1
software,spain,1
payments,project,2
expenses,hmrc,2
negotiation,project-management,1
estimation,taxes,1
design,webmasters,3
scope-creep,scope-of-work,2
contracts,legal,34
expenses,vat,1
attracting-clients,canada,1
estimation,negotiation,1
difficult-client,uk,2
payments,vat,1
accounting,contracts,3
germany,web-development,1
hourly,retainer,1
consulting,negotiation,5
group-freelancing,payments,1
foreign-incorporation,incorporation,1
foreign-markets,usa,2
consulting,hourly,1
llc,payments,1
llc,uk,1
marketing,programmer,3
legal,licensing,3
attracting-clients,outsourcing,1
contracts,payment-terms,37
pay-rate,travel,2
invoices,price,2
clients,istock,1
business-plan,working-from-home,1
changes,project-management,1
accounting,foreign-markets,1
foreign-incorporation,taxes,2
payment-terms,project-management,4
fixed-price,project-management,1
information-technology,legal,2
expenses,uk,4
software,uk,3
project-management,subcontracting,2
business-plan,consulting,2
pay-rate,uk,1
business-plan,contracts,2
accounting,legal,2
portfolio,price-per-hour,1
contracts,foreign-incorporation,1
evaluating-clients,remote,1
software,time-management,3
price,usa,3
uk,webmasters,1
canada,entity,1
expenses,usa,1
communication,productivity,1
pay-rate,payments,13
communication,friends-services,1
contracts,registration,1
advertising,writing,1
local-business,uk,1
client-support,price-per-hour,1
communication,information-technology,1
legal,price,1
payments,working-from-home,3
marketing,time-management,1
attracting-clients,branch-office,1
consulting,software,5
canada,incorporation,2
programmer,project,2
subcontracting,uk,2
money,scope-of-work,1
communication,long-term,1
difficult-client,payments,12
contracts,travel,1
interview,proposal,1
long-term,payments,1
long-term,sales,1
consulting,payments,3
design,web-development,3
business-plan,fixed-price,1
licensing,writing,1
invoices,taxes,17
client-support,freelance-websites,5
accounting,finance,1
budget,payment-terms,3
invoices,subcontracting,1
foreign-markets,marketing,1
freelance-websites,penalties,1
contract-to-hire,difficult-client,1
difficult-client,estimation,2
late-payment,programmer,1
consulting,nonprofit,1
billable-hours,client-support,2
clients,freelance-websites,1
consulting,pay-rate,4
freelance-websites,llc,1
client-support,copyright,1
foreign-markets,payment-terms,1
communication,company-management,1
contracts,interview,1
evaluating-clients,foreign-markets,1
freelance-websites,webmasters,7
contracts,working-from-home,3
contracts,intellectual-property,1
legal,taxes,13
client-support,time-management,4
communication,portfolio,1
remote,taxes,4
legal,negotiation,5
difficult-client,web-development,2
finance,payments,1
fixed-price,price-per-hour,7
canada,web-development,1
copyright,licensing,1
communication,foreign-markets,1
invoices,nonprofit,1
design,partner,1
taxes,web-development,1
contract-to-hire,freelance-websites,1
freelance-websites,working-from-home,25
client-support,information-technology,2
contracts,negotiation,11
contracts,estimation,5
invoices,project,1
freelance-websites,germany,2
company-management,legal,1
contracts,group-freelancing,1
freelance-websites,price,5
contracts,taxes,7
consulting,payment-terms,8
entity,marketing,1
negotiation,price,5
legal,outsourcing,1
overtime,payment-terms,1
billable-hours,price-per-hour,1
contracts,marketing,1
business-plan,freelance-websites,5
hourly,remote,1
group-freelancing,time-management,1
negotiation,programmer,1
consulting,group-freelancing,2
contracts,overtime,3
advertising,freelance-websites,1
ethics,payment-terms,1
foreign-markets,negotiation,1
entity,taxes,1
payments,price,5
insurance,negotiation,1
contracts,small-projects,1
accounting,payments,2
evaluating-clients,software,1
estimation,time-tracking,1
offer,price,1
programmer,project-management,4
programmer,retainer,1
information-technology,late-payment,1
accounting,time-tracking,1
client-support,communication,7
legal,project-bidding,1
contracts,software,9
freelance-websites,nonprofit,1
contracts,design,8
billable-hours,productivity,1
communication,overtime,1
contracts,usa,3
interview,pay-rate,1
copyright,information-technology,2
payment-terms,remote,4
outsourcing,remote,1
freelance-websites,portfolio,9
insurance,llc,2
consulting,invoices,1
consulting,price,5
client-support,negotiation,3
consulting,difficult-client,2
expenses,small-projects,1
attracting-clients,design,4
canada,uk,1
software,working-from-home,3
estimation,scope-of-work,1
customer-relations,money,1
webmasters,working-from-home,1
late-payment,subcontracting,1
design,pay-rate,1
canada,growth,1
freelance-websites,remote,4
consulting,legal,3
pay-rate,project-bidding,1
web-development,working-from-home,4
foreign-markets,price-per-hour,1
attracting-clients,writing,2
attracting-clients,working-from-home,1
hourly,payment-terms,1
time-management,working-from-home,2
programmer,webmasters,1
attracting-clients,web-development,5
payments,usa,3
negotiation,price-per-hour,8
accounting,usa,1
fixed-price,overtime,2
billing,overtime,1
branch-office,foreign-markets,1
contracts,sales,3
ethics,legal,1
price-per-hour,subcontracting,1
budget,negotiation,1
contracts,pay-rate,20
expenses,price,2
consulting,moonlighting,1
accounting,germany,1
payments,uk,6
price,working-from-home,1
over-due,uk,1
budget,changes,1
information-technology,software,1
hmrc,travel,1
friends-services,small-projects,1
software,web-development,3
incorporation,usa,2
fixed-price,portfolio,1
group-freelancing,payment-terms,1
llc,portfolio,1
invoices,late-payment,6
portfolio,resume,3
accounting,software,1
accounting,consulting,1
consulting,copyright,1
communication,remote,3
incorporation,subcontracting,1
clients,copyright,1
price,project-bidding,2
contracts,incorporation,4
incorporation,llc,2
group-freelancing,outsourcing,1
contract-cancellation,group-freelancing,1
marketing,pay-rate,1
nonprofit,subcontracting,1
communication,time-management,7
incorporation,remote,1
payments,remote,1
legal,payment-terms,13
insurance,usa,3
ownership,uk,1
design,taxes,3
long-term,time-management,1
difficult-client,software,1
freelance-websites,referral,1
consulting,small-projects,1
consulting,price-per-hour,2
resume,working-from-home,2
payments,programmer,2
payments,scope-creep,1
foreign-markets,llc,1
payment-terms,software,2
insurance,programmer,1
freelance-websites,safety,1
fixed-price,web-development,1
canada,invoices,1
contracts,eu,2
contracts,information-technology,2
contracts,programmer,2
communication,fixed-price,1
partner,programmer,1
project-management,working-from-home,1
invoices,time-management,1
difficult-client,evaluating-clients,3
safety,working-from-home,1
copyright,ownership,2
outsourcing,sales,2
late-payment,payment-terms,15
clients,contract-cancellation,1
contracts,price,13
freelance-websites,project,3
late-payment,project-management,1
price,project-management,1
pay-rate,project-management,1
design,subcontracting,1
growth,outsourcing,1
ownership,portfolio,2
pay-rate,webmasters,1
clients,payment-terms,1
project,small-projects,1
foreign-incorporation,registration,1
attracting-clients,contract-to-hire,1
freelance-websites,time-tracking,1
billable-hours,estimation,2
information-technology,payment-terms,2
clients,group-freelancing,1
maintenance,web-development,1
freelance-websites,legal,16
changes,time-management,1
contract-cancellation,payment-terms,4
contracts,referral,1
canada,travel,1
expenses,translations,1
foreign-incorporation,usa,1
marketing,partner,1
advertising,linkedin,1
sales,taxes,1
legal,writing,1
late-payment,pay-rate,1
growth,price,1
client-support,project-management,3
freelance-websites,time-management,4
nonprofit,taxes,1
difficult-client,maintenance,2
interview,working-from-home,1
invoices,usa,4
payment-terms,price-per-hour,5
portfolio,webmasters,2
design,marketing,1
price,taxes,1
estimation,invoices,2
attracting-clients,payments,4
attracting-clients,local-business,1
price,sales,1
fixed-price,programmer,1
uk,usa,4
communication,interview,1
canada,small-projects,2
late-payment,legal,11
time-tracking,working-from-home,2
attracting-clients,money,1
difficult-client,price,1
clients,design,1
invoices,uk,13
freelance-websites,group-freelancing,9
attracting-clients,project-bidding,5
moonlighting,project,1
fixed-price,negotiation,4
legal,portfolio,4
invoices,time-tracking,2
marketing,moonlighting,1
communication,difficult-client,15
invoices,price-per-hour,1
linkedin,marketing,1
late-payment,uk,3
remote,subcontracting,1
invoices,payments,11
marketing,writing,1
taxes,working-from-home,2
payment-terms,payments,26
difficult-client,time-management,5
contract-cancellation,difficult-client,6
attracting-clients,offer,1
registration,switzerland,1
profit-share,share-ratio,1
hmrc,software,1
contracts,payments,17
registration,taxes,1
price,software,4
negotiation,pay-rate,10
invoices,software,2
long-term,pay-rate,2
contracts,project,2
