Tag1,Tag2,Num_Occurrence
ai,tile,1
assets,minecraft-modding,2
playstation4,xbox360,2
box2d,gradle,1
debugging,voxels,1
c#,google-play-services,4
spritebatch,windows-phone-7,1
hardware,software-rendering,1
directx,visual-studio,6
networking,node.js,8
automation,unity-webgl,1
rendering,tile,2
ogre,opengl-es2,4
rigidbody,scale,2
glm,pc,1
swift,unity,1
file-format,porting,1
unity,user-generated-content,1
glew,opengl,21
android,mouse,2
pico-8,textures,1
algorithm,collider,1
beziers,car,1
game-industry,mingw,1
lerp,online,1
cocos2d-x,coordinates,3
performance,procedural,1
game-state,security,1
shaders,terrain-rendering,6
color,platform,1
first-person-shooter,heightmap,1
game-maker,tiles,1
graphic-effects,winapi,1
easeljs,html-canvas,2
3d,shadermodel3,1
delphi,parallax-scrolling,1
floating-point,rotation,1
collision-detection,python,34
monotouch,physics,1
image-effects,post-processing,3
gpu,rendering,17
hardware,input,1
vector,vertex,4
socket,udk,1
csg,rendering,1
glsl,rotation,3
data,design-patterns,3
entity-system,gameobject,3
game-maker,hud,2
graphics-design,mathematics,1
c++,sphere,4
terrain,tile-bitmasking,1
graph,unity,5
c++,path-finding,28
directx9,hdr,1
spawning,tiles,1
c++,profiling,5
flex,game-design,1
destructables,unreal-4,1
gui,software-engineering,3
c++,porting,5
android,savegame,10
rotation,sharpdx,1
easing,lua,1
animation,blending,8
gameobject,rigid-body-dynamics,1
menu,sdl2,1
swing,transparency,1
interpolation,timestep,4
.net,jquery,1
3d-meshes,ios,1
chipmunk,iphone,1
distribution,xna,2
png,shaders,1
hlsl,struct,1
component-based,fsm,3
appstore,trademark,2
ngui,wpf,1
movement,urho3d,1
animation,screen,2
distribution,physics,1
json,loading,1
effects,sound-effects,1
c#,grid,24
graphics,rendering,56
glm,shaders,2
color,image,9
c#,sharpdx,75
camera,stage3d,1
opengl-es,side-scroller,1
graphics-programming,opengl,93
maps,world-editor,1
geometry,sprites,3
collider,sphere,1
documentation,unity,1
culling,procedural-generation,1
physics,screen,1
game-center,spritekit,2
compatibility,hardware,1
2.5d,isometric,9
racing,sound-effects,2
linux,opengl-es2,2
axis,picking,1
2d,graphic-effects,23
maya,special-effects,1
.net,kinect,1
character,text-based,1
image-effects,layers,1
c,sfml,5
software-engineering,testing,3
intersection,monogame,1
accessibility,gui,1
motion,oculus,1
cocos2d-x,fbo,1
adventure-game-studio,iphone,1
gimp,spritesheet,1
input,selection,2
c++,visual-studio,40
tessellation,unity,6
directx11,shadows,4
android,bluetooth,3
bullet-physics,objective-c,1
isometric,layers,1
android-studio,game-maker,3
data-structure,game-design,11
directx9,directxmath,1
geometry,procedural,4
3d,intersection,7
algorithm,vertex-arrays,1
c#,graphic-effects,17
monogame,orbit,1
automation,libgdx,1
blender-game-engine,shaders,2
shadows,signed-distance-field,1
camera,game-maker,7
matrix,sfml,1
c++,separating-axis-theorem,8
hardware,nintendo,1
ashley,scala,1
deferred-rendering,multiple-render-targets,3
control,twinstick,1
competition,matchmaking,1
game-maker,graphics,1
raymarching,unity,2
shuriken,unity,5
multiplayer,platformer,2
c#,javascript,33
line-of-sight,roguelikes,1
gui,screen,1
c#,parallax-scrolling,4
assets,swift,1
mobile,server,8
assets,data,2
angles,kinect,1
input,trigonometry,1
plugin,vb.net,1
playstation4,unity,3
camera,export,2
collision-detection,jbox2d,4
business,planning,1
html-canvas,movement,10
keyboard,winapi,1
3d-meshes,xna-4.0,2
macos,pc,2
moving-platforms,unity,6
palette,textures,3
portals,unity,4
collision-detection,mmo,7
frame-rate,vb.net,1
frame-buffer,normal-mapping,1
aspect-ratio,opengl,5
fbo,lwjgl,1
graphics-programming,xna-content-pipeline,1
client,fixed-timestep,1
blending,jogl,1
bsp,godot,1
databases,single-player,1
anti-cheat,websocket,1
character,rpg,10
c++,character,5
path,software-engineering,1
lighting,stencil,2
iphone,legal,3
graphics,vector,9
coordinates,vertex,2
automation,unit-testing,1
