Tag1,Tag2,Num_Occurrence
desktop,power-supply,5
audio,raspberry-pi,1
bluetooth,gaming,2
backup,nas,1
desktop,linux,4
network-adapter,router,2
motherboard,pfsense,1
nfc,smartphones,1
energy-efficient,gps,1
sound-system,television,1
graphics-cards,windows,3
development,video-editing,1
gaming,virtual-machines,2
bluetooth,laptop,1
microcontroller,performance,1
nas,router,1
portable,smartphones,1
audio,sound-cards,5
access-point,web-server,1
networking,switch,11
motherboard,pc,14
linux,memory,5
processor,rendering,3
performance,processor,6
api,tracking-devices,1
microphones,wifi,1
displays,smartphones,1
apple,sata,1
battery,battery-life,1
arduino,gps,1
wifi,windows,3
ubuntu,vga,1
ubuntu,usb,1
printer,wifi,3
home-electronics,smart-device,1
audio,mini-pc,1
hdtv,home-electronics,1
encryption,windows,1
memory,smartphones,1
mice,windows,2
hard-disk,networking,1
embedded-systems,video,1
automation,smart-device,1
game-development,ssd,1
display-port,docking-stations,1
home-electronics,switch,1
microphones,windows,1
ethernet,scientific-instruments,1
gps,tracking-devices,3
4k,gaming,4
high-end,router,1
keyboards,laptop,6
home-electronics,television,2
mobile-phone,touchscreen,1
ubuntu,video-adapters,2
pc,windows,5
keyboards,logitech,1
gaming,web-development,1
memory,motherboard,22
audio-adapters,audio-recording,1
power-converter,ups,1
networking,signal-processing,1
hard-disk,nas,13
bluetooth,gps,2
home-security,video,3
memory,virtual-machines,1
hdmi,smartcards,1
monitors,portable,1
hdtv,multiple-monitors,1
nas,sata,2
smart-device,wifi,1
embedded-systems,hdmi,1
compatibility,graphics-cards,2
development,music,1
gaming,router,3
automation,hdmi,2
headset,windows,2
fanless,mini-pc,1
mini-pc,networking,1
network-adapter,switch,1
compatibility,legacy,1
hard-disk,windows,2
android,data-storage,1
case,usb,1
gaming,remote-control,2
laptop,uhd,1
power-bank,solar-power,1
networking,ssd,1
motherboard,raid,1
heat-sink,monitors,1
home-electronics,usb,1
dvi,usb,1
dvd-player,set-top-box,1
desktop,pcie,3
sbc,web-server,1
raid-controller,server,1
graphics-cards,thin-client,1
linux,wifi,5
laptop,power,3
desktop,display-port,1
all-in-one,laptop,1
audio-recording,sd-card,1
router,wifi,24
networking,pc,1
laptop,windows,16
raspberry-pi,speakers,1
linux,nas,2
laptop,smps,1
development,uhd,2
display-port,projector,1
bluetooth,mp3-player,2
fanless,linux,1
security,wireless,1
pcie,usb,3
keyboards,windows,4
multiple-monitors,thunderbolt,1
android,displays,2
