Tag1,Tag2,Num_Occurrence
sweetness,yeast,1
airlock,problems,2
equipment,yeast-starters,2
apartment,steeping,1
repitch,saison,1
yeast,yeast-washing,1
bottle-bomb,bottles,1
fruit,yeast,3
bottle-conditioning,cellaring,1
recipe-scaling,specific-gravity,1
mash,rims,3
recipe-scaling,spices,1
temperature,yeast-starters,2
secondary-fermentation,sediment,3
beer,liquor,1
ginger-beer,lactobacillus,1
extract,grain,3
over-carbonation,techniques,1
bottle,permanent,1
cider,fermenter,2
decoction,smash,1
beer,finings,2
boil,equipment,7
cider,contamination,4
biab,kettle,2
oxidation,temperature-control,1
coffee,srm,1
doppelbock,lagering,1
recipe-formulation,yeast,1
boil,extract-plus-grains,2
chilling,projects,1
brewing,conversion,1
k-meta,potassium-meta-bisulfite,2
bottling,judging,1
lactobacillus,mash,1
bitterness,coffee,2
conditioning,packaging,2
airlock,lager,2
malt,yeast-starters,1
fermentation,oak,2
oats,recipe,1
process,stuck-fermentation,1
grow,ingredients,1
aging,skunk,1
sparge,wort,3
additives,secondary,1
harvest,hops,2
first-time-brewer,liquor,2
attenuation,primary,1
coopers,sugar,1
ingredients,nuts,1
process,specialty-grains,1
bottles,cork,1
best-practices,wort,1
lager,yeast,15
mash,reuse,1
bottling,sour,3
final-gravity,gravity-reading,1
beer,spoilage,2
aging,oxidation,1
bottle-conditioning,kegging,3
equipment,pump,3
brewing,starter,1
adjuncts,mash,2
belgian,wyeast,1
carbonation,taste,1
color,yeast-nutrient,1
contamination,pitching,1
flavor,fruit,6
malt,pilsner,1
honey,taste,1
beer,sour,5
cellaring,refrigerator,1
ale,honey,1
dry-hop,first-time-brewer,8
starter,yeast-starters,7
aroma,cider,5
fermentation-temperature,ipa,1
chilling,small-space,1
bottling,corny-keg,2
off-flavor,partial-mash,1
malt,starter,1
belgian,bitterness,1
stuck-fermentation,yeast-starters,2
equipment,secondary-fermentation,2
bottle-conditioning,brewing,1
copper,irish-moss,1
chiller,pump,1
all-grain,process,6
equipment,measurements,4
oats,wheat,1
beer,capping,5
help,temperature-control,1
corny-keg,over-carbonation,1
fermenter,temperature,1
bitterness,ipa,1
