Tag1,Tag2,Num_Occurrence
abstract-algebra,complex-analysis,1
aerodynamics,biographical-details,1
computers,mathematical-logic,1
academia,mathematical-logic,1
physics,statistical-mechanics,5
death,psychology,1
examples,quote,1
book-recommendation,physics,4
combinatorics,naming-conventions,1
experimental-physics,theoretical-physics,4
computer-science,psychology,2
architectural-engineering,chemistry,1
statistical-mechanics,thermodynamics,3
physics,time,4
mathematics,publishing,14
group-theory,topology,2
mathematics,nazi-germany,1
biology,language,1
atomic-theory,world-war-2,2
group-theory,terminology,6
ancient-china,terminology,1
astronomy,light,1
elementary-algebra,terminology,1
magnetism,physics,4
geometry,group-theory,2
mathematicians,measurement,2
reference-request,topology,4
academia,mathematicians,2
astronomy,optics,1
differential-equations,reference-request,1
computer-science,japan,1
aerodynamics,technology,1
radiation,thermodynamics,1
materials-science,thermodynamics,4
calculus,mathematical-physics,4
nazi-germany,thermodynamics,1
biographical-details,relativity-theory,2
astronomy,evolution,1
depiction-of-scientists,mathematical-physics,1
leibniz,newton,1
biology,social-sciences,1
relativity-theory,string-theory,1
ancient-india,zero,1
mathematicians,set-theory,4
medicine,physiology,3
discoveries,physiology,1
astronomy,chemistry,1
ancient,engineering,1
ancient-egypt,discoveries,1
algebraic-geometry,number-theory,1
medieval,technology,2
ancient-greece,roman-empire,2
reference,reference-request,4
chemistry,group-theory,1
quantum-mechanics,reference-request,4
academia,publishing,10
geometry,notation,1
calculus,statistics,1
psychology,social-context,1
mathematics,psychology,1
aerodynamics,biology,1
astronomy,classical-mechanics,3
galileo,infinity,1
examples,teaching,1
ancient-greece,medicine,2
electromagnetism,radiation,4
cosmology,relativity-theory,1
calculus,celestial-mechanics,1
mathematics,real-analysis,32
calculus,galileo,1
ancient-greece,geometry,7
publishing,real-analysis,1
nobel-prize,scientific-method,1
medicine,publishing,1
classical-mechanics,optics,1
philosophy-of-science,psychology,1
acoustics,thermodynamics,1
discoveries,nuclear-physics,1
ancient-greece,zero,1
academic-awards,mathematical-logic,1
nazi-germany,radiation,1
notation,terminology,16
cybernetics,neuroscience,2
biographical-details,combinatorics,1
alchemy,notation,1
galileo,quote,1
notation,reference-request,4
nobel-prize,world-war-2,2
earth-sciences,philosophy-of-science,1
computer-science,death,1
medicine,terminology,2
academic-awards,biographical-details,1
astronomy,time,5
einstein,nobel-prize,1
bias,publishing,1
academia,ancient-egypt,1
linguistics,machine-learning,1
computers,world-war-2,1
abstract-algebra,geometry,2
psychology,reference-request,2
elementary-algebra,reference-request,4
euclidean-geometry,newton,1
ancient-china,physics,1
depiction-of-scientists,scientific-method,4
cell-biology,terminology,1
quantum-mechanics,theoretical-physics,11
ancient-greece,astronomy,8
acoustics,discoveries,2
discoveries,mathematical-physics,1
atomic-theory,experimental-physics,1
india,scientific-method,1
classical-mechanics,social-context,1
complex-analysis,geometry,1
atmosphere,physics,1
ancient-greece,philosophy-of-science,3
biographical-details,depiction-of-scientists,3
ancient,technology,1
physics,publishing,6
differential-equations,discoveries,1
electromagnetism,physics,25
galois-theory,group-theory,2
machine-learning,mathematicians,1
cosmology,terminology,1
computers,electricity,1
mathematicians,zero,1
archaeoastronomy,mathematics,1
mathematical-physics,physics,11
ancient-egypt,measurement,1
differential-equations,terminology,3
computer-science,education,1
mathematics,optics,1
medieval,terminology,1
ancient-greece,mathematical-logic,1
terminology,time,1
experimental-physics,light,1
biology,genetics,2
debunking,topology,1
experimental-physics,newton,2
biology,quote,1
nazi-germany,nuclear-physics,1
academia,biographical-details,2
earth-sciences,physics,2
gravity,roman-empire,1
education,theoretical-physics,2
steam-engines,thermodynamics,2
linguistics,social-sciences,1
atomic-theory,nuclear-physics,4
mathematical-physics,philosophy-of-science,3
reference-request,social-context,1
particle-physics,physics,6
mathematicians,quote,4
geometry,mathematical-logic,1
examples,mathematicians,2
computer-science,technology,1
light,philosophy-of-science,1
elementary-algebra,notation,1
naming-conventions,social-context,3
einstein,mathematics,2
einstein,theoretical-physics,8
electromagnetism,optics,1
ancient,optics,1
statistical-mechanics,terminology,1
