Tag1,Tag2,Num_Occurrence
seed,wallet,16
address-reuse,reattach,1
hashing,tip-selection,1
microtransaction,transaction,1
address,winternitz,1
hardware-wallet,security,2
database,iri-node,4
iri-node,udp,1
privacy,transaction,2
proxy,windows,1
dag,smart-contract,1
exchanges,iota-network,1
error,javascript,1
pow,tangle,3
economics,peaq,1
ports,tcp,1
documentation,double-spending,1
peaq,transaction,1
double-spending,iota-network,1
documentation,iri-api,1
address,private-key,3
address-reuse,seed,3
coordinator,security,3
curl,hashing,2
neighbors,tangle,2
scalability,subtangles,1
ternary,transaction,1
hardware-wallet,wallet,5
permanode,spam,1
address,signing,2
internet-of-things,iri-api,1
android-wallet,private-key,1
android-wallet,light-node,1
iota-network,java,1
address,iri-api,6
attach-to-tangle,tangle,2
iota-network,reattach,2
energy-consumption,iota-network,2
data-marketplace,raspberry-pi,1
internet-of-things,tangle,1
neighbors,nelson,2
dag,security,1
terminology,ternary,1
privacy,wallet,1
consensus,tangle,6
curl,iota-recovery,1
data-marketplace,sensor,3
iota-network,syncing,1
proof-of-work,tips,1
data-marketplace,microtransaction,1
iri-node,request,2
iri-api,optional-tag,1
internet-of-things,transaction,1
iri-node,spam,1
raspberry-pi,sensor,1
seed,tangle,1
attach-to-tangle,transaction,1
address,reattach,1
masked-authenticated-messaging,privacy,1
node,syncing,3
balances,bundles,1
light-node,security,1
address-reuse,confirmation,1
address-reuse,pending,2
iri-node,stuck,2
tip-selection,white-paper,2
permanode,validation,1
android-wallet,reattach,1
attach-to-tangle,wallet,1
masked-authenticated-messaging,sensor,1
address-reuse,iota-network,1
confirmation,pow,2
private-key,seed,1
sensor,wallet,1
balances,token,1
tcp,udp,4
nelson,swarmnodes,1
android-wallet,hardware-wallet,1
iota-network,transaction,13
stitching,subtangles,1
smart-contract,timestamp,1
keylogger,seed,2
nelson,node,1
ports,protocol,1
development,masked-authenticated-messaging,1
flash-channel,protocol,1
iota-network,pow,1
security,validation,1
dag,tangle,3
spam-attack,tip-selection,1
economics,node,1
economics,scalability,1
binance,wallet,1
seed,transaction,3
attack-vectors,spam-attack,1
milestones,tangle,3
address-reuse,transaction,5
attack-vectors,tip-selection,1
jinn,ternary-hardware,2
cli-wallet,wallet,2
iri-node,ixi,4
balances,confirmation,2
security,transaction,8
spam,tip-selection,1
masked-authenticated-messaging,pyota,1
bundles,pow,1
iri-api,proxy,1
iota-network,nelson,1
local,node,1
confirmation,coordinator,3
double-spending,white-paper,4
hardware-wallet,light-node,1
bundles,ternary,1
tangle,transaction,23
android-wallet,pending,2
iota-network,signing,2
security,sensor,1
error,ixi,1
seed,winternitz,1
iri-node,stitching,1
foundation,security,1
node,sync,1
bitfinex,wallet,2
iri-node,lazy-tips,1
cli-wallet,iri-node,2
iri-node,log,2
clustering,coordinator,1
address,public-key,3
internet-of-things,pow,3
iri-node,security,10
binance,iota-network,2
bundles,signing,3
node,server,2
consensus,double-spending,4
machine-to-machine,microtransaction,1
exchanges,seed,1
attack-vectors,storage,1
address-reuse,machine-to-machine,1
confirmation,promote,1
iri-node,windows,1
lamport,quantum-resistant,1
address-reuse,double-spending,3
arduino,sensor,1
pearldiver,proof-of-work,1
pyota,transaction,1
iri-api,tangle,4
iota-network,tip-selection,3
address,coordinator,1
flash-channel,microtransaction,1
bundles,trunk,3
binance,pending,1
balances,transaction,2
tip-selection,trunk,1
iota-network,proof-of-work,1
powbox,sandbox,1
database,milestones,1
iri-api,seed,2
fees,microtransaction,1
reattach,snapshot,2
bundles,data,2
cpu,iri-node,3
iri-node,storage,2
pow,transaction,7
timestamp,transaction,3
consensus,tip-selection,1
coordinator,dag,1
iri-api,syncing,1
denial-of-service,iri-node,1
node,udp,1
dag,fork,1
hashing,tangle,1
attach-to-tangle,trunk,1
iota-network,udp,2
milestones,syncing,4
iri-node,masked-authenticated-messaging,1
security,udp,1
fork,protocol,1
double-spending,reattach,1
iota-recovery,javascript,1
database,permanode,1
milestones,node,1
curl,pow,2
javascript,tangle,1
javascript,testnet,1
proof-of-work,security,1
quantum-resistant,winternitz,1
proof-of-work,tangle,3
quantum-resistant,security,2
attack-vectors,security,1
iota-recovery,kerl,1
iri-node,vps,1
coordinator,tangle,4
iota-network,spam-attack,4
internet-of-things,node,1
address-reuse,android-wallet,2
decentralization,economics,1
signing,validation,1
coordinator,iri-node,5
curl,kerl,2
tangle,white-paper,5
iri-node,javascript,3
light-node,permanode,1
iri-node,sidetangle,1
snapshot,subtangles,2
algorithm,spam-attack,1
lamport,transaction,1
internet-of-things,seed,2
tangle,tips,3
address,iri-node,2
tangle,wallet,3
documentation,security,2
economics,iri-node,2
iota-network,tcp,1
pyota,tangle,1
pending,wallet,6
bitfinex,exchanges,1
iri-node,light-node,4
address,confirmation,1
database,security,1
address,hashing,2
branch,pow,1
blowball,tangle,1
address,scalability,1
local,sync,1
permanode,snapshot,2
hashing,request,1
iota-recovery,transaction,1
economics,transaction,2
address-reuse,snapshot,2
address,bitfinex,1
private-key,transaction,3
bundles,java,1
address-reuse,lamport,1
address-reuse,winternitz,3
offline,security,1
address,address-reuse,9
pending,reattach,7
iri-node,requirements,1
snapshot,transaction,3
iri-api,ports,1
double-spending,flash-channel,1
neighbors,udp,1
double-spending,security,7
masked-authenticated-messaging,tip-selection,1
iri-node,tips,1
pending,security,2
milestones,transaction,3
iota-network,masked-authenticated-messaging,6
iri-node,permanode,2
hashing,iri-node,1
security,seed,18
bitfinex,transaction,2
qubic,smart-contract,2
confirmation,iri-node,2
private-key,reattach,1
address-reuse,private-key,2
local,snapshot,1
iri-node,transaction,16
promote,transaction,3
sync,wallet,1
transaction,validation,5
scalability,snapshot,1
local,wallet,1
iota-network,swarmnodes,1
java,transaction,1
bundles,transaction,13
iota-network,white-paper,7
public-key,transaction,1
milestones,stuck,1
internet-of-things,microtransaction,1
android-wallet,security,3
iri-node,testnet,2
attack-vectors,data,1
database,server,1
data,storage,1
iota-network,iri-node,16
address,tangle,4
iota-network,iri-api,4
coordinator,qubic,1
smart-contract,tangle,1
decentralization,iri-node,1
tips,transaction,2
data-storage,permanode,1
lamport,signing,2
balances,iri-api,1
light-node,raspberry-pi,1
lazy-tips,sidetangle,1
flash-channel,transaction,4
cli-wallet,iri-api,1
tangle,tip-selection,2
economics,spam-attack,1
error,wallet,2
iota-network,security,7
requirements,tangle,1
stitching,tangle,1
address,checksum,1
hashing,proof-of-work,1
hashing,seed,1
iri-node,proxy,1
pending,tangle,2
attach-to-tangle,private-key,1
double-spending,tip-selection,1
security,white-paper,1
data,signing,1
neighbors,nodesharing,1
bundles,security,3
bundles,reattach,1
data-marketplace,sales,1
light-node,seed,1
aws,iri-node,2
iri-api,snapshot,3
development,raspberry-pi,1
offline,subtangles,1
data,sales,1
iota-network,javascript,2
iri-node,ternary,1
address,iota-recovery,2
syncing,tangle,1
double-spending,pow,1
bundles,hashing,3
iota-network,privacy,1
iri-node,nodesharing,1
lamport,winternitz,3
light-node,node,1
java,ternary,1
confirmation,tangle,3
energy-consumption,internet-of-things,3
ixi,masked-authenticated-messaging,2
java,light-node,1
data,masked-authenticated-messaging,1
iota-network,iota-recovery,1
address,bundles,2
iota-network,neighbors,4
invalid-consistency,transaction,2
reattach,wallet,1
iota-network,node,6
signing,tangle,2
iota-network,promote,1
iota-recovery,snapshot,1
seed,snapshot,3
reattach,rebroadcast,1
database,transaction,1
attach-to-tangle,proof-of-work,1
neighbors,testnet,1
min-weight-magnitude,pow,1
iri-node,ports,2
bundles,milestones,1
algorithm,white-paper,1
double-spending,tangle,10
bundles,iri-node,1
iota-network,raspberry-pi,1
android-wallet,double-spending,3
attach-to-tangle,development,1
iri-node,syncing,8
gossip-protocol,transaction,1
privacy,tangle,1
attach-to-tangle,spam,1
attach-to-tangle,snapshot,1
mcmc,tip-selection,3
iri-node,server,2
iri-node,neighbors,10
dag,pow,1
internet-of-things,scalability,1
double-spending,iri-node,1
error,windows,1
iota-cli,iri-api,1
exchanges,internet-of-things,1
iri-api,pyota,1
iri-api,validation,1
address,security,8
security,server,1
java,windows,1
data-marketplace,development,1
snapshot,sync,1
node,pending,1
balances,iri-node,1
branch,transaction,4
dag,white-paper,1
economics,token,2
double-spending,wallet,3
coordinator,decentralization,1
masked-authenticated-messaging,snapshot,1
iri-api,java,3
tangle,validation,1
coordinator,snapshot,1
bundles,tips,1
security,signing,3
address,attach-to-tangle,3
javascript,snapshot,1
protocol,security,1
snapshot,ternary,1
masked-authenticated-messaging,tangle,5
branch,tip-selection,1
balances,wallet,3
development,sensor,1
smart-contract,transaction,1
