Tag1,Tag2,Num_Occurrence
islamic-government,war,1
akhirah,salat,4
arabic-translation,tafseer,9
hunting,tafseer,1
laylat-al-qadr,ramadan,8
shia-sunni,surat-al-baqarah,1
nikah-al-mutah,prophet-muhammad,2
bidah,hanbali,1
bohra,shia-sunni,1
consent,talaq,1
hadith-interpretation,hajj,2
muslim-practices,salat,16
apostasy,punishment,2
authenticity,battles,2
prophet-muhammad,violence,1
jahiliyya,quran,1
hadith-interpretation,miraj,1
surat-adh-dhariyat,surat-saad,1
hadith,moon,1
men-women,physical-contact,2
shirk,time,1
quran,surat-al-ahzab,2
dua,hanafi,2
halal-haram,reading-quran,1
democracy,history,1
human-body,muslim-practices,1
adornments,halal-haram,2
salat,time,8
non-mahram,touching,1
interfaith,wali,1
terminology,women,1
fiqh,moon,1
dogs,taharah,1
adultery,witness,2
revelation,terminology,1
conversion,hadith,5
business,non-muslim,2
animals,authenticity,1
apostasy,practical-islam,1
masjid,reward,1
dhabihah,udhiyyah,1
miracles,surat-al-qamar,2
depiction,image,1
creation,prophet-muhammad,2
day-of-judgement,hadith,6
disasters,surat-al-baqarah,1
bidah,makruh,1
books,cartoon,1
shaitan,source-identification,2
government,rashidi-caliphs,1
arabic-translation,tawiz,2
men,sports,1
imam-mahdi,shia-imam,1
hadith-interpretation,islamic-basis,3
sharia,theft,5
modesty,non-mahram,2
islamic-scholar,sahih-muslim,1
christianity,practical-islam,7
masturbation,najis,1
arabic,mumin,1
bidah,islamic-philosophy,1
animals,quran,5
men-women,obligation,1
punishment,rajm,4
bani-israel,belief,1
bidah,quran,1
other-religions,worship,1
family,husband,3
eid-ul-adha,muslim-practices,1
clothing,wudu,3
dawah,halal-haram,1
atheism,jannah,1
islamic-philosophy,scripture,1
islamic-scholar,source-identification,3
definitions,usool-ul-fiqh,4
food,sawm,5
image,sunni,1
islamic-philosophy,omnipresence,2
halal-haram,quran-recitation,5
eschatology,history,1
riba,tafseer,1
alcohol,music,1
medical,reward,1
allah,wudu,2
rape,zina,2
hajj,meat,1
imamah,shia-sunni,2
halal-haram,source-identification,6
dua,practical-islam,7
khums,money,1
belief,free-will,1
finance,islamic-government,2
contract,practical-islam,1
islamqa,women,1
martyr,punishment,1
hair,men,3
taqlid,terminology,1
investment,riba,7
eid,nikah,1
authenticity,islamic-scholar,1
allah,surat-ash-shura,1
naming,phrase,1
art,profession,1
shafii,usool-ul-fiqh,1
islamic-scholar,shirk,2
drawing,sin,1
history,quranic-events,5
creation,universe,4
forgiveness,punishment,5
finance,jizya,1
sadaqah,tafseer,1
blood,husband-wife,1
belief,hell,2
prophet-ibrahim,seerah,1
children,talaq,1
fiqh,ramadan,16
hadith,revelation,4
practical-islam,uloom-al-hadith,1
respect,sunni,1
muharram,sawm,1
prophet-ibrahim,quran,1
eid-ul-adha,parents,1
game,sin,1
ahl-ul-bayt,prophets,1
dua,tashahhud,3
day-of-judgement,islamic-philosophy,1
allah,surat-maryam,1
non-muslim-countries,sharia,7
husband-wife,obligation,1
caliph,islamic-government,1
culture,respect,1
punishment,salat,4
hadith-interpretation,laylat-al-qadr,1
money,sunnah,1
ijma,usool-ul-fiqh,3
language,transgender,1
gambling,practical-islam,3
language,prophets,1
medical,muslim-practices,1
love,sexuality,1
self-purification,taharah,2
food,muslim-practices,2
islamic-philosophy,tawheed,2
baby,hadith-interpretation,1
cartoon,game,1
judaism,malaikah,1
authenticity,death,1
judaism,torah,3
islamic-philosophy,morality,3
surat-at-talaq,tafseer,1
conversion,wali,2
reference-request,wives-of-the-prophet,1
arabic-translation,moon,1
food,riba,1
hajj,salat,1
quran,seerah,1
hojjat,sunni,1
quran,women,12
authenticity,jinn,1
arabic,surat-an-nisa,1
anger,sufism,1
business,women,1
hijab,non-muslim-countries,1
alcohol,behavior,1
authenticity,fatima-zahra,1
martyr,shiism,1
akhirah,jannah,11
masjid-al-haram,qiblah,1
wajib,witr,1
quran,sports,1
creation,surat-al-alaq,1
circumcision,muslim-practices,2
fatwa-explanation,islamic-philosophy,1
hadith,oaths,1
khums,shiism,1
prostration,sunnah,1
celebration,practical-islam,1
hussain,source-identification,2
shaitan,sin,6
finance,software,1
nikah,sex,48
hadith-interpretation,imam-mahdi,1
masturbation,reading-quran,1
definitions,martyr,1
hijab,wives-of-the-prophet,1
sharia,tv,1
aqeeqah,sharia,2
terminology,travelling,1
nikah,tawiz,1
ahlul-kitab,surat-al-maidah,1
fiqh,talaq,21
science,scientific-proof,5
halal-haram,rent,1
barzakh,islamic-philosophy,1
fiqh,reciting,1
last-day,quran,1
history,prophet-isa,6
men,muslim-practices,1
hadith,nafl,2
dua,khutbah,1
knowing-islam,quran,1
adhan,taharah,2
sufism,sunni,1
akhirah,prophet-isa,1
dua,women,2
day-of-judgement,technology,1
arabic-translation,nikah-al-mutah,1
hadith-interpretation,taraweeh,1
awrah,ghusl,1
reference-request,sex,1
islamic-scholar,tafseer,2
halal-haram,poetry,1
hajj,shiism,1
family,greetings,1
non-muslim,secular,1
child-adoption,zina,1
hindu,messengers,1
grave,human-body,1
books,prophet-muhammad,4
modesty,nikah,2
salat-qada,sharia,1
islamic-scholar,uloom-al-hadith,6
aqidah,mankind,1
baby,hair,1
islamic-basis,sawm,2
disability,hadith,1
