Tag1,Tag2,Num_Occurrence
component,contact,1
cck,extensions,1
fof,form,1
contact-form,joomla-3.5,1
cookies,extensions,1
.htaccess-configuration,seo,5
joomla-3.3.x,login,3
layout,style,1
com-content,templates,1
joomla-3.x,template-framework,2
development,profile,1
articles,sef,1
development,session,4
css,joomla-3.7,2
model,sql,1
joomla-3.x,module,118
error-handling,php7,2
menu,mobile-detection,1
joomla-1.5,plugin,2
regex,validation,2
extensions,front-end,1
joomla-3.4,permissions,2
.htaccess-configuration,plugin,3
database,jfactory,3
fatal-error,mvc,1
calendar,fields,1
language,module,5
model,module,3
administrator,article-manager,5
form-fields-types,overrides,1
jdatabase,joomla-3.4,3
custom-component,javascript,2
access,security,2
development,system-plugin,6
fix-my-code,mvc,3
category,menu,3
filter,joomla-3.7,1
fatal-error,joomla-3.6,3
joomla-3.5,php7,2
extensions,one-click-updates,1
articles,content-filtering,4
category,joomla3.8,2
itemid,rsform,1
joomla-3.4,validation,1
error-reporting,koowa,1
bugs,component,1
administrator,menu,5
images,seo,1
articles,twitter-bootstrap-2,1
icon,submenu,1
.htaccess-configuration,alias,1
migration,update,2
joomla-3.x,view,20
custom-component,tinymce,1
com-content,joomla-3.4,5
ssl,url,1
extensions,features,2
content,front-end,2
joomla-3.9,update,1
contact,emails,1
joomla-2.5,menu,9
component-params,menu-parameters,2
jmail,joomla-3.x,7
module,translation,2
update,url,1
array,jinput,1
account-password,joomla-3.3.x,1
configuration,global-configuration,5
extensions,plugin-events,1
css,joomla-3.x,81
akeebabackup,joomla-3.6,1
installation,plugin-events,1
ajax,menu-item,1
bug-testing,component,1
joomla-2.5,joomla-3.x,110
administration,redirect,2
css,tags,2
custom-field,joomla3.8,3
content,popup,1
date,joomla-3.4,2
joomla-mail,server-configuration,1
joomla-3.7,plugin,2
installation,postgresql,2
joomla-2.5,module,31
.htaccess-configuration,joomla-2.5,7
joomla-3.x,jroute,8
articles,mod-articles-category,1
global-configuration,logs,2
date,joomla-api,1
global-configuration,module,2
performance,templates,1
custom-component,security,1
component,overrides,11
php,rsform,8
joomla-3.x,readmore,1
menu-item,router,1
front-end,template-manager,1
component,filter,2
jomsocial,joomla-2.5,1
file-permissions,file-upload,6
backups,database,1
gzip,joomla-3.x,2
access,joomla-3.5,1
extension-request,module-display,1
form-fields-types,tags,3
form,rsform,1
language,virtuemart,1
extension-update,one-click-updates,2
content,media-manager,2
custom-field,pagination,1
administration,configuration,4
chronoforms,k2,1
category-blog,joomla-3.6,2
module,registration,1
database,fabrik,1
joomla-3.7,security,1
content,extensions,1
contact-form,template-override,1
joomla-2.5,media-manager,1
fields,search,1
module,t3-framework,1
active,alias,1
migration,mysql,2
emails,task,1
joomla-3.4,registration,2
fix-my-code,jroute,1
javascript,recommended-practices,1
contact-form,joomla-3.6,1
beginner,jhtml,1
contact,subcategories,1
joomla-3.x,jsession,7
joomla-3.x,twitter-bootstrap-3,6
localhost,troubleshooting,1
form,validation,1
category-blog,error-pages,1
batch,joomla-3.x,1
global-configuration,mysql,1
administrator,hosting,2
joomla-3.9,mysql,1
curl,restful-api,1
component,component-configuration,2
connection,php,1
metadata,search,1
google-analytics,user-groups,1
javascript,overrides,2
content-filtering,jlayout,1
content,development,2
articles,content,8
joomla-3.4,overrides,2
facebook,metadata,4
form,view,1
fatal-error,localhost,1
cache,nginx,1
.htaccess-configuration,permissions,1
jform,user-groups,1
joomla-2.5,joomla-3.3.x,16
cms,templates,3
articles,category,21
extensions,security,6
bootstrap,joomla-3.7,1
administrator,icon,1
custom-field,front-end,1
articles,php,14
articles,migration,1
dropdown,joomla-3.5,1
database,form-fields-types,2
installation,joomla-3.4,4
articles,editing,3
jform,joomla-3.x,41
php,security,9
fof,plugin,1
joomla-2.5,language,6
database,search,3
access,cms,1
joomla-3.5,user,4
external-script,session,1
com-plugins,component,1
menu,overrides,2
permissions,security,2
php,plugin-events,2
ajax,joomla-3.x,52
jmail,joomla-3.4,2
jrequest,php,1
extensions,multi-sites,1
component,error-handling,3
administrator,jdatabase,1
component-params,custom-component,1
extensions,file-permissions,1
search,seo,1
fix-my-code,menu,2
cookies,jhtml,1
itemid,k2,2
com-content,custom-action,1
joomla-3.x,module-params,15
date,overrides,1
joomla-3.7,pagination,1
php,phpmyadmin,4
server-response-time,wpo,1
php,t3-framework,3
javascript,language,2
alias,php,1
joomla-3.6,readmore,1
deprecated,joomla-api,1
administration,basics,2
sql,virtuemart,1
redirect,virtuemart,1
cache,mvc,1
joomla-2.5,module-params,2
front-end,joomla-3.4,3
fatal-error,update,5
javascript,t3-framework,1
form,joomla-3.4,5
joomla-3.8.12,tags,1
fields,form-fields-types,6
cookies,google-analytics,2
k2,mysql,2
menu,responsive-web-design,2
joomlart,t3-framework,2
custom-module,module-params,5
docblock,joomla-coding-standards,1
chronoforms,jquery,2
joomla-3.4,joomla-api,5
account-password,login,4
acl,user-groups,8
administrator,controller,1
category-blog,menu-item,3
articles,module-display,12
css,joomla-3.6,3
component-params,xml,1
positions,twitter-bootstrap-2,1
cache,joomla-api,2
phpmyadmin,update,1
redirect,wrapper,1
url,view,1
joomla3.8,php,5
javascript,jevents,1
error-handling,fatal-error,1
k2,server-response-time,1
joomla-3.6,plugin,6
error-pages,login,1
com-content,custom-module,1
jrequest,templates,1
access,custom-component,1
article-manager,images,1
joomla-3.4,wrapper,1
joomla-3.4,templates,10
breadcumb,joomla-3.x,2
javascript,validation,1
jroute,navigation,1
non-sef-url,redirect,1
database,server,1
features,installation,1
layout,multilingual,1
cms,wordpress,1
joomla3.8.5,zoo,1
javascript,responsive-web-design,1
development,modal,5
debug,joomla-2.5,1
