Tag1,Tag2,Num_Occurrence
leil-shabbat,sephardi-mizrachi-eastern,1
deorayta,derabanan,20
agada-stories-legends,bava-metzia,2
minor-katan-child,tallit-katan,1
navi-prophets,synagogue,1
tefilla,torah-study,22
ayin-hara-evil-eye,talmud-gemara,1
noachide-laws,science,1
hiddur-mehudar,tefilin,2
parshanut-torah-comment,speech-talking,4
amalek,haman,1
jewish-books,non-religious,1
beard,oil,1
geography,tractate-megillah,2
history,restaurant,2
birds,talmud-gemara,4
shmuel--the-man,tamei-tahor-ritual-purity,1
pardes,sources-mekorot,1
eve-chava,fruits,1
conversion-to-judaism,mourning-aveilus,2
book-of-haggai,messiah,2
mathematics,parashas-yisro,1
allegory-mashal,tzibur-community,1
vayeitzei,yetziat-mitzrayim,1
chazaka,halacha,4
ayin-hara-evil-eye,evil-resha,3
parashat-ki-tisa,shacharis-morning-prayer,2
english,yiddish,1
murder,tznius-modesty,1
marriage,shir-hashirim,1
hoshana-rabbah,yom-kippur,1
pidyon-haben,technology,2
funeral-burial-levaya,medicine,2
choleh-sick,fast-days,4
eretz-yisrael,mourning-aveilus,1
maseches-shabbos,number,1
pikuachnefesh-danger-life,tobacco-cig-smoking,1
slaughter-shochet-shecht,vehicles-transportation,1
priorities,tevilas-keilim-dipping,2
cherem,history,8
hechsher-certification,translation,1
tallit-katan,tying-knots-kosheir,1
book-of-malachi,navi-prophets,1
mesorah-tradition,tznius-modesty,1
hebrew,parashas-shemos,1
passover-seder-hagada,social-convention,1
names,statistics,2
evil-inclination,rabbis,1
pikuachnefesh-danger-life,water,1
apocrypha,english,1
halacha,thought,3
age,men-male,2
mourning-aveilus,taharat-hametim,1
ark-aron-kodesh,history,7
geography,holy-objects,1
age,kavod,5
miracle,purim,3
ketuvim,talmud-gemara,1
hashkafah-philosophy,yirmiyahu--book-of,1
summer,tznius-modesty,1
hechsher-certification,product-recommendation,6
bein-adam-lachavero,lifnei-iver,2
shiurim-measurements,taamei-mitzvot-reasons,1
pesach-sheni,tamei-tahor-ritual-purity,1
parsha-torah-portion,wedding,1
am-yisrael-jewish-nation,brit-milah,1
bread,chatzitzah,2
calendar,chasidut-hasidism,1
har-sinai,shavuos,1
money,parashas-kedoshim,1
capital-punishment,embarrassment,1
levites-leviyim,torah-reading,1
bentching,masechet-berachot,1
acronyms,chasidut-hasidism,1
maseches-menachos,rambam,1
jewelry,marriage,4
meat-and-milk,shabbat,1
animals,king-david,1
allegory-mashal,story-identification,1
censorship,writing-printing,2
calendar,edim-witnesses,1
product-recommendation,trop-cantillation,8
ekev,theology,1
politics-government,tzedakah-charity,1
love,tefilla,1
menora-chanukia,see-sight-vision-blind,3
bechor-firstborn,nissan,1
parshanut-torah-comment,tefilla,6
spelling-variants,vayishlach,1
free-will-bechira,historical-figures,1
maftir,mourning-aveilus,1
color,provenance,1
hiddur-mehudar,stringency-chumrah,1
kissing,shemos-sacred-names,1
abraham,binding-of-isaac,7
shehecheyanu,shofar,1
noachide-laws,shabbat,3
chabad,evening-night,1
gentiles,zohar,2
aleph-bet-letters,history,7
halacha,speech-talking,54
bread,size,1
grapes-wine,yom-tov,1
keilim-purity,mikvah-ritual-bath,1
how-to,kaparot,1
halacha,trees,20
chanuka,meal-seudah,2
how-to,water,1
midrash,noachide-laws,2
liquor-beer,non-kosher-species,1
candle-lighting,shabbat,49
sorcery-magic-kishuf,talmud-gemara,3
christianity,taamei-mitzvot-reasons,1
conversion-to-judaism,halacha,117
names,slave-serve-eved-avadim,2
kibbud-av-veim-honoring,shalom-bayit,1
birds,chametz-leaven,2
kavana-intent,tefilin,1
adar,names,1
gifts,medicine,3
navi-prophets,parashat-balak,2
bava-kamma,posek-psak-decisor-ruling,1
names,stackexchange,1
haamek-davar,publications,1
moshe-rabbeinu,pregnancy-birth,1
bava-batra,rishonim,1
holy-objects,jewish-books,4
language,mitzvah,5
fast-days,niddah,1
non-rabbinic-judaism,purim,1
aramaic,gezel-stealing,1
minyan,number,4
bathroom,zemanim,1
calendar,chol-weekday,1
kashrut-kosher,tevilas-keilim-dipping,4
funeral-burial-levaya,parashat-chaye-sara,1
meat-and-milk,taste,1
joshua--book-of,shabbat,1
cemetery-grave,fast-days,1
birchas-kohanim,product-recommendation,1
appliances,yayin-nesech,1
authorship,faith-bitachon-emunah,1
chametz-leaven,mail,2
kotel-western-wall,writing-printing,1
mysticism-kabbalah,reincarnation,5
parashat-noach,parshanut-torah-comment,55
