Tag1,Tag2,Num_Occurrence
contraction,passive,1
substantivum,vergilius,1
etymologia,plato,1
negation,philosophy-terms,1
ambiguity,praesens-historicum,1
declinatio,pedagogy,1
word-comparison,word-request,4
new-latin,perfect-tense,2
grammar-choice,passage-request,1
spinoza,translation,3
scientific-names,vocabulary,3
adiectivum,spanish,1
ablativus-absolutus,language-evolution,1
animals,grammar-identification,1
object,vocabulary,2
esse,sentence-translation,1
roman-culture,vocabulary,6
ovidius,pronomina,2
neologism,suffixes,1
classical-latin,consecutio-temporum,2
classical-latin,relative-pronouns,1
latin-on-devices,resource-request,1
genus,passage-request,1
declinatio,vocativus,1
academic-latin,suffixes,1
articles,vulgar-latin,1
grammar-choice,style,1
derivation,vulgar-latin,1
demonstrative-pronoun,genetivus,1
emphasis,semantics,1
derivation,scientific-names,2
classical-latin,mythology,1
classical-latin,conditions,1
language-evolution,phonetics,5
imperativus,pronomina,1
prefix,reference-request,1
ovidius,word-choice,1
verbs,word-usage,1
derivation,participium,2
agreement,pronomina,2
english-to-latin-translation,style,1
classical-latin,vulgata,1
compound-verb,verbs,5
technologia,vita-hodierna,15
ambiguity,vocabulary,2
christianity,spelling,1
irregular-words,word-comparison,2
spelling,transliteration,2
declinatio,morphologia,8
greek,loanwords,1
aristotle,translation,2
late-latin,meaning,1
abbreviations,conjunction,2
cicero,style,1
conjunction,syntax,4
indirect-question,relative-clause,1
religio,word-comparison,1
etymologia,verbs,14
coniugatio,language-evolution,10
conjunction,subordinate-clause,2
grammar-identification,metamorphoses,4
deponent-verbs,grammar-identification,1
coniunctivus,subordinate-clause,2
ligatures,new-latin,1
neutrum,pronomina,1
esse,participium,1
passive,rhetoric,1
comparative,syntax,1
sound-change,stress,1
example-request,old-latin,1
finnish,occupation,1
english-to-latin,motto,2
declinatio-tertia,grammar-choice,1
agreement,vocabulary,2
numbers,pronunciation,1
language-evolution,origin,4
history,livius,1
declinatio,demonstrative-adjective,1
livius,resource-request,1
meaning,poetry,2
phrase-request,translation,6
synonyms,vocabulary,3
grammar-choice,vowel,1
catechism-catholic-church,syntax,1
accusativus,praepositio,2
infinitivus,participium,1
orthography,transliteration,2
conjunction,style,1
passive,verbs,8
english,translation-explanation,1
adiectivum,word-choice,5
genetivus,vocabulary,2
horatius,roman-culture,1
new-latin,participium,1
declinatio,song-lyrics,1
history,vergilius,2
futurum,greek,1
ablativus,comparative,1
alphabet,typography,3
pronunciation,study-strategies,1
legal-latin,philosophy-terms,1
passage-request,politics,1
ligatures,spelling,2
classical-latin,ecclesiastical-latin,5
declinatio,french,1
medicine,philosophy,1
names,substantivum,1
plato,relative-pronouns,1
aeolic,dictionary,1
metamorphoses,word-choice,1
numbers,roman-culture,1
history,language-evolution,6
animals,deminutivus,1
adverb,grammar-choice,2
greek,plautus,1
herodotus,style,1
case,orthography,1
greek,rhetoric,2
greek,nuance,1
dual,proto-italic,1
enclitic,word-comparison,1
consecutio-temporum,translation-explanation,1
bellum-civile,gaius-iulius-caesar,1
pronunciation,vowel-quantity,11
history,translation-check,1
etruscan,reference-request,1
classical-latin,latin-to-english,2
meaning,perfect-tense,1
genetivus,pronomina,6
biology,cibus,1
medieval-latin,sentence-translation,7
cibus,example-request,1
tenses,verbs,1
idiom,word-comparison,2
coniunctivus,consecutio-temporum,2
etymologia,research,1
imperativus,syntax,2
soft-question,translation,1
relative-clause,translation-check,1
genetivus,possessive-pronouns,1
inscription,poetry,1
classical-latin,perfect-tense,1
idiom,saying,2
ending,pronomina,1
dictionary,morphologia,3
meaning,plural,1
english-to-latin-translation,esse,1
dativus,gerundivum,1
classical-latin,resource-request,5
ending,vowel-quantity,1
substantivum,time,1
tone,voice,1
text-corpus,vocabulary,1
medieval-latin,word-comparison,1
english-to-latin-translation,verbs,1
french,germanic,1
locativus,place-names,1
classical-latin,seneca-iunior,2
aeneis,meaning,2
phonology,proto-indo-european,1
morphologia,vowel,2
history,science,3
rhetoric,verbs,1
accusativus,verbs,4
participium,word-comparison,3
ecclesiastical-latin,late-latin,1
reflexive-pronoun,syntax,1
derivation,place-names,1
language-evolution,substantivum,1
vocabulary,weapons,1
coniugatio,word-comparison,1
etymologia,grammar-choice,1
classical-latin,infinitivus,2
etruscan,idiom,1
alphabet,boustrophedon,1
grammar-choice,greek,2
coniugatio,vowel,2
ablativus,agent,2
ovidius,passage-request,1
latin-to-english-translation,tacitus,1
contemporary-latin,motto,1
gerundium,poetry,1
names,reference-request,1
numbers,orthography,1
grammar-choice,occupation,1
idiom,phrase-request,9
infinitivus,morphologia,2
gerundium,participium,1
case,typography,1
greek,neologism,2
greek,mathematics,1
grammar-identification,morphologia,1
meaning,word-choice,3
history,late-latin,2
germanic,origin,1
praepositio,science,1
pronomina,translation,2
germanic,swedish,1
calendarium,classical-latin,4
bellum-civile,bellum-gallicum,1
grammar-identification,pronunciation,1
greek,names,10
syntax,tenses,2
technologia,vocabulary,13
italian,phonetics,2
seneca-iunior,sentence-translation,1
derivation,meaning,1
particle,vulgata,1
aorist,verbs,1
idiom,weather,1
germanic,history,1
adverb,word-comparison,4
suffixes,word-comparison,1
enclitic,suffixes,1
classical-latin,vocabulary,89
latin-to-english-translation,medieval-latin,7
terminology,vocabulary,1
passage-request,poetry,1
word-choice,word-usage,3
case,syntax,2
classical-latin,prefix,3
consonants,pronunciation,12
consonants,language-evolution,3
language-evolution,vowel,1
affixes,grammar-choice,1
agreement,plural,3
names,verbs,3
grammar-choice,grammar-identification,6
style,word-choice,1
declinatio,declinatio-tertia,4
mathematics,philosophy,1
english-to-latin-translation,grammar-choice,6
traffic,vocabulary,1
poetry,vergilius,5
etymologia,semantics,5
poetry,pronomina,1
agreement,spanish,1
example-request,substantivum,1
conjunction,medieval-latin,2
traffic,vita-hodierna,2
academic-latin,word-order,1
catechism-catholic-church,christianity,2
vulgata,word-choice,2
nominativus,syntax,1
latin-to-english-translation,lingua-latina-per-se-illustrata,1
cibus,word-choice,2
example-request,history,2
perfect-tense,syntax,2
ablativus-instrumenti,agent,2
gerundivum,passive,2
diacritics,grammar-choice,1
spoken-language,word-choice,1
medieval-latin,suffixes,1
inscription,scansion,1
imperfectum,morphologia,1
genetivus,praepositio,1
etymologia,vowel,2
papyrology,poetry,1
classical-latin,motto,8
augustinus,meaning,1
christianity,resource-request,1
ecclesiastical-latin,word-usage,1
etymologia,philosophy-terms,1
coniunctivus,object,1
academic-latin,science,1
english-to-latin-translation,genus,1
academic-latin,genus,1
irregular-words,prefix,1
greek,philosophy,1
object,passive,1
