Tag1,Tag2,Num_Occurrence
resource-request,sanskrit,1
agglutination,proto-indo-european,2
nominals,semantics,1
ancient,written-language,2
phonetics,tools,4
cross-linguistic,persian,1
infinitive,portuguese,1
greek,online-resources,1
articles,esperanto,1
methodology,parsing,2
historical-linguistics,syntax-trees,1
auxiliary-verbs,english,4
indo-european,inflection,3
cases,romanian,1
sanskrit,second-lang-acquisition,1
greek,tocharian,1
grammar-formalism,theoretical-linguistics,1
cross-linguistic,ipa,1
semiotics,symbol,1
mandarin,tonal-languages,1
grammar,grammatical-number,4
linguistic-typology,spanish,1
gender,swedish,2
conjugation,greek,2
parts-of-speech,sov,1
corpora,phonetics,5
dictionary,methodology,1
american-english,modal-verbs,1
lemmas,nlp,1
dialects,morphology,1
etymology,lexicography,1
linguistic-typology,verbs,7
homonymy,polysemy,1
diphthongs,ipa,3
negation,word-sense-disambiguation,1
cognates,tense,1
chinese,languages-of-china,1
pronunciation,written-language,1
etymology,morphemes,2
lexicography,reference-request,1
literacy,sign-languages,1
english,tools,1
conlang,grammar,2
psycholinguistics,speech,1
methodology,transcription,1
allophones,laterals,1
indo-aryan,terminology,1
english,polysemy,1
english,methodology,1
language-revival,sociolinguistics,1
armenian,greek,2
computational-linguistics,synonymy,3
english,research,1
stress,words,1
acronyms,semiotics,1
agreement,plurality,1
phonology,word-boundaries,3
greek,phrygian,3
diphthongs,phonetics,5
german,slovenian,1
list-of-languages,vowel-harmony,1
assimilation,terminology,1
borrowing,latin,2
pronunciation,software,3
parsing,summarization,1
historical-linguistics,phrasal-verbs,1
derivation,roots,1
portuguese,spanish,5
control,syntax,4
history-of-linguistics,origin-of-language,2
dialects,slavic-languages,2
terminology,word-classes,10
multilingualism,translation,1
pronoun,universal-grammar,1
history,pronunciation,3
adjectives,terminology,11
ipa,nasals,2
compounds,word-classes,1
variation,voicing,1
applied-linguistics,language-change,1
phonology,sprachbund,2
phonetic-symbols,reference-request,1
scope,stress,1
language-models,resource-request,1
gender,morphosyntax,1
morphological-analysis,word-boundaries,1
readability,spanish,1
old-norse,slavic-languages,1
spanish,terminology,1
grammar,transcription,1
latin,sound-change,5
tools,voice-input,1
prepositions,verbs,4
consonants,linguistic-typology,2
prosody,tone-sandhi,1
parsing,phrase-structure,2
nouns,reference-request,1
armenian,borrowing,1
computational-linguistics,forensic-linguistics,1
aorist,tense,1
chinese,proper-nouns,1
thai,written-language,1
gender,terminology,3
