Tag1,Tag2,Num_Occurrence
magento-1.9.3.2,redirection,1
date,product-collection,2
image,tinymce,3
attributes,development,1
magento-community,methods,1
customer-grid,join-table,2
adminmenu,magento-2.1.3,1
customer,group,13
custom-template,order-status,1
layered-navigation,url-rewrite,6
admin-controller,parameter,1
select,sku,1
methods,products,1
error-log,php-7,1
cms-pages,sidemenu,1
coding-standards,psr,1
aws,static-content-deploy,1
messages,notification,5
footer,magento2.2.0,1
less,sql,1
development,magento2,56
magento2.1.6,php-7,1
magento2,optimization,25
callback,url,1
301-redirect,ce-1.6.2.0,1
grand-total,magento-1,1
composer,magento-1,8
adminform,event-observer,3
magento2.1.16,magento2.2.6,1
countries,shipping,8
importexport,review,1
collection,sales,12
api,configuration,1
cart-items,shopping-cart,4
page-content,static-content,2
currency,extensions,1
redirect,store-view,12
ssl,url,7
amazon-web-services,nginx,2
magento-1.9,theme,188
payment-methods,transactional-mail,1
magento2-dev-beta,template,1
b2b,magento-enterprise,1
configurable-product,flat,1
.htaccess,base-url,1
bug,magento-enterprise,4
ce-1.9.0.1,localhost,1
cart,products-management,1
cpanel,magento2.2,2
customer,meta,1
option,price,5
magento-connect,rwd-theme,2
onepage-checkout,order-totals,1
permissions,shipping,1
importexport,url-key,2
holepunching,magento2,3
class,magento-2.1,1
create,login,2
magento-2.2.5,multiple-select-layered,1
default.xml,mobile-menu,1
magento-1.9,virtualbox,1
backend,upload,4
browser,paypal,1
email-templates,render,2
fatal-error,url-rewrite,1
email-templates,tierprice,1
grid,magento-1.9.3.6,1
adminform,css,1
bundled-product,css,2
image,php-5.4,1
color-swatches,rest,1
catalog,magento-1.6,4
magento2.1.11,uicomponent,3
less,less-compilation,6
encryption-key,magento2.2,1
code-analysis,documentation,1
authorize.net,credit-card,3
js-css,navigation,1
indexer,product-attribute,2
development,error-log,1
multi-vendor,multishipping,1
bug,bundled-product,1
modman,security,2
architecture,service-contract,1
magento-2.1.7,requirejs-config.js,1
ce-1.9.1.0,secure,1
design,design-packages,2
image,wysiwyg,16
configurable-product,quoteitem,3
layout-update,product-view,1
hosting,session,1
billing,controllers,1
compromise-injection,magento-1.9.2.1,1
magento2,supee-9767,1
sales,tax,7
magento-1.9,magento2-migration-tool,55
compilation,debug,1
calendar,merge-css,1
custom-grid,datatable.js,1
php,product-urls,4
eav,layered-navigation,1
category-tree,rest-api,5
fatal-error,interface,3
magento2.2.3,requirejs,4
fatal-error,localhost,1
checkout,redirect-url,3
luma-theme,product-attribute,1
helper,orders,3
command-line,permissions,2
error,soap,4
bundled-product,invoice,4
massaction,products,1
controllers,upload,5
renderer,swatches,1
custom-options,discount,4
data-provider,uicomponent,12
database,full-page-cache,1
error,reindex,19
database,shipping,7
cpanel,crontab,1
custom-options,mini-cart,1
payment,secure,2
apache2,installation,6
magento-community,redis,1
group-price,product-collection,2
catalog,full-page-cache,2
price,reindex,13
b2b,customer,4
ee-1.13,ee-1.13.0.1,1
admin,copyright,1
magento-2.1.2,multiple-select-layered,2
containers,reference,3
eav,import,2
paypal-express,url,1
magento2.2,widget,4
credit-card,magento2.1.5,1
extensions,orders,21
database,learn-magento,1
category,stores,3
coupon-codes,register,1
code-generation,magento2.2,2
delete,magento2.2,2
csv,translate,1
overriding,product,1
ce-1.7.0.2,promotions,3
customer-session,template,1
image,image-resizing,4
installation,localhost,5
multistore,setup,4
product,special-character,1
code-generation,log,1
filter,out-of-stock,2
backend,translate,2
magento-1.9,magmi,76
authorize.net,magento-2.1.2,1
cart-items,template,1
megamenu,php,1
custom,magento2-dev-beta,1
collection,payment,1
i18n,product-sorting,1
