Tag1,Tag2,Num_Occurrence
india,refinance,1
unemployment,united-states,20
precious-metals,stocks,1
insurance,terminology,3
international-trading,volume,1
index-fund,international-trading,1
insurance,payroll-taxes,1
banking,paper-money,2
budget,calculation,1
credit,visa,2
rate-of-return,roth-ira,1
bid-ask,limit-order,6
loans,travel,1
federal-reserve,united-states,21
comparison,gold,1
mortgage-rate,pmi,1
income-tax,reward-program,1
california,gift-card,1
isa,mortgage,5
payment,student-loan,4
home-ownership,inheritance,1
silver,stock-markets,1
mint.com,treasury,1
credit-card,irs,2
adjusted-gross-income,taxes,2
margin,nse-india,1
europe,trusts,1
isa,mistakes,1
budget,inr-indian-rupee,1
online-trading,vanguard,1
lending-club,start-up,1
historical-data,trading,5
self-directed-ira,working-abroad,2
ethical-investing,market-data,1
penalty,travel,1
dual-status,france,1
visa,withholding,1
historical-analysis,united-states,3
paypal,pre-authorized-payment,1
retirement,yield,1
automation,savings-account,1
direct-debit,germany,1
european-union,investing,10
interest,life-insurance,1
dividends,shorting-securities,2
jointly-held-property,rental-property,1
diversification,target-date-fund,1
california,termination,1
eligible-expenses,form-1099-misc,1
colorado,health-insurance,1
austria,insurance,1
child-care,contractor,1
money-supply,securities,1
rebalancing,stock-valuation,1
inflation,interest,6
capital-gain,spain,1
book-value,real-estate,1
housing,sharia-financing,1
banking,inr-indian-rupee,1
banking,fico-score,1
ohio,withholding,1
adjusted-gross-income,sole-proprietorship,1
egypt,international-transfer,1
deposits,irs,1
loans,united-kingdom,30
income-tax-refund,limited-liability-company,1
target-date-fund,united-states,5
iban,sepa,2
standard-and-poors-500,stock-analysis,1
business,ohio,1
bonus,investing,1
bitcoin,technical-analysis,2
bank-account,envelope-system,2
first-time-home-buyer,france,1
commodities,united-kingdom,1
retirement,travel,1
european-union,income-tax,7
budget,first-time-home-buyer,3
double-entry,shares,2
non-resident,primary-residence,1
landlord,netherlands,1
retirement,stocks,9
home-ownership,jointly-held-property,4
investing,rate-of-return,48
estate-settlement,united-kingdom,1
australia,deposits,1
capital-gains-tax,colorado,1
foreign-currency,foreign-exchange,17
credit-card,financing,5
investment-strategies,savings-account,2
check,security,1
appraisal,fees,1
capital-gain,comparison,1
limited-partnership,stock-markets,1
children,interest-rate,1
canada,foreign-income,3
european-union,markets,1
corporate-earnings,quarterly-report,1
customs,india,4
bank-account,security,4
currency,estonia,1
corporation,value-investing,1
price,trading,8
401k,employment,6
asset-protection,insurance,1
connecticut,united-states,6
foreign-income,hdhp,1
rates,salary,1
healthcare,termination,1
amortization,canada,1
audit,united-states,20
discount,government-bonds,1
purchase,receipt,1
shorting-securities,technical-analysis,1
credit-history,credit-limit,1
negotiation,real-estate-leasing,1
calculation,contractor,1
negotiation,taxes,1
canada,starting-out-investing,6
accounts,budget,1
bank-account,credit,2
income-tax,shares,3
india,software,2
college,interest,2
estimated-taxes,tax-deduction,1
employment,france,1
brokerage,money-transfer,1
heloc,mortgage,10
amended-tax-return,taxes,15
hedging,utilities,1
debit-card,scams,3
