Tag1,Tag2,Num_Occurrence
creation,odin,1
comparative,sumerian,4
demons,origins,1
greek,hesiod,4
aphrodite,hephaestus,1
japanese,shinto,20
mabinogion,magic,1
myth-identification,nymphs,1
astrology,iconography,1
greek,virgil,2
ghosts,modern-influence,1
prose-edda,translation,1
greek,poseidon,8
greek,orphism,5
apocalypse-of-abraham,jewish,3
god-items,norse,5
immortality,magic,1
irish,symbolism,1
demons,reference-request,1
japanese,zodiac,2
gylfaginning,norse,10
maori,new-zealand,1
afterlife,origins,1
god-items,hermes,1
artemis,greek,5
greek,zeus,27
funerary-practices,rituals,2
heroism,japanese,1
modern-influence,traditions,1
tain-bo-cuailnge,ulster-cycle,5
myth-identification,theseus,1
dreams,dreamtime,1
babylonian,myth-identification,1
mabinogion,roman,1
interpretation,volsunga,1
hindu,translation,1
athena,medusa,2
afterlife,zeus,1
comparative,judaism,2
medusa,roman,1
celtic,roman,1
hestia,olympians,1
odin,thor,1
comparative,monsters,1
epic-poetry,hindu,1
european-folklore,medieval-europe,1
norse,sacrifice,4
maya,mesoamerica,4
interpretation,persian,1
artemis,olympians,2
celtic,irish,5
homer,trojan-war,2
comparative,terminology,1
epic-poetry,india,1
immortality,sacrifice,1
comparative,rituals,1
fairies,fairy-tales,1
babylonian,greek,2
greek,resurrection,1
demons,hindu,1
greek,iliad,14
hera,zeus,1
athena,odyssey,2
calendar-dates,traditions,3
interpretation,shinto,1
argonauts,bellerophon,1
interpretation,ulster-cycle,1
hermes,sacrifice,1
celtic,norse,3
hades,underworld,6
folklore,reference-request,1
eschatology,norse,1
africa,babylonian,1
fairies,folklore,3
folkloristics,reference-request,1
native-american,superstition,1
aztec,hebrew,1
thor,weapons,1
greek,hades,10
flood-myth,plants,1
flood-myth,mesopotamia,1
japanese,traditions,1
norse,roman,3
odysseus,parentage,1
greek,oedipus,1
gilgamesh,humbaba,2
persian,roman,1
myth-identification,water,1
apollo,translation,1
christianity,comparative,8
comparative,reference-request,2
greek,parentage,2
indigenous-australian,symbolism,1
folklore,werewolves,2
god-items,thor,1
creation,kalevala,1
animals,mythical-creatures,2
greek,hestia,1
giants,monsters,1
animals,egyptian,3
celtic,european-folklore,1
christianity,inferno,3
folklore,vampires,4
egyptian,osiris,1
myth-identification,titans,1
myth-identification,zodiac,1
comparative,ragnarok,1
christmas,games,1
ageing,comparative,1
rituals,sacrifice,2
celtic,interpretation,1
india,mythical-creatures,1
dragons,norse,2
comparative,demi-gods,1
mythohistory,occultism,1
bible,christianity,4
africa,myth-identification,1
christmas,comparative,1
folklore,ghosts,3
apollo,sacrifice,1
daemon,roman,1
prose-edda,runes,1
dionysus,labyrinth,1
reference-request,sumerian,1
calendar-dates,halloween,1
weapons,werewolves,1
egyptian,iconography,1
comparative,fates,1
angels,christianity,1
greek,myth-identification,34
comparative,phoenician,1
cryptozoology,native-american,1
mythohistory,pantheon,2
apocalypse,christianity,1
celtic,the-devil,1
hercules,love,1
mythical-creatures,vampires,3
greek,hindu,1
greek,titans,16
comparative,origins,1
norse,runes,6
linguistics,roman,1
folklore,modern-influence,1
fairies,irish,2
comparative,greek,25
egyptian,symbolism,2
ages-of-man,hesiod,2
norse,welsh,1
hera,symbolism,1
calendar-dates,comparative,1
games,trojan-war,1
erinyes,greek,3
africa,games,1
africa,yoruba,3
homer,odysseus,1
eschatology,greek,1
hittite,myth-identification,2
dreamtime,indigenous-australian,3
iconography,symbolism,4
argonauts,hittite,1
hercules,modern-influence,1
chinese,dragons,3
ghosts,origins,4
greek,hera,9
animals,myth-identification,3
funerary-practices,superstition,1
celtic,origins,1
folklore,pantheon,1
lokasenna,odin,2
orphism,roman,1
animals,mythohistory,1
folklore,mythical-creatures,13
norse,resurrection,1
mythical-creatures,sun,1
goddesses,greek,1
comparative,ugaritic,2
mythical-creatures,names,1
norse,slavic,1
numerology,shinto,1
folkloristics,terminology,3
arthurian,christianity,1
greek,mythohistory,4
greek,sacrifice,2
apollo,greek,12
eschatology,hesiod,1
comparative,irish,1
greek,plato,3
fates,symbolism,1
folklore,magic,1
afterlife,source-request,1
irish,welsh,2
maori,myth-identification,1
phoenician,titans,1
hermes,roman,1
mythohistory,shinto,1
mythohistory,underworld,1
hephaestus,nymphs,1
demons,ghosts,1
changelings,folklore,1
hercules,myth-identification,1
mythical-creatures,roman,3
chinese,myth-identification,3
italy,symbolism,1
comparative,sacrifice,1
etymology,folklore,1
medieval-europe,mythohistory,1
british,norse,1
giants,hebrew,1
bible,comparative,2
anunnaki,sumerian,4
first-nations,mythical-creatures,1
afterlife,superstition,1
norse,rituals,3
mesopotamia,underworld,1
eclipse,egyptian,1
linguistics,norse,1
