Tag1,Tag2,Num_Occurrence
creative-commons,patents,3
cc-by-nd,open-source-definition,1
monetization,software,3
npm,package,1
code-signing,gpl,1
law,software,3
gpl,open-data,3
contracts,law,1
mit,monetization,2
terms-of-service,unlicensed-code,1
attribution,free-art-license,1
collaboration,community,4
cc0,relicensing,3
contributor-agreements,fsf,1
business,software,2
etiquette,pull-request,1
finance,paid-software,1
gpl-3,proprietary-code,9
license-compatibility,mit,20
java,non-commercial,1
software-development,version-control-systems,2
law,marketing,1
github,source-code,3
multi-licensing,patents,1
fsf,open-source-definition,1
contributor-agreements,copyleft,1
github,security,2
closed-source,gnu,1
attribution,patents,1
agpl-3.0,source-code,3
osi,restrictions,1
exceptions,lgpl,3
cc-by-sa,commercial,6
intellectual-property,license-recommendation,1
gpl,gpl-3,41
cpol,license-compatibility,1
apache-2.0,bsd,7
linux-kernel,source-code,2
gpl,software-use,1
law,version-control-systems,2
source-code,website,2
copyright,unlicensed-code,1
cc-by-nd,distribution,3
bsl,setup.py,1
proprietary-code,restrictions,1
license-notice,project-management,1
epl,linked-libraries,1
development-environment,project-hosting,1
documentation,gfdl,1
closed-source,contributor,1
derivative-works,gpl-3,8
cc-by-nc,derivative-works,1
bsd,law,1
api,cryptography,1
human-resources,statistics,1
copyright,restrictions,1
copyleft,documentation,1
gpl-3,lgpl,11
gpl,linked-libraries,18
license-recommendation,source-code,2
exceptions,media,1
apache-2.0,relicensing,6
closed-source,software,1
mit,python,1
mit,warranty,1
derivative-works,license-zero,1
attribution,wikipedia,2
gpl-3,source-code,5
license-notice,multi-licensing,5
community,software-development,1
paid-software,software-development,1
creative-commons,enforcement,2
license-recommendation,ofl,1
cddl,license-compatibility,3
commercial,gpl-3,5
patents,terminology,1
creative-commons,file-formats,2
assets,copyright,2
floss,licensing,3
gpl-3,license-file,1
mit,ruby,1
collaboration,pull-request,1
cpol,gpl,1
lppl,multi-licensing,1
bsd,gpl,18
cc-by,distribution,1
collaboration,wikipedia,1
license-recommendation,restrictions,5
history,mit,1
gfdl,multi-licensing,1
java,maven,2
copyright,patents,1
licensing,linux-distribution,4
code-signing,lgpl,1
monetization,multi-licensing,2
commercial,copyright,5
epl,license-notice,1
contributor,terminology,1
copyright,unlicense,1
development-environment,licensing,2
file-formats,proprietary-code,1
attribution,license-file,2
art,licensing,1
fsf,license-compatibility,2
bsd,distribution,4
open-data,project-management,1
linked-libraries,software-use,1
commercial,distribution,5
creative-commons,non-commercial,2
licensing,software,13
closed-source,law,1
license-recommendation,mpl,4
community,history,1
derivative-works,royalties,1
nda,redistribution,1
contracts,contributor,1
linked-libraries,plugins,2
android,github,1
hardware,history,1
apache-2.0,creative-commons,1
business,restrictions,1
attribution,license-notice,5
project-management,proprietary-code,1
gpl,ownership,4
api,software,1
gpl,nda,1
bsd,cryptography,1
lgpl,python,1
collaboration,gpl-3,1
collaboration,enforcement,2
gpl-3,project-management,1
cc-by-nd,gpl,1
cryptography,security,1
agpl-3.0,contributor-agreements,2
licensing,website,6
contributor,copyleft,1
copyleft,osl-3.0,1
public-domain,unlicense,1
copyright,license-file,3
gpl,software,8
apple-app-store,derivative-works,1
google-code,gpl,1
gpl-2,trademark,1
software,terminology,2
cc-by-sa,website,1
permissive,terminology,1
artistic-works,mit,1
floss,gpl,1
apache-2.0,eupl,1
mit,open-data,1
community,statistics,1
github,unlicensed-code,2
freedoms,monetization,2
gpl,intellectual-property,2
file-formats,software,1
agpl-3.0,api,1
enforcement,law,5
commercial,software-use,1
creative-commons,gpl-3,1
relicensing,software,2
etiquette,npm,1
gpl,marketing,1
documentation,free-software-definition,1
crayon-licenses,law,1
github,multi-licensing,1
microsoft,redistribution,1
gpl,mpl,3
