Tag1,Tag2,Num_Occurrence
computer,pre-teen,2
presents,social-development,1
anger,step-parents,1
brushing-teeth,teeth,3
grandparents,toddler,4
christmas,presents,2
behavior,presents,1
abuse,grandparents,1
grandparents,teaching,1
education,sharing,1
crying,emotion,2
behavior,teen,32
clothes,teen,7
learning,speech,2
discipline,walking,1
time-management,toddler,1
anxiety,travel,1
depression,primary-schooler,1
adult-child,fears,1
activities,special-needs,1
allergies,solids,2
computer,development,3
behavior,middle-childhood,14
mental-health,newborn,1
coping,primary-schooler,2
age-appropriate,hitting,1
attachment,parents,1
fears,toys,1
pre-schooler,primary-schooler,28
naps,sleep-training,5
discipline,time-management,1
pregnancy,safety,4
school,toddler,2
attachment,friends,1
babyfood,water,1
natural-consquences,rules,1
infant,self-esteem,1
infant,television,4
daycare,social-development,3
arguments,christmas,1
pre-schooler,walking,2
hyperactiveness,toddler,3
bullying,gender,1
drugs,pre-teen,2
pregnancy,sleep,1
activities,nursing,1
behavior,toddler,142
fears,media,1
middle-childhood,star-chart,1
father,life-skills,1
age-appropriate,television,7
conflict,working-parents,1
emotional,pre-schooler,1
divorce,middle-childhood,1
christmas,grandparents,1
comfort,communication,1
grandparents,holidays,1
pregnancy,social,1
communication,education,4
anxiety,sickness,1
cleaning,food,1
family-activities,pre-schooler,3
autism,speech,3
language,teen,2
hearing,language-development,1
pre-schooler,sleep,19
eating,tablet-computer,1
birthday,sports,1
friends,social-media,1
bedroom,drinking,1
books,gifted,1
special-needs,teen,1
education,gender,1
crawling,toddler,1
adult-child,coping,1
health,motor-development,1
fighting,natural-consquences,1
crying,pre-teen,1
anxiety,night-time,2
babysitting,development,1
gifted,toddler,4
play,play-time,3
age-appropriate,family-activities,1
hearing,safety,1
cooking,shopping,1
bed-wetting,sleep,7
arguments,communication,1
sleep,temperatures,4
food,safety,4
education,television,1
friends,primary-schooler,9
education,sleep,2
middle-childhood,single-parent,2
fighting,siblings,4
bullying,primary-schooler,6
behavior,religion,2
girls,motivation,1
entertainment,movies,1
extended-family,psychology,1
development,handwriting,1
discipline,play-time,2
middle-childhood,profanity,2
pre-teen,tools,1
fine-motor-skills,handwriting,2
development,encopresis,1
elimination,pre-schooler,1
foster-parenting,primary-schooler,2
self-esteem,separation,1
cleaning,newborn,2
attachment,tantrums,1
attachment,development,5
addiction,discipline,1
anxiety,separation,1
language,socialization,1
night-terrors,night-time,2
babysitting,family,1
milk,nutrition,5
behavior,friends,5
bed-wetting,development,1
behavior,self-esteem,3
bonding,step-parents,1
lying,teen,3
friends,money,1
cellphone,safety,1
anxiety,behavior,5
baby,teaching,1
adult-child,bedroom,1
presents,religion,1
homeschooling,social-development,2
habits,thumb-sucking,1
attachment,research,1
development,violence,1
homeschooling,school,2
drinking,toddler,6
fears,psychology,2
health,sickness,8
education,gifted,7
adult-child,misbehavior,1
discipline,emotion,2
daily-routine,development,1
abuse,babysitting,1
parents,social-development,6
outdoor,travel,1
parents,tantrums,2
pain,soothe,1
chores,motivation,1
fighting,grandparents,1
breastfeeding,vomiting,1
crying,play-time,1
listening,relationships,1
diaper,stools,2
clothes,girls,1
adult-child,teen,7
behavior,computer,1
learning,science,3
attention,infant,1
father,separation,2
age-appropriate,social-development,6
primary-schooler,sleep,9
bullying,socialization,1
death,single-parent,1
sexual-development,toddler,1
conflict,pre-schooler,9
doctor,pre-schooler,1
behavior,socialization,7
abuse,primary-schooler,4
friends,twins,1
health,pets,2
health,travel,5
family,father,2
friends,relationships,5
education,problem-solving-skills,2
birth,pre-schooler,1
gadgets,games,1
autism,jobs,1
breastfeeding,constipation,1
activities,girls,2
bed-wetting,enuresis,4
teen,weight,2
baby-led-weaning,safety,1
moving,teen,2
emotional-well-being,primary-schooler,10
age-appropriate,learning,2
toddler,water,5
behavior,weaning,1
mental-health,research,1
health,twins,2
jealousy,step-parents,1
activities,music,1
gender,television,2
crying,newborn,23
extended-family,siblings,1
doctor,safety,1
behavior,pre-schooler,84
cellphone,social-media,1
cosleeping,crawling,1
gadgets,video-games,1
misbehavior,violence,1
brushing-teeth,pre-schooler,1
age-appropriate,emotional-well-being,2
divorce,moving,1
conflict,education,1
books,toddler,3
behavior,twins,2
mental-health,pregnancy,1
education,handwriting,8
age-appropriate,attention,1
autism,travel,1
infant,psychology,1
adult-child,food,1
coping,fears,1
adhd,manners,1
parents,siblings,6
health,immunizations,1
entertainment,primary-schooler,1
behavior,daycare,3
discipline,twins,3
discipline,sexual-development,1
adult-child,separation,1
school,socialization,2
driving,parents,2
extended-family,safety,2
money,pre-teen,3
age-appropriate,psychology,5
anxiety,habits,1
moving,school,2
clothes,school,1
hair,infant,5
babysitting,grandparents,2
adult-child,death,1
activities,games,5
jealousy,presents,1
abuse,teen,5
competitiveness,primary-schooler,4
breastfeeding,crying,2
behavior,sleep,17
bedtime,diaper,1
baby,crying,2
age-appropriate,reading,2
cleaning,infant,1
adult-child,health,1
communication,extended-family,1
pre-schooler,skin-care,1
lgbtq,teen,7
babyfood,nutrition,1
drinking,eating,1
independence,maturity,1
age-appropriate,money,2
activities,hyperactiveness,1
eyes,health,2
baby,stroller,1
attachment,infant,3
behavior,siblings,9
money,single-parent,1
exercise,pregnancy,1
custody,moving,1
bathing,infant,11
language-development,learning,8
food,teaching,1
age-appropriate,sleep,2
death,movies,1
age-appropriate,potty-training,1
primary-schooler,sex,3
discipline,emotional-well-being,4
encopresis,enuresis,1
activities,outdoor,2
addiction,computer,1
feeding,working-parents,1
infant,reading,1
activities,animal-interaction,2
behavior,eating,17
discipline,public-parenting,2
activities,independence,1
newborn,relationships,1
communication,family-activities,2
activities,socialization,1
safety,social-media,1
activities,arts-and-crafts,1
bonding,father,1
primary-schooler,usa,1
ankyloglossia,health,3
fears,middle-childhood,2
activities,movies,1
parents,psychology,5
anger,behavior,9
health,sports,4
education,sports,1
breastfeeding,working-parents,4
limits,video-games,1
babyfood,health,1
play,teaching,2
toddler,twins,8
family,pre-teen,1
high-school,psychology,1
crying,toddler,33
bonding,relationships,1
education,school-selection,3
breastmilk,parents,1
play,pre-schooler,4
parents,school,4
nutrition,weight,2
entertainment,toys,1
driving,infant,3
anxiety,teaching,1
hair,sickness,1
adult-child,computer,2
parents,pre-schooler,13
emotion,tantrums,1
ear,hearing,1
attachment,single-parent,1
media,role-models,1
divorce,transition,1
hygiene,pets,1
childcare,tantrums,1
education,politics,2
middle-childhood,presents,1
family,parents,1
custody,primary-schooler,1
arts-and-crafts,motivation,1
foster-parenting,toys,1
newborn,siblings,4
television,toddler,14
abuse,playground,1
psychology,single-parent,1
custody,step-parents,1
separation,tantrums,2
infant,language,3
car-seat,travel,5
separation,step-parents,1
etiquette,presents,1
bedtime,single-parent,1
anger,arguments,1
bullying,pre-schooler,9
anxiety,parents,1
bottle-feeding,drinking,1
food,health,15
death,pets,3
cosleeping,sleep-deprivation,1
media,politics,1
presents,reward,1
independence,play-time,3
age-appropriate,language,4
addiction,teen,3
communication,learning,3
feeding,nutrition,2
autism,diaper,1
girls,primary-schooler,1
bed-wetting,middle-childhood,1
daycare,first-time,1
anxiety,arguments,1
addiction,sleep,1
food,temperatures,1
age-appropriate,arts-and-crafts,1
feeding,weaning,2
adult-child,violence,2
mental-health,safety,1
conflict,separation,3
age-appropriate,friends,2
bilingual,middle-childhood,1
pre-schooler,twins,3
adoption,communication,1
parents,playground,1
behavior,pre-teen,28
activities,development,6
toddler,toys,25
money,teen,3
sharing,social-media,1
books,working-parents,1
homeschooling,language,1
newborn,night-terrors,1
aggression,toddler,6
siblings,twins,2
naps,pacifier,1
crying,independence,3
adhd,anxiety,2
primary-schooler,travel,2
homework,teen,5
emotion,psychology,4
adult-child,books,1
development,discipline,12
crying,tantrums,5
development,sleep,3
mental-health,working-parents,1
communication,safety,3
arguments,primary-schooler,1
family-activities,social-development,1
focus,pre-schooler,2
learning,television,1
cooking,working-parents,1
infant,siblings,2
activities,pre-teen,3
habits,pre-schooler,3
emotion,single-parent,1
mental-health,social-development,2
asthma,teaching,1
potty-training,psychology,2
pre-teen,sleep,2
drinking,pre-schooler,1
family-activities,step-parents,1
internet,learning,1
crying,sleep-training,3
drinking,teaching,1
habits,teaching,1
sexual-development,teen,2
babysitting,relationships,1
extended-family,step-parents,2
drinking,water,1
pre-schooler,transition,1
potty-training,pre-schooler,27
development,speech,10
sickness,vomiting,1
development,sports,2
eating,toddler,43
behavior,language-development,3
middle-childhood,morals,1
discipline,grandparents,6
bathing,tantrums,1
gifted,primary-schooler,4
social-development,socialization,4
habits,naps,1
stools,toddler,1
crawling,development,1
co-parenting,discipline,3
food,video-games,1
birthday,pre-schooler,1
emotion,television,1
divorce,food,1
food,rules,1
psychology,step-parents,1
arts-and-crafts,teaching,1
attention,discipline,3
friends,sex-education,1
stroller,twins,1
computer,internet,4
age-appropriate,books,3
sports,toddler,1
babysitting,safety,4
pre-teen,siblings,3
father,health,1
socialization,toddler,6
family,favoritism,1
handwriting,reading,2
hygiene,safety,1
middle-childhood,sickness,1
communication,step-parents,6
games,math,2
foster-parenting,toddler,1
newborn,sharing,1
crying,siblings,1
communication,focus,1
girls,safety,2
toddler,violence,7
food,middle-childhood,1
christmas,santa,2
gender-stereotypes,toddler,1
safety,toys,4
insects,teaching,1
infant,internet,1
etiquette,social-media,1
adoption,emotional-well-being,2
bottle-feeding,habits,1
teething,toddler,3
depression,pre-schooler,1
standing,walking,1
education,music,3
bottle-feeding,formula,4
gifted,infant,2
personality,social-development,6
middle-childhood,violence,2
airplane,travel,10
pre-schooler,toddler,51
development,language,2
legal,teaching,1
aggression,focus,1
divorce,holidays,2
aggression,siblings,1
favoritism,psychology,1
father,newborn,2
listening,teen,1
adult-child,psychology,1
food,night-time,2
adhd,grandparents,1
attachment,pre-schooler,2
bathing,water,2
age-appropriate,behavior,15
education,supervision,1
age-appropriate,car-seat,1
discipline,infant,11
computer,teen,5
milk,pre-schooler,1
sharing,toys,1
birthday,friends,1
twins,violence,1
enuresis,siblings,1
comfort,single-parent,1
formula,weaning,2
behavior,infant,41
primary-schooler,sports,7
learning,math,7
girls,pre-schooler,1
extended-family,presents,1
holidays,hygiene,1
gender,homeschooling,1
relationships,separation,2
age-appropriate,step-parents,3
allergies,pregnancy,1
bedtime,teen,3
education,reward,1
adult-child,sex,1
discipline,feeding,1
asperger,autism,3
clothes,development,1
play-time,supervision,1
language,toddler,16
infant,toys,7
birth,parents,1
moving,school-selection,1
adult-child,driving,1
internet,middle-childhood,1
age-appropriate,hygiene,4
breastfeeding,weight,2
manners,toddler,2
reading,video-games,1
anxiety,growth,1
religion,teaching,4
tantrums,toddler,28
discipline,education,7
activities,infant,5
abuse,sex,3
childcare,privacy,1
step-parents,time-management,1
activities,pregnancy,1
misbehavior,safety,1
autism,blended-family,1
injury,skin-care,1
infant,milk,3
discipline,sharing,3
baby,temperatures,1
conflict,school,2
daycare,health,2
age-appropriate,bed-sharing,1
bedtime,cosleeping,3
special-needs,toddler,2
newborn,swimming,1
homeschooling,toddler,4
co-parenting,depression,1
