Tag1,Tag2,Num_Occurrence
death,psychology,3
compatibility,territory,1
desexing,dogs,19
injury,snakes,1
freshwater,injury,1
cats,introducing-pets,30
cats,drinking,11
fish,training,1
plants,safety,6
invertebrates,turtles,1
birds,cockatiels,16
diet,sleep,1
dogs,identification,5
exercise,feeding,1
fox,pig,1
filters,heaters,1
dominance,multi-pet-families,4
domestication,history,2
birds,senior-pet,2
aggression,hunting,1
cecotropes,feces,1
leopard-geckos,lizards,4
anatomy,grooming,1
stress,vocalizations,1
containment,hamsters,1
dental-care,diet,2
maintenance,saltwater,2
outdoor,training,3
fish,substrate,2
insects,socializing,1
guinea-pigs,multi-pet-families,1
eating,scratching,1
frogs,health,1
freshwater,pond,1
behavior,mental-stimulation,4
diseases,stress,1
danio,health,2
first-aid,health,4
enclosure,safety,1
multi-pet-families,senior-pet,2
cats,mental-stimulation,3
eating,plants,3
eggs,parrots,1
behavior,hedgehog,1
anxiety,fear,1
horses,safety,2
cats,shedding,7
allergies,health,3
parrots,training,8
cats,multi-pet-families,66
geckos,reptiles,11
safety,turtles,3
behavior,dachshunds,1
play,toys,11
aggression,medicines,2
grooming,psychology,3
farm-animals,socializing,1
betta,temperature,2
containment,multi-pet-families,3
cichlid,fish,6
dogs,large-dogs,6
budgerigar,medicines,1
aggression,rabbits,1
feeding,multi-pet-families,8
first-aid,grooming,1
breeding,gender-differentiation,1
senior-pet,training,1
danio,eating,1
goats,grooming,1
koi,sturgeons,1
cats,leash-training,3
diet,horses,4
injury,koi,3
aggression,psychology,3
crate,training,11
cleaning,turtles,1
bearded-dragon,diet,3
death,rabbits,6
house-moving,parrots,1
goldfish,turtles,2
gender-differentiation,turtles,1
snakes,surgery,1
biting,play,5
decorations,turtles,1
fleas,rabbits,4
rabbits,vision,2
acclimation,outdoor,1
molting,terminology,1
crickets,euthanasia,1
chameleons,reptiles,4
diseases,feral,1
socializing,treats,1
death,geckos,1
biting,safety,1
feral,rabbits,1
eating,toys,2
introducing-pets,strays,1
community-aquarium,snails,2
allergies,feeding,1
biology,safety,2
goldfish,training,2
rabbits,shedding,1
adoption,bearded-dragon,1
fish,house-moving,1
cats,guinea-pigs,2
fish,reptiles,3
aquarium,children,1
aggression,introducing-pets,7
travel,turtles,2
pregnancy,psychology,1
algae,water-changes,1
health,junior-pets,1
maintenance,reef-tank,2
behavior,weather,1
cats,ears-nose-throat,3
gender-differentiation,goldfish,1
farm-animals,sheep,1
behavior,strays,2
cats,defecation,23
diseases,vision,1
excretions,geckos,2
crickets,feeding,3
snakes,substrate,1
behavior,defecation,14
growing,training,1
lighting,reef-tank,2
senior-pet,toilet-training,2
fish,lifespan,1
health,weight,4
rabbits,safety,17
aquarium,diseases,8
cats,psychology,96
temperature,weather,1
breeding,pet-selection,2
parrots,skin-condition,1
behavior,injury,2
behavior,furniture,3
guinea-pigs,rabbits,4
biology,rabbits,6
grooming,horses,2
rodents,socializing,1
behavior,desexing,10
anxiety,safety,1
crickets,geckos,1
containment,tortoises,1
rescue-organizations,terminology,1
health,teething,1
growing,weight,1
gps,safety,1
communication,socializing,2
heaters,temperature,2
guinea-pigs,plants,2
diseases,ticks,1
chickens,safety,1
death,diet,1
defecation,rabbits,4
cats,dogs,89
multi-pet-families,travel,1
anxiety,behavior,17
algae,saltwater,2
dachshunds,skin-condition,1
aquarium,death,4
cats,hunting,10
hunting,training,2
diet,live-food,5
cleaning,parasites,1
freshwater,snails,4
allergies,parasites,1
fleas,medicines,2
toilet-training,veterinarian,1
maintenance,pond,1
cage,hamsters,7
herding,play,1
excretions,reptiles,1
bathing,medicines,1
adoption,eating,2
birds,cage,6
legal,snakes,1
children,german-shepherd,1
diet,feeding,61
senior-pet,veterinarian,1
fish,pleco,1
diet,pet-selection,1
containment,foals,1
eggs,reproduction,2
bonding,dogs,2
diet,vegetarian-food,4
death,multi-pet-families,3
poison,toys,2
amphibians,lighting,1
cites,tortoises,1
health,tortoises,4
ferrets,united-states,1
infections,rabbits,2
communication,safety,1
horses,injury,2
fish,maintenance,6
birds,budgerigar,6
identification,skin-condition,1
allergies,diet,4
aquatic-plants,fish,14
biology,terminology,1
acclimation,rabbits,1
guinea-pigs,toys,1
foals,horses,1
aggression,hedgehog,1
aggression,breeding,1
live-food,reptiles,3
adoption,rescue-organizations,7
ticks,veterinarian,1
cats,senior-pet,19
treats,winter,1
feeding,mice,1
health,travel,3
herding,rabbits,1
bedding,rabbits,1
eye-disease,strays,1
behavior,territory,7
live-food,rat,2
crate,safety,1
health,turtles,14
behavior,clown-plecos,1
insects,sound,1
leopard-geckos,poison,1
domestication,safety,1
socializing,stress,2
cockatiels,feeding,3
play,vocalizations,1
bathing,health,3
toilet-training,urination,5
history,rabbits,2
sample-collection,toilet-training,1
exotic-pets,safety,1
chewing,multi-pet-families,1
behavior,marking,2
aggression,ferrets,1
diet,lighting,1
hunting,junior-pets,1
grooming,play,1
brineshrimp,community-aquarium,1
eating,medicines,1
adoption,exotic-pets,1
community-aquarium,fish,38
cats,hygiene,8
dogs,feral,4
grooming,stress,1
breeding,insects,4
behavior,compatibility,1
drinking,maine-coon,1
anxiety,dogs,26
filters,reef-tank,1
first-aid,veterinarian,1
medicines,senior-pet,4
aquarium,goldfish,23
aquarium,tetra,12
toilet-training,training,40
eye-disease,parasites,1
bathing,rabbits,1
feces,reptiles,1
diseases,leopard-geckos,2
diseases,safety,1
desexing,rabbits,3
exotic-pets,water-changes,1
heart-health,vaccination,1
dogs,upper-respiratory-disease,2
diseases,fear,1
acclimation,freshwater,1
diseases,reptiles,4
aggression,animal-handling,1
compatibility,multi-pet-families,2
chickens,training,1
rabbits,socializing,3
eating,hygiene,1
behavior,community-aquarium,3
crossbreed,toilet-training,1
diet,recall,1
leash-training,senior-pet,1
rabbits,reptiles,1
