Tag1,Tag2,Num_Occurrence
lens,sony,40
canon-600d,software-recommendation,1
lightroom-4,resolution,1
aperture,blur,10
adobe-camera-raw,windows,2
data-corruption,lightroom-3,1
nikon,reverse-mount,5
body,filenames,1
kodak,old-cameras,2
equipment-identification,equipment-recommendation,1
camera-basics,teleconverter,1
aps-c,cropping,1
pentax,remote,1
manual-mode,remote,1
color-spaces,effect,1
data-corruption,xmp,1
dust,point-and-shoot,2
manual-mode,popup-flash,2
film,samyang,1
binoculars,optics,1
group-photos,sunlight,1
selling,web,3
scratches,used-equipment,1
color-management,night,1
color,open-source,1
photojournalism,sports,1
polaroid,technology-generations,1
lens-design,zoom,16
artifacts,moire,7
monolights,studio-lighting,1
children,white-balance,1
android-app,apps,1
terminology,warmth,1
stuck-pixel,terminology,1
bracketing,metadata,1
astrophotography,sun,9
shooting-technique,travel,1
aerial-photography,shutter-speed,1
macro-lenses,nikon,14
histogram,image-manipulation,1
brightness,display,1
chromatic-aberration,optics,5
adobe,lightroom-6,2
canon-6d,viewfinder,2
adapter,autofocus,1
file-format,prints,1
distortion,upgrade,1
filters,raw,1
anti-aliasing,nikon-d7100,1
calculations,macro-lenses,1
presets,white-balance,1
slr,slt,1
motion-blur,popup-flash,1
glass,viewfinder,1
real-estate,sigma,1
canon,printer,8
fft,image-analysis,1
digital,histogram,1
camera-settings,wifi-sd,1
cmyk,lightroom,1
iso-noise,telephoto,1
amateur,equipment-recommendation,2
mountain,ricoh,1
architecture,color,1
photography-basics,street-photography,2
lightroom,photography-basics,2
hdr,product-photography,1
post-processing,tamron,1
document-reproduction,image-processing,1
mechanical-shutter,shutter,2
portrait,samyang,1
hand-held,polarizer,1
neutral-density,sports,1
group-photos,reverse-engineering,2
shutter-speed,troubleshooting,2
metadata,subject-distance,1
color-management,photoshop,25
architecture,tips,3
street-photography,travel,4
lcd,nikon-d5100,1
film,viewfinder,2
nikon,pinhole-cameras,1
canon-700d,landscape,1
equipment-recommendation,uv,3
micro-four-thirds,real-estate,1
adobe-bridge,software,3
maintenance,sensor,5
compact-cameras,tilt-shift,1
canon-650d,teleconverter,1
creative-commons,web,1
metadata,search,5
nikon-d800,zeiss,1
iso,olympus-omd,1
image-quality,social-media,2
image-manipulation,rain,1
aps-c,equipment-recommendation,7
action,powershot,1
canon-70d,lightroom,1
field-curvature,lens,6
smart-collections,workflow,2
astrophotography,canon-g1-x,1
sharpness,troubleshooting,5
motion,triggertrap,1
flickr,lightroom-5,2
human-vision-system,noise,1
popup-flash,sound,1
background,texture,1
moon,os-x,1
extreme-sports,legal,1
camera-settings,film-cameras,1
battery,off-camera-flash,3
picasa,software-recommendation,2
canon-700d,low-light,1
optical-quality,sharpness,1
canon-700d,exposure,2
macintosh,spyder3,1
camera-settings,shutter-priority,1
equipment-recommendation,used-equipment,12
sharpness,yashica,1
nissin,pocket-wizard,1
auto-iso,autofocus,1
tamron,technique,1
lens-mount,olympus,6
manual-mode,zoom,1
camera-basics,camera-recommendation,6
telephoto,weight,3
focus-point-selection,picasa,1
photoshop,sony,1
macro,sensor,1
post-processing,tone,3
astrophotography,color,2
canon,rear-lcd,7
long-exposure,nikon-d5100,1
troubleshooting,vintage,1
battery-grip,canon-5d-mark-iii,3
flash,fluorescent,1
digikam,image-quality,1
fashion,product-photography,2
post-processing,troubleshooting,5
wide-angle,wide-angle-converter,1
depth-of-field,softness,1
canon-5d-mark-iii,composition,1
indoor,night,1
focal-length,image-circle,1
renting,telephoto,1
580exii,nikon,1
500px,picasa,1
