Tag1,Tag2,Num_Occurrence
bubble,drawing,1
all-in,terminology,1
no-limit,statistics,1
online,poker-stars,1
gaming-theory,heads-up,2
bankroll-management,texas-hold-em,2
holdem-manager,pokertracker,2
ev,pot-odds,1
pokertracker,raise,1
balancing,live,1
flush,implied-odds,1
betting-position,no-limit,1
bankroll-management,cash-game,5
all-in,pre-flop,3
nl600,nlhe,3
cash-game,range,1
mtt,nlhe,1
poker-strategy,tournament,7
raise,statistics,1
pre-flop,range,2
game-mechanics,hand-history,1
poker-tools,pokertracker,2
home-game,software,1
poker-tools,software,1
rules,texas-hold-em,68
bankroll-management,terminology,1
nlhe,strategy,6
hand-history,hand-reading,2
odds,tournament,3
reading-hands,wsop,1
betting-position,muck,1
bet-sizing,betting-strategy,2
betting-position,betting-strategy,7
bubble,mtt,1
heads-up,probability,2
angle-shoot,etiquette,1
nl200,texas-hold-em,3
equity,nlhe,1
nl100,texas-hold-em,2
hud,microstakes,1
omaha-hi-lo,tournament,1
nlhe,pot-odds,2
nlhe,online,36
heads-up,poker-strategy,2
short-stack,strategy,1
pot-limit,raise,1
button,dealer,3
heads-up,strategy,2
drawing,nlhe,2
cash-game,rush-poker,1
betting-strategy,post-oak-bluff,1
learning,odds,1
3-of-a-kind,full-house,1
cash-game,hand-history,8
betting-strategy,implied-odds,1
live,showdown,1
nlhe,tournament,33
etiquette,gaming-law,1
learning,soft-question,2
cheating,texas-hold-em,1
heads-up,texas-hold-em,8
roi,tournament,1
icm,software,1
hand,poker-tools,1
home-game,omaha-hi-lo,1
all-in,etiquette,1
roi,sng,1
betting-strategy,tells,2
bankroll-management,online,5
no-limit,probability,1
betting-position,nlhe,1
learning,software,1
rake,tournament,2
button,tournament,1
odds,poker-strategy,4
heads-up,online,3
all-in,odds,2
home-game,session-accounting,1
betting-strategy,short-stack,1
betting-strategy,texas-hold-em,42
betting-strategy,gto,1
poker-tools,strategy,2
raise,tournament,1
flush,rules,1
software,training,1
cash-game,poker-tools,1
all-in,betting-position,1
live,pre-flop,2
session-accounting,tournament,1
poker-theory,pot-odds,5
etiquette,texas-hold-em,5
hand-history,psychology,1
online,range,2
betting-strategy,strategy,13
betting-strategy,hand-history,1
poker-tools,resources,1
nuts,tournament,1
nl100,online,3
hand-history,no-limit,5
books,hand-history,1
drawing,terminology,1
hand-history,statistics,1
casino,no-limit,1
cash-game,starting-hand,1
no-limit,rules,8
drawing,learning,1
cash-game,post-oak-bluff,1
nl100,rush-poker,1
sd,standard-deviation,1
online,prize-pool,1
1-2nl,statistics,1
poker-theory,wsop,1
omaha-hi-lo,software,1
final-table,tournament,2
all-in,texas-hold-em,15
etiquette,tells,3
tournament,wsop,3
gaming-theory,psychology,1
nlhe,odds,3
software,texas-hold-em,6
1-2nl,pre-flop,1
bet-sizing,tournament,1
bubble,icm,1
drawing,odds,4
betting-strategy,learning,3
hand-history,live,16
betting-strategy,nl200,1
rules,strategy,4
icm,pokertracker,1
betting-position,terminology,1
hand,probability,2
poker-strategy,psychology,2
icm,texas-hold-em,1
online,rush-poker,1
probability,reading-hands,1
microstakes,nlhe,5
hand-history,nl100,7
live,statistics,1
muck,texas-hold-em,2
pokertracker,texas-hold-em,1
hand,odds,1
drawing,poker-theory,1
all-in,hand-reading,1
etiquette,home-game,2
all-in,probability,1
bankroll,session-accounting,1
blinds,statistics,1
1-2nl,balancing,1
omaha,training,1
all-in,pot-odds,3
pocket-pair,tells,1
poker-strategy,sit-and-go,2
no-limit,pot-odds,1
hand-reading,rules,1
1-2nl,bankroll-management,1
poker-theory,terminology,2
final-table,texas-hold-em,3
hand-history,holdem-manager,1
psychology,table-image,1
nuts,rules,1
learning,strategy,2
ev,texas-hold-em,1
flush,odds,4
cash-game,omaha,3
no-limit,pre-flop,2
probability,rules,1
