Tag1,Tag2,Num_Occurrence
story,three-dimensional,1
algorithm,cipher,1
puzzle-creation,riddle,17
board-games,strategy,16
riddle,semi-interactive-puzzle,1
board-games,story,2
enigmatic-puzzle,word-sequence,2
cryptic-clues,password,1
cryptic-clues,sports,1
enigmatic-puzzle,pattern,49
keys-and-locks,lateral-thinking,1
mystery,science,2
arithmetic,number-theory,11
arithmetic,optimization,3
game,logic-grid,1
knowledge,nonogram,1
liars,meta-knowledge,3
crossword-clues,seasonal,1
construction,sudoku,1
knowledge,letter-sequence,2
calculation-puzzle,optimization,15
mazes,nonogram,1
encoded-message,logical-deduction,1
cards,minimum-solve,1
mathematics,science,12
arithmetic,lateral-thinking,4
crossword-clues,metapuzzles,2
checkerboard,pursuit-evasion,1
anagram,letters,4
cryptic-clues,grid-deduction,3
mystery,seasonal,1
crossword-clues,word,6
crosswords,tiling,1
history,rhyme,8
pattern,strategy,2
lateral-thinking,music,6
story,word,29
pattern,story,19
computer-puzzle,haiku,1
geography,topology,1
language,movies,1
reverse-puzzling,steganography,1
literature,rhyme,8
crosswords,visual,5
cryptic-clues,literature,3
lateral-thinking,word,33
animals,computer-puzzle,1
chess,wordplay,2
puzzle-creation,word-sequence,1
logical-deduction,topology,3
geometry,unsolved-mysteries,1
cipher,mazes,4
paradox,science,1
arithmetic,mazes,4
pattern,steganography,12
cipher,cryptic-crosswords,2
logical-deduction,time,10
enigmatic-puzzle,network,3
english,history,2
grid-deduction,word-problem,1
dissection,visual,1
google-ngram,open-ended,1
computer-puzzle,knowledge,20
game,story,2
story,treasure-hunt,5
cryptic-clues,word,16
dice,paradox,1
bongard,logical-deduction,2
puzzle-creation,word-property,1
situation,strategy,6
alternate-reality-game,connections-puzzle,1
regional-dialects,trivia,1
computer-puzzle,polyomino,12
cryptic-crosswords,mazes,1
situation,story,26
no-computers,word-square,1
geometry,topology,3
acrostic,cipher,2
board-games,reachability,1
open-ended,strategy,3
chess,combinatorics,14
number-sequence,word-problem,3
cipher,steganography,94
connections-puzzle,letters,1
chemistry,metapuzzles,1
jigsaw-puzzle,lateral-thinking,1
grid-deduction,three-dimensional,2
game-theory,tic-tac-toe,2
paradox,word-problem,3
geometry,puzzle-identification,2
mathematics,meta-knowledge,16
jigsaw-puzzle,knowledge,1
humor,treasure-hunt,1
lateral-thinking,rhyme,31
scrabble,wordplay,1
arithmetic,strategy,2
family,mathematics,1
board-games,mathematics,4
liars,paradox,1
alphametic,mazes,1
geometry,probability,11
lateral-thinking,wordplay,57
puzzle-creation,rhyme,3
steganography,word-game,1
circuitry,open-ended,1
geometry,triangle,14
enigmatic-puzzle,trivia,26
dissection,three-dimensional,1
anagram,steganography,11
logical-deduction,network,2
solvability,sudoku,5
game,open-ended,2
logic-theory,rhyme,1
algebra,meta-knowledge,1
computer-puzzle,lateral-thinking,10
construction,logical-deduction,3
arithmetic,cipher,1
geocaching,visual,1
oppogram,science,1
visual,word-problem,3
arithmetic,calculation-puzzle,11
mathematics,seasonal,8
pattern,word-search,1
cipher,seven-segment,1
logic-grid,puzzle-theory,1
computer-puzzle,story,18
animals,geography,2
algorithm,number-theory,2
letters,word-problem,1
lateral-thinking,matches,5
computer-puzzle,dissection,6
geometry,proof-without-words,1
computer-puzzle,odd-one-out,1
sports,wordplay,3
combinatorics,logical-deduction,53
logic-grid,puzzle-identification,1
game,reachability,4
riddle,word-problem,18
combinatorics,knight-moves,3
liars,logic-grid,5
cipher,symbols,4
language,lateral-thinking,12
explanation,topology,1
puzzle-creation,visual,3
graph-theory,mathematics,37
cryptography,video-games,1
blackboard,reachability,8
odd-one-out,word-property,2
riddle,symbols,2
probability,puzzle-creation,1
geometry,password,1
history,science,2
circuitry,optimization,2
geography,word-ladder,1
computer-puzzle,rebus,30
computer-science,password,1
dice,strategy,6
metapuzzles,sudoku,1
cryptic-crosswords,english,1
anagram,polyomino,1
game,mathematics,73
cryptography,real,4
open-ended,optimization,3
checkerboard,dominoes,1
computer-science,pattern,1
number-sequence,trivia,6
cipher,word-sequence,2
knowledge,reverse-puzzling,1
sports,tiling,1
logic-grid,logical-deduction,52
geometry,optimization,31
algorithm,mazes,4
computer-puzzle,word-search,2
knowledge,trivia,90
seasonal,sliding-blocks,1
geocaching,puzzle-identification,1
language,word-property,6
computer-science,geometry,1
lateral-thinking,logical-deduction,75
limerick,word,7
metapuzzles,word,5
no-computers,nonogram,1
letters,story,5
emoji,trivia,1
optimization,river-crossing,6
history,story,15
graph-theory,network,2
tetris,tiling,2
cipher,computer-science,5
family,lateral-thinking,2
number-sequence,reverse-puzzling,1
imgur-maze,wordplay,2
language,visual,10
history,puzzle-history,1
anagram,oppogram,5
puzzle-creation,wordplay,1
game-theory,mathematics,6
mechanical-puzzles,optimization,2
connections-puzzle,logical-deduction,1
calculation-puzzle,logical-deduction,88
history,wordplay,7
paradox,probability,4
movies,story,3
emoji,literature,1
physics,situation,2
game,pencil-and-paper-games,6
rubiks-cube,twisty-puzzles,8
checkerboard,mathematics,47
treasure-hunt,word,2
number-sequence,word-sequence,1
number-theory,password,1
combinatorics,solvability,2
game,puzzle-identification,1
seasonal,story,5
board-games,chess,18
circuitry,jigsaw-puzzle,1
puzzle-creation,trivia,1
outer-space,riddle,5
logic-grid,puzzle-history,1
calculation-puzzle,solvability,2
cipher,physics,1
geography,wordplay,34
cryptic-crosswords,outer-space,1
anagram,wordplay,25
knowledge,mathematics,16
magic-square,strategy,1
lateral-thinking,mystery,9
odd-one-out,pattern,13
computer-puzzle,retrograde-analysis,1
magic-square,story,1
flags,symbols,1
logical-deduction,matches,4
explanation,time,1
difficulty-rating,graph-theory,1
probability,rubiks-cube,1
real,trivia,1
logical-deduction,reverse-puzzling,5
mathematics,physics,10
calculation-puzzle,mazes,4
no-computers,word-property,1
letters,word,31
jigsaw-puzzle,wordplay,1
animals,logic-grid,1
pattern,puzzle-creation,3
combinatorics,tic-tac-toe,1
animals,cryptic-clues,1
decanting-problems,geometry,1
flags,logical-deduction,1
crosswords,reference-request,2
game,situation,1
combinatorics,mathematics,206
combinatorics,graph-theory,13
logical-deduction,puzzle-theory,4
poetry,sudoku,1
crosswords,history,2
poetry,rebus,1
movies,poetry,3
magic-square,number-theory,5
dominoes,geometry,1
riddle,unsolved-mysteries,1
knowledge,situation,6
number-sequence,sports,1
checkerboard,pattern,1
computer-puzzle,wordplay,7
letters,riddle,29
astronomy,calculation-puzzle,1
open-ended,scrabble,3
board-games,minimum-solve,2
jigsaw-puzzle,tiling,1
mathematics,open-ended,14
english,palindrome,1
science,word-game,1
mathematics,sports,6
arithmetic,computer-puzzle,2
history,tribond,2
combinatorics,magic-square,3
coins,optimization,1
mazes,poetry,1
chess,knowledge,2
computer-puzzle,dice,1
rebus,visual,86
visual,wordplay,27
lateral-thinking,riddle,173
arithmetic,wordplay,1
computer-puzzle,computer-science,6
history,unsolved-mysteries,3
imgur-maze,music,1
