Tag1,Tag2,Num_Occurrence
debugging,libraries,2
c++,hopper,1
array,assembly,1
pe,security,1
machine-code,tools,2
.net,static-analysis,1
shellcode,windows,3
decompiler,static-analysis,1
command-line,lldb,1
pe,symbols,1
anti-debugging,dynamic-analysis,1
byte-code,file-format,1
.net,hex,1
.net,binary-format,1
vb6,visual-basic,1
array,c,2
deobfuscation,php,3
call,offset,1
dll,ida,19
crc,embedded,2
ida,tools,17
disassembly,malware,22
hopper,ida,3
assembly,dll-injection,2
career-advice,security,1
anti-debugging,executable,1
decompile,x86,2
patch-reversing,windows,3
kernel-mode,tools,1
encodings,mach-o,1
digital-forensics,memory-dump,2
packet,serial-communication,3
disassembly,kernel,1
python,serial-communication,2
cryptography,ida,4
embedded,integrated-circuit,1
ollydbg,serial-communication,1
elf,security,1
elf,law,1
gcc,objdump,1
compilers,libraries,1
osx,swf,1
ida,java,3
dynamic-linking,elf,4
pe,windows-10,3
decompress,executable,1
development,dynamic-analysis,1
automation,plugin,1
disassembly,virtualizers,1
deobfuscation,jar,1
dll,x64dbg,4
debugging,osx,4
debugging,intel,2
amd64,gcc,1
radare2,virtual-machines,1
gdb,osx,5
android,arm,25
encryption,windows,3
callstack,dalvik,1
malware,software-security,2
decryption,serial-communication,3
debugging-symbols,pdb,3
hex,machine-code,1
c++,x86,18
binary-analysis,dump,1
objdump,opcodes,2
decompilation,rom,2
java,javascript,2
embedded,kernel,1
flash,spi,3
idapro-sdk,idapython,18
machine-code,tracing,1
gdb,stack,4
decompress,https-protocol,1
obfuscation,static-analysis,4
c#,memory-dump,1
dga,networking,1
arm,ida,51
.net,binary,1
memory-dump,pe,2
scanf,xor,1
process,unpacking,1
intel,kernel-mode,1
arm,gdb,5
java,sniffing,1
arm,unpacking,1
exploit,reassembly,1
binary-diagnosis,virtual-machines,1
debuggers,linux,5
ida,vmware,1
asm,assembly,1
byte-code,disassembly,9
file-format,unpacking,11
encodings,strings,5
breakpoint,x64dbg,3
hopper,radare2,1
encryption,hardware,2
disassembly,patching,13
obfuscation,python,2
qemu,shellcode,1
patching,reassembly,1
c,shellcode,1
anti-debugging,radare2,1
bios,x86,3
control-flow-graph,ida,7
embedded,usb,1
embedded,hardware,7
kernel-mode,windows-10,3
processhacker,static-analysis,1
assembly,instrumentation,1
pages,virtual-memory,2
binary-analysis,ida,35
immunity-debugger,winapi,1
decryption,x86,2
decompress,ida,1
exploit,x64,3
python,usb,1
.net,security,1
.net,packers,1
ethics,law,1
asm,pe,1
hash-functions,strings,1
dos-exe,static-analysis,1
encodings,radio-interception,1
encryption,packers,2
encodings,xor,1
assembly,exception,2
bin-diffing,binary-analysis,4
binary,unpacking,3
