Tag1,Tag2,Num_Occurrence
pesticides,virus,1
depression,obesity,1
alan-turing,esp,1
manufacturing,nutrition,1
employment,immigration,2
bangladesh,sexual-abuse,1
cognitive-science,neurology,6
united-states,water,5
unemployment,united-states,5
electromagnetism,technology,3
blood,musicians,1
economics,libya,1
aviation,world-war-ii,1
switzerland,weapons,1
celebrities,photography,1
north-korea,war,3
india,nuclear-weapons,1
environmental-health,school,1
anthropology,gender,1
internet,security,1
children,lead-poisoning,1
autism,environmental-health,1
psychology,sound,2
russia,syria,5
medical-science,virus,7
ghosts,psychics,1
ebola,united-states,2
america,history,2
bible,stage-magic,1
biology,scientific-papers,1
natural-remedies,recreational-drugs,2
children,technology,1
criminology,literature,2
meditation,neurology,1
astronomy,evolution,1
criminology,united-states,57
beer,tricks,1
bible,natural-disasters,1
richard-dawkins,zoology,1
cooking,vegetables,1
economics,iran,2
allergies,medications,1
9-11,osama-bin-laden,3
energy,safety,4
criminology,scam,1
pregnancy,sleep,1
gambling,sociology,2
nutritional-supplements,radiation,1
catholic-church,islam,1
net-neutrality,united-states,2
battery,energy,3
china,pakistan,3
electronics,physical-fitness,1
biology,music,1
concentration,social-media,1
gender-selection,nutrition,1
france,road,1
lawsuits,nutrition,1
ukraine,video,1
energy-efficiency,fuel-economy,1
gmo,nutrition,5
ergonomics,light,1
media,united-kingdom,1
employment,sociology,1
islam,learning,1
charities,university,1
cancer,oil,1
judaism,marriage,1
neurology,sound,1
environmental-health,memory-foam,3
agriculture,united-states,3
consumer-products,poland,1
nuclear-weapons,radiation,4
geography,quran,1
breast-enlargement,psychology,1
causality,epidemiology,1
africa,politics,1
iran,marriage,1
intelligence,psychology,11
religion,sweden,1
nuclear-weapons,video,1
history,recreational-drugs,3
history,vikings,2
alcohol,vaccines,1
medical-science,video,2
google,politics,2
fruit,natural-remedies,1
israel,sociology,1
biology,reproduction,1
art,donald-trump,2
etymology,medical-science,1
environment,medical-science,1
battery,safety,1
banking,personal-finance,2
cleaning,marketing,1
history,united-kingdom,13
law-enforcement,social-media,1
age,medical-science,1
blood,dna,1
natural-disasters,weather,1
milk,nutrition,32
history,nuclear-weapons,6
education,race,1
children,hearing,1
nuclear-weapons,russia,1
philosophy,sexuality,1
sharks,zoology,4
near-death-experience,neurology,1
italy,law,1
north-korea,religion,1
pope,vatican,1
cryptography,security,1
allergies,hygiene,1
cancer,coffee,1
biology,masuru-emoto,1
coffee,marketing,2
economics,transportation,4
apple-inc,history,1
government,mexico,1
islam,physics,2
religion,torah,2
history,life-expectancy,3
china,forensics,1
chemistry,household,3
intelligence,iraq,1
catholic-church,sexuality,4
malaysia,muslims,1
government,oceanography,1
environmental-health,politics,1
microwaves,united-states,1
energy-efficiency,gasoline,1
healthcare,medical-science,27
criminology,islam,3
propaganda,united-states,1
experiments,russia,2
catholic-church,economics,2
criminology,school,1
forecasting,population,1
photography,refugees,1
religion,united-states,18
military,radiation,1
children,taxes,1
milk,safety,1
cognitive-science,language,2
martial-arts,stage-magic,3
cooking,united-states,1
medical-science,surgery,6
electronics,personal-finance,1
islam,population,1
environment,psychology,3
egypt,recreational-drugs,1
cigarettes,tobacco,2
monsanto,united-states,1
ethics,medical-science,3
divorce,united-states,1
prostitution,recreational-drugs,1
physics,religious-texts,2
judaism,torah,1
geography,recreational-drugs,1
cryptozoology,education,1
clothing,television,1
canada,sexism,1
consumer-products,guns,1
patents,technology,1
advertising,guns,1
nutrition,sugar,20
aliens,winston-churchill,1
economics,finance,5
beer,physics,1
architecture,soviet-union,1
marketing,smoking,1
mortality,religion,5
social-media,terrorism,1
anthropology,sociology,2
dna,history-of-science,1
biophysics,psychology,1
politics,world-war-ii,3
school,university,1
cleaning,united-states,1
guns,safety,3
sexual-abuse,sexuality,5
nazi-germany,ukraine,2
abortion,medical-science,2
geography,suicide,1
healthcare,vitamins,1
italy,leonardo-da-vinci,1
children,movies,1
nuclear-energy,physics,5
commerce,europe,1
libya,slavery,1
dentistry,natural-remedies,2
infection,religion,1
climate-change,quotes,1
japan,korea,1
alcohol,yeast,1
chess,physiology,1
environment,stress,1
quotes,religion,9
illuminati,jfk,1
religion,sexual-abuse,3
biology,sport,1
happiness,sexuality,1
elephants,medical-science,1
education,quotes,4
physiology,technology,2
livestrong,physical-fitness,1
atmosphere,drink,1
internet,sharks,1
mobile-phones,physics,7
history,musicians,4
gemology,geology,1
energy-efficiency,water,1
donald-trump,hillary-clinton,5
nasa,photography,2
environment,transportation,4
fertility,marriage,1
parenting,psychology,8
donald-trump,government,1
hygiene,zoology,2
public-health,safety,2
islam,television,1
life-expectancy,psychiatry,1
propaganda,war,1
hfcs,medical-science,1
electronics,weight-loss,1
