Tag1,Tag2,Num_Occurrence
c++,lambda,5
iterator,ruby,2
list,order,1
nosql,pricing,1
hiring,telecommuting,1
performance,websockets,3
ansi,c++,2
domain-driven-design,integration-tests,1
entity,jpa,3
real-time,sql-server,1
opengl,team-foundation-server,1
arithmetic,optimization,2
interfaces,programming-practices,16
code-smell,procedural,1
node.js,reactjs,2
internet,security,1
scrum,srs,1
.net,modeling,1
html,legal,1
database-design,pattern-matching,1
server,workflows,1
design-patterns,immutability,8
credits,team,1
entity,repository-pattern,2
ninject,unit-testing,1
php,separation-of-concerns,9
security,sql-injection,8
efficiency,interpreters,1
paradigms,verification,1
liskov-substitution,roles,1
browser,memory,1
cloud-computing,google-app-engine,5
data-structures,relational-database,7
list,winforms,1
api,configuration,1
data,users,1
gitflow,release-management,4
byte,numeric-precision,1
garbage-collection,memory-usage,7
patterns-and-practices,php,7
mvc,projects-and-solutions,3
abstraction,inversion-of-control,1
closed-source,programming-logic,1
computer-science,tools,1
beta,language-agnostic,1
state,uml,1
programming-practices,web-crawler,1
productivity,scripting,2
class-diagram,naming,1
architecture,correlation,1
sharepoint,web-applications,1
arm,linux-kernel,1
architectural-patterns,functional-programming,3
documentation,object-oriented-design,4
design-patterns,rust,2
android,spoken-languages,1
.net,caching,6
legacy,source-code,3
object-oriented,scrum,2
class-design,typedef,1
arithmetic,compression,2
c++,profiling,3
code-reviews,development-methodologies,1
java,philosophy,1
aspect-oriented,design-decisions,1
constructors,static,2
behavior,database-design,1
integration-tests,node.js,3
obfuscation,python,1
complexity,composition,1
object,object-oriented-design,10
code-organization,layers,2
object-oriented,reactive,2
rest,ssl,3
cluster,data-mining,2
asp.net,trees,1
microservices,naming-standards,1
personal-projects,social-networks,1
architecture,microsoft-access,1
language-design,markup,1
eventual-consistency,state,1
refactoring,zend-framework,1
speed,web-development,3
pointers,programming-practices,2
cucumber,specifications,3
computer-science,language-agnostic,4
junior-programmer,unit-testing,1
collaboration,knowledge,2
authorization,javascript,1
deployment,development-process,8
continuation,semantics,1
bdd,scalability,1
encryption,web,2
asp.net-mvc,resources,1
graph-databases,query,1
event,finally,1
apache,websockets,1
.net,hosting,1
camel,soa,1
iterator,messaging,1
design-patterns,eclipse,2
css,reactjs,2
perl,productivity,1
difference,merging,1
operators,virtual-machine,1
java,keywords,3
boolean,maintainability,1
parallel-programming,pthreads,1
code-quality,open-source,2
gui,multithreading,4
singleton,spring,1
data-warehouse,design-patterns,1
standards,theory,3
front-end,web-development,25
interview,senior-developer,1
android,orm,2
software-distribution,third-party-libraries,1
error-handling,logging,5
plugin-architecture,web-applications,1
ravendb,sql-server,2
google,gwt,1
chrome,licensing,2
.net,user-interface,1
numbers,octal,1
portability,xml,1
audit,support,1
.net,web-scraping,2
p2p,release-management,1
calculus,computer-science,1
asynchronous-programming,sockets,1
linking,mpl,1
communication,tools,1
performance,pubsub,1
coding,computer-science,1
enterprise-architecture,indexing,1
null,string-matching,1
memory-usage,multithreading,1
branching,software,1
freelancing,personal-projects,1
interfaces,visual-studio,1
server,sockets,10
client,terminology,1
jsp,mvc,4
aws,mariadb,1
file-handling,portability,1
architecture,etl,2
callbacks,design,2
networking,p2p,1
performance,stl,1
java,language-design,47
error-messages,junior-programmer,1
meetings,team-building,1
class-design,dependency-injection,7
documentation,operators,1
browser,selenium,2
parallelism,pthreads,1
algorithms,object-oriented-design,4
iphone,legal,1
algorithms,iterator,1
delegates,web-development,1
computer-architecture,concepts,2
bug,ethics,1
templates,variables,1
ruby-on-rails,web-scraping,1
constructors,trie,1
python-3.x,testing,1
c99,design,1
domain-name-system,microservices,1
domain-driven-design,transaction,5
libraries,standards,2
c#,self-improvement,2
programming-languages,prototyping,6
continuous-delivery,teamwork,1
project-structure,templates,1
dsl,query,1
programming-languages,requirements,1
asp.net,file-handling,2
android,logging,2
artificial-intelligence,simulation,3
html5,programming-practices,2
git,teamwork,13
erp,project-management,1
business-process,erp,1
java,porting,3
angularjs,polling,1
asynchronous-programming,event-sourcing,1
configuration-management,web-applications,1
interfaces,model,1
code-generation,java,3
devops,windows,1
backend,class-design,1
mysql,python-3.x,1
relational-database,repository,1
c#,xslt,2
extension-method,solid,1
data,interoperability,1
legacy,unicode,1
tracing,web-browser,1
dto,immutability,1
encryption,sql-server,5
c++11,support,1
hiring,productivity,1
biztalk,service-bus,1
effort,productivity,1
design,financial,1
team,testing,4
asp.net-mvc-web-api,web-api,18
devops,release-management,1
database,development-approach,1
validation,xml,5
continuous-integration,php,4
architect,team,1
configuration,user-interface,4
code-security,templates,1
data-structures,order,1
contract,deadlines,1
file-systems,parsing,1
caching,efficiency,2
dependency-injection,presentation-model,1
microservices,project-management,2
aws,pubsub,1
desktop-application,mvvm,1
frameworks,system-architecture,1
conditions,math,1
education,svn,1
web-development,web-framework,33
coupling,validation,1
management,time-management,1
javascript,optimization,7
concurrency,enterprise-architecture,2
aspect-oriented,design,3
azure,microsoft,2
code-organization,objective-c,2
compiler,jit,11
bug-report,github,2
feedback,php,1
backlog,kanban,1
enterprise-architecture,windows-8,1
leadership,time-estimation,1
delphi,session,1
angular2,project-structure,2
agile,web-tools,1
character-encoding,java,2
database,webforms,2
extreme-programming,tracking,1
multi-platform,multiprocessing,1
c,file-handling,8
code-organization,reactjs,1
filtering,plugin-architecture,1
comments,refactoring,1
open-source,refactoring,3
search,trie,2
communication,internship,1
code-organization,organization,7
development-methodologies,offshore,1
firefox,web-browser,3
decompile,visual-studio-2008,1
file-structure,formatting,1
c++,x86,1
construction,design-patterns,1
computer-science,numerical-equations,1
asp.net-mvc-3,cqrs,1
http,optimization,1
open-source,rdbms,1
language-discussion,learning,1
interfaces,process,1
caching,persistence,4
computer-architecture,design,1
code-metrics,object-oriented-design,1
c++,css,1
groovy,interpreters,1
data,design-patterns,19
coupling,design-principles,2
ado.net,event-programming,1
source-code,spoken-languages,1
memory,ssl,1
dependency-injection,generics,1
code-quality,time-management,1
devops,testers,1
neural-networks,python,2
.net,pair-programming,1
coding-style,embedded-systems,1
data-mining,websites,1
programming-practices,team,6
legacy,programming-languages,3
coding-style,static-methods,2
privacy,web-applications,4
enterprise-architecture,failure,1
initialization,return-type,1
logging,patterns-and-practices,4
database-development,development-process,3
c#,excel,4
automatic-programming,programming-practices,1
angularjs,libraries,1
class,parameters,2
design,file-systems,3
hardware,xml,1
class-design,complexity,1
interview,ui,1
algorithms,math,69
java,n-tier,6
gtk,pyqt4,1
java,permissions,2
logging,object-oriented-design,3
c++11,refactoring,1
team-foundation-server,user-story,3
development-environment,time-management,1
text-encoding,utf-8,2
event-programming,file-handling,1
asp.net,interview,2
android,professional-development,1
python,switch-statement,1
resources,url,1
unit-testing,version-control,7
asp.net-core,database,1
bitbucket,code-security,1
technical-debt,unit-testing,1
boost,object-oriented,1
collections,solid,1
functions,scheme,1
dto,rest,2
offshore,team,1
definition,include,1
inheritance,testing,2
embedded-systems,tdd,4
artificial-intelligence,security,1
architecture,ssis,1
experience,open-source,1
functional-programming,python,20
documentation,writing,3
api-design,soa,3
javascript,webforms,3
javascript,runtime,2
data-structures,php,15
api,asp.net-core,3
books,monodroid,1
architectural-patterns,web-applications,3
repository-pattern,testing,1
experience,team-building,1
coding-standards,naming-standards,16
database,preferences,1
gpl,kernel,1
agile,test-automation,1
database-design,hibernate,5
elasticsearch,enterprise-architecture,1
documentation,issue-tracking,3
android,strategy,3
mobile,requirements,3
c++,uml,9
abstraction,design,16
planning,strategy,1
mysql,software-as-a-service,4
pure-function,recursion,1
anti-patterns,repository,1
project-management,time-management,29
decisions,learning,1
api,web-services,50
asp.net-mvc-4,cloud-computing,1
github,ios,2
higher-order-functions,object-oriented,2
browser,rendering,2
planning,team,4
cluster,load-balancing,2
c#,dependency-inversion,3
passwords,vulnerabilities,1
migration,svn,2
artificial-intelligence,prolog,3
applications,high-performance,1
billing,design,1
abstraction,generalization,1
android,multiple-inheritance,1
language-design,programming-logic,1
programming-practices,rest,11
architectural-patterns,spring,1
scalability,technical-debt,1
finite-state-machine,winforms,1
exception-handling,methods,1
chess,lisp,1
database-development,tdd,1
linux,portability,3
artificial-intelligence,computer-science,2
java,terminology,19
observer-pattern,uml,1
cqrs,mvvm,2
dependencies,multithreading,1
boolean-logic,programming-logic,1
api,terminology,8
information,networking,1
coding-style,object-oriented-design,4
java,scope,7
integration-tests,legacy,1
git,semantic-versioning,7
error-messages,exception-handling,1
constructs,list,1
branching,failure,1
application-design,ubuntu,1
planning,task-organization,3
architectural-patterns,event-sourcing,4
exceptions,subclassing,1
.net,jruby,1
hexadecimal,numbers,1
lazy-initialization,memory,1
java,windows,6
opengl,version-control,1
database,loops,2
object-oriented,ruby,16
aot,compiler,1
osx,software-obsolescence,1
architecture,event,1
garbage-collection,open-close,1
code-reviews,documentation,4
builds,front-end,1
ethics,ios,1
ethics,hashing,1
technical-support,user-experience,1
source-code,upgrade,1
compiler,web-development,2
presentation,team-foundation-server,1
java,prototyping,1
coding-standards,tools,1
c#,compiler,18
entity-framework,enum,1
estimation,project-planning,4
factory-method,javascript,1
sdlc,uml,2
history,javascript,9
database,http,2
comments,implementations,1
migration,schema,2
management,team,10
array,language-agnostic,1
razor,server,1
libraries,project-structure,4
logging,services,2
compiler,eclipse,1
internship,project-management,1
circular-dependency,microservices,1
factory,object-oriented-design,5
algorithms,efficiency,33
java,value-object,4
compiler,functions,1
cyclomatic-complexity,web-applications,1
microsoft,symbian,1
code-contracts,software,1
make,matlab,1
caching,server,3
code-reuse,functional-programming,2
data,windows-phone-7,1
security,verification,3
asp.net,virtual-machine,2
java8,multiple-inheritance,1
class,configuration,1
mvc,unit-testing,6
c#,f#,14
android,messaging,1
c,storage,4
image-manipulation,web-development,3
compiler,generics,1
problem-solving,teaching,1
canvas,svg,2
bug,c,2
open-source,web-development,9
collections,scope,1
operating-systems,web-servers,1
c++,high-level,1
naming,source-code,1
history,languages,3
web,web-browser,2
cakephp,javascript,1
test-automation,test-coverage,1
clean-code,documentation,2
asp-classic,c,1
application-design,windows,2
boolean,cryptography,1
entity-framework,web-applications,3
dapper,sql-server,1
c++11,static-typing,1
apple,history,1
cloud-computing,design,7
culture,junior-programmer,1
microservices,teamwork,1
domain-driven-design,strategy-pattern,2
ios,quality,1
dynamic-inheritance,namespace,1
clean-code,solid,7
project-management,user-story,20
inheritance,refactoring,9
startup,web-development,6
php,state,2
concurrency,hashing,1
architecture,game-development,16
language-choice,windows,1
security,soap,2
algorithms,exceptions,1
iphone,open-source,3
optimization,tdd,2
business-logic,sql,1
json,rpc,1
