Tag1,Tag2,Num_Occurrence
audience,zoom-h6,1
audio-recording,vst,4
money,uk,1
atmosphere,processing,1
console,headphones,1
field-recording,macgyver,1
impulse-response,room-treatment,1
location-audio,wireless,1
me,organization,1
animals,footsteps,1
bwf,pro-tools,3
binaural,hrtf,2
techniques,workflow,3
mac,plugins,1
recording,room,1
levels,zoom,1
5.1,cinema,2
lavalier,podcasts,2
ableton-live,plug-ins,3
sound-editing,techniques,1
payment,sound-design,1
audio,osx,6
foley,post-production,3
live-sound,music,1
software,synthesizer,11
definitions,theory,1
online,purchase-advice,1
midi,troubleshooting,1
audiosuite,workflow,2
failure,speakers,1
equipment,tripod,1
audio-editor,software,1
48khz,96k,1
sync,vocals,1
avid,playback,1
creativity,plug-ins,2
gear,microphone,20
daw,film-sound-design,2
mastering,video,1
podcasts,preamp,1
footsteps,sync,1
video,video-games,2
health,life,1
linux,production,1
effects,plug-ins,2
5.1,binaural,1
echo,latency,1
processing,vintage,1
algorithmic,harmonics,1
mixing,reference,1
mobile,usb,1
daw,stage,1
device,sd,1
sound-design,vocoding,1
converter,stereo,1
microphone-stand,pop,1
gameaudio,implementation,5
isolation,studio-design,2
sound-effects,waves,1
gain,wireless,1
logic,poly-wav,1
feedback,music,1
budget,pro-tools,2
playback,quality,1
field-recording,multichannel,2
mixer,performance,1
line-level,recorder,1
genre,spectrum,1
location-recording,location-sound,3
audio-recording,diy,1
cubase,usb,3
audio-interfaces,zoom,1
mastering,showreel,1
automation,script,2
legal,post-production,1
backups,database,1
business,reel,1
bass,reamping,1
encoding,quality,2
field-recording,handheld,1
post-production,pro-tools,20
levels,sound,2
cubase,vsti,1
reaktor,voice,1
film,picture-editing,1
recommendations,sound-effects,6
nature-recording,silence,1
file-organization,sound-libraries,1
home-studio,monitors,6
noise-reduction,technician,1
ableton,clipping,1
systems,wireless,2
daw,pc,1
tempo,tone,1
live-performance,vst,1
dubbing-stage,gear,1
audacity,interviews,1
organization,session,1
effects,fl-studio,1
platform,windows,2
diy,production,1
dac,speakers,1
effects,sound-effects,5
film-sound-design,movies,3
archival,sound-effects,1
playback,smpte,1
data,recovery,2
export,omf,3
harmonics,organization,1
audio-recording,phantom,1
filter,sub-bass,1
in-the-box,pro-tools,1
budget,education,1
lavalier,levels,1
noise-reduction,software,4
recording,snow,1
microphone,recordist,1
conversion,digital,2
editing,ms,1
royalties,sound-effects,1
reverb,waves,1
protection,water,1
sound-design,writing,1
plug-ins,sound-effects,1
location-recording,sd,1
convolution,sfx,1
rates,work,1
cleaning,reverb,1
computer,pre-amp,1
software,sync,2
microphone,shotgun,17
mixer,stereo,7
epic,scoring,1
recommendations,room-treatment,1
audio-interfaces,dac,2
dc,synthesis,1
foley,pre-amp,1
maintenance,microphone,2
film-sound-design,theory,1
ableton-live,sound-effects,3
documentary,sound,1
audacity,compression,2
sharing,sound,1
