Tag1,Tag2,Num_Occurrence
chromedriver,ruby-on-rails,1
test-automation-framework,web-application,1
qa-developer,security-testing,1
firefoxdriver,geckodriver,2
junit,pom,1
defect-tracking,functional,1
exploratory,tools,7
python,testcomplete,1
non-functional,performance,3
manual-testing,memory-leaks,1
automated,database,1
javascript,web-service,2
load-testing,qtp,1
jmeter,quality-assessment,1
continuous-integration,windows,1
data-driven,robotframework,1
external-dependencies,testng,1
gui,open-source,1
export,quality-center,2
chromedriver,selenium,19
cross-browser-testing,selenium2,1
end-to-end,techniques,1
exception,unit-tests,1
junit,mobile-automation,1
image-based-testing,protractor,1
coverage,security-testing,1
css-selectors,dynamic-testing,1
excel,smoke-testing,1
test-design,unit-tests,13
input-field,xml-file,1
agile-testing,kanban,1
selenium,tdd,2
python,sockets,1
automated-testing,eggplant,4
jmeter-plugins,test-report,3
load-testing,virtualmachine,1
automated-testing,sdet,2
interview,test-techniques,1
page-objects,ruby,3
combinatorial-testing,test-creation,1
java,web-service,6
application-software-testing,java,1
automated-testing,pairwise-testing,2
jmeter,test-data,1
functional,intern,1
agile,test-strategy,2
excel,hp-alm,1
bug-report,soapui,1
performance,sockets,3
c#,unit-tests,6
javascript,webdriver,20
regression-testing,web-application,4
interview,selenium,5
eclipse,static-analysis,1
java,logs,3
programmer-relations,test-management,5
selenium-webdriver,testing-practice,1
performance,web,3
agile,agile-testing,34
coverage,maven,1
code,unit-tests,1
bug-report,bugzilla,2
browser-automation,xpath,8
test-automation-framework,visualstudio,1
hp-quality-center,robotframework,1
automated-testing,image-based-testing,6
jmeter,test-automation-framework,4
artificial-intelligence,selenium-webdriver,1
jmeter,jmeter-plugins,99
selenium-webdriver,test-report,8
android,user-acceptance-testing,2
hp-uft,test-report,2
uiautomation,web,2
java,why-does-this-fail,1
manual-testing,selenium-ide,2
capybara,chrome,1
data-quality,manual-testing,3
java,javascript,26
agile-testing,user-acceptance-testing,1
soapui,test-management,1
hardware,standards,3
oracle-ats,web-application,1
culture,team-management,3
jmeter,version-control,1
jmeter,manual-testing,10
safaridriver,selenium,5
regression-testing,unit-tests,2
mock,webdriver,2
firefoxdriver,java,10
coverage,development-process,1
development-process,testcase,1
server,web,1
qa-process,qa-role,5
code-quality,javascript,1
exception,nunit,2
agile,regression-testing,2
android,sonarqube,1
eclipse,testng,13
vulnerability-assessment,zapproxy,1
acceptance-testing,gherkin,1
validation,xml-file,2
career-development,disscussion,1
java,leanft,1
testcase,tools,1
java,maven,11
performance,testing-environment,1
cucumber,security-testing,1
database,email,1
documentation,unit-tests,2
agile-testing,certification,3
integration-testing,smoke-testing,1
development-process,management,1
automated-testing,back-end,1
angular,chai,1
java,load-testing,6
functional,manual-testing,21
gherkin,specflow,2
ie11,junit,1
performance,soapui,2
learning,test-design,5
android,tool-recommend,1
