Tag1,Tag2,Num_Occurrence
802.1x,eduroam,2
linux-kernel,snap,2
block-device,usb-device,3
chroot,ip,1
gtk2,wxwidgets,1
sddm,wayland,1
dovecot,nginx,1
data-recovery,vmware,1
fedora,ld,1
cygwin,xonsh,1
checkpoint,ssh,1
grep,x86,1
ext3,not-root-user,1
geoclue,redshift,1
gnome-shell,windows,1
networkmanager,sabayon,1
command,services,2
opensuse,tty,3
arm,locale,1
gateway,shorewall,1
ext4,music,1
autofs,fat,1
networkmanager,su,1
networking,ufw,11
bash,crunchbang,2
apache-httpd,sandbox,1
directory,file-metadata,2
osx,terminal,132
enlightenment,startx,1
rpm,symlink,3
ssl,url,2
container,deduplication,1
storage,usb-device,1
scripting,special-characters,2
bashrc,grep,2
data-recovery,permissions,4
amd,x86,2
login,osx,9
kernel,python,2
merge,perl,1
fedora,programming,1
cd-command,function,3
bash-script,networking,2
df,proc,2
gvfs,password,1
libreoffice,signature,1
remote,xforwarding,2
inode,limit,1
nat,tunneling,3
solaris-zones,zsh,1
kvm,lftp,1
ping,vlan,1
drm,mount,1
cygwin,roff,1
binary,tr,2
replace,wc,1
grub2,raid1,5
lighttpd,uhttpd,1
squashfs,tmpfs,2
ntp,rhel,6
ssh,windows-subsystem-for-linux,5
glibc,gnu,1
gcc,semaphore,1
security,vhost,1
hard-disk,home,4
columns,terminal,4
filesystems,pacman,2
macos,strace,1
command,limit,2
keyboard,vmware,1
chrome,ratpoison,1
lan,printing,1
encryption,tunneling,2
rhel,sysvinit,8
compiling,environment-variables,10
fat,rsync,2
bind,configuration,4
date,executable,1
jq,pipe,2
curl,loop-device,1
debian,xdg-user-dirs,1
dmesg,systemd-journald,1
data,stdin,1
newlines,printf,5
systemd-boot,udev,1
angstrom,ssh,1
libreoffice,printing,2
administration,virtualbox,2
data,raid1,1
cpu,gnome3,1
dns,opensuse,2
gzip,password,1
firewall,internet,10
dns,rsync,1
acpi,optimus,1
freebsd,grml,1
netboot,u-boot,1
openbsd,x11,10
wicd,wlan,1
dual-boot,gnome,2
boot,multi-monitor,2
dwm,patch,2
kali-linux,proxy,10
twm,x11,4
automounting,iscsi,1
command-line,permissions,32
openldap,ulimit,1
output,ping,2
libvirtd,networking,7
docker,variable-substitution,1
intellij,x11,4
process,terminal,60
data-recovery,kmail,1
openbox,thinkpad,1
fedora,mime-types,2
for,io-redirection,1
linux-kernel,thinkpad,3
assembly,cubian,1
bashrc,printf,2
android,bluetooth,8
haproxy,tomcat,1
pwd,shell-builtin,1
emacs,process-management,1
gnome3,libinput,3
prompt,su,1
fedora,kernel-parameters,1
debian,permission-denied,1
disk,nice,1
clipboard,rename,1
getopts,regular-expression,1
delay,sysvinit,1
readonly,swap,1
gnome,hardware-compatibility,1
arch-linux,key-authentication,2
application,cpu,2
readonly,reboot,1
sudo,synaptic,2
jboss,logs,2
amazon-ec2,port-forwarding,1
centos,ramdisk,3
ip,security,14
thunar,upgrade,1
apt,tunneling,1
fork,terminal,1
acl,privileges,5
ifconfig,spoofing,1
r,variable,1
daemon,usb-audio,1
samba,security,13
filenames,qt,1
search,web,2
qt4,xorg,1
corruption,scp,1
application,portability,2
mariadb,nixos,1
gnome3,process,1
mailx,tsocks,1
hard-disk,networking,1
executable,gcc,4
bootable,laptop,2
apt,ldap,1
inode,recursive,1
bind-mount,desktop,1
enscript,text,2
drivers,multi-touch,2
emacs,symlink,2
real-time,rsync,1
bind9,rhel,1
awk,exec,1
permissions,video,2
hostname,iptables,1
apache-httpd,readonly,1
r,variable-substitution,1
autocomplete,raspbian,1
login,pwd,1
pam,shadow,5
thunar-volman,xfce,1
autotools,debian,4
chrome,console,1
coreutils,io-redirection,2
linux-mint,mac-address,1
fedora,interrupt,1
access-point,iw,1
posix,variable,2
gmail,ssl,2
fedora,mp3,2
bluez,centos,1
proxy,ssl-bump,2
command-line,watch,5
alias,time,1
cron,xubuntu,2
filenames,spreadsheet,1
output,subshell,1
pdsh,sed,1
inetd,udp,1
console,devices,7
linux-kernel,plasma,1
autotools,perl,1
iostat,read,2
arch-arm,chroot,2
pipe,version,1
privileges,rhel,2
environment-variables,python,19
usb-device,wlan,1
arch-linux,login-manager,1
id3,ripping,1
encfs,files,1
gnome-terminal,scripting,10
asus,brightness,3
arm,wine,1
deb,encryption,1
file-sharing,login,1
multi-monitor,performance,1
software-installation,upgrade,24
cpu-usage,performance,7
line,replace,1
bootable,xfce,1
fedora,ipv4,4
console,key,1
banner,gmail,1
for,rhel,1
fsck,hfs+,4
acpi,intel-graphics,2
arch-linux,gif,1
gui,notifications,2
glibc,r,1
persistence,systemd,1
output,shell,38
bash,pty,1
amd-graphics,proprietary-drivers,5
ttyusb,usb,7
openbox,screenshot,1
64bit,python,3
drm,vlc,1
stdio,tty,1
cifs,troubleshooting,1
diff,rpm,1
connection-sharing,windows,2
assembly,make,2
cpu-usage,libvirt,1
limit,scheduling,3
command-not-found,grep,1
clamav,cron,2
fsck,output,1
iphone,top,1
copy-paste,vim,8
mc,remote,1
broadcast,networking,4
inode,process,1
bash,malware,4
libreoffice,text-processing,7
elasticsearch,init.d,1
bash,safety,1
fedora,shared-folders,2
embedded,glibc,1
character-encoding,java,2
kodi,linux-mint,1
math,variable-substitution,1
rsync,su,1
aix,tcsh,1
keyboard-shortcuts,openbox,17
raspbian,xdotool,2
amazon-ec2,selinux,1
ide,package-management,1
arch-linux,kali-linux,1
read,system-calls,2
aptitude,centos,1
lfs,ubuntu,5
mount,openvz,2
size,window,3
acl,nfsv4,3
interactive,smtp,1
coreutils,osx,5
git,mutt,2
access-control,logs,1
kde5,monitors,1
arch-linux,xfce,64
dmidecode,hard-disk,1
appearance,mate,1
security,uefi,4
intel,video,8
pppd,sighup,1
debian,real-time,4
gnu-parallel,osx,1
configuration,distributions,2
encryption,timeout,1
heartbeat,mac-address,1
disk,fuse,1
cron,hypertext,1
animation,compiz,1
drag-and-drop,osx,1
freebsd,serial-console,5
regular-expression,uniq,1
internet,openssh,1
ksh,windows,1
kvm,video,1
alias,colors,3
startup,virtual-interface,1
firewall,input,1
sftp,users,9
db2,os390,1
architecture,system-programming,1
environment-variables,latex,1
framebuffer,kernel-modules,2
rsyslog,software-installation,1
networking,suse,4
raspberry-pi,smtp,1
special-characters,variable,2
mobaxterm,sftp,1
brace-expansion,centos,1
debian,exit,1
data-recovery,ssh,1
java,permissions,5
display-manager,init-script,1
asp.net,nginx,2
bash,gzip,12
grsecurity,kernel-modules,1
latency,memory-leaks,1
lightdm,sudo,1
boost,core-dump,1
performance,pv,4
rdp,vncviewer,1
buffer,kernel,3
osx,ssd,5
limit,login,5
openssl,quoting,1
iphone,tty,1
fifo,mpd,1
fonts,ruby,1
music,ripping,1
printing,zathura,1
cmake,scripting,1
bandwidth,ifconfig,1
logs,qmail,1
boot,keyboard,14
partition,polkit,1
environment-variables,logs,1
cd-command,oh-my-zsh,2
alpine-linux,useradd,1
browser,chromium-browser,1
lxc,network-interface,4
gnu-screen,tiling-wm,1
notifications,scientific-linux,1
clipboard,vnc,6
apache-httpd,debugging,1
apt,opengl,1
runit,shell,1
environment-variables,useradd,1
not-root-user,perf-event,1
console,nouveau,1
iscsi,openstack,1
configuration,thunderbird,1
performance,ssh,6
editors,path,1
rc,troubleshooting,1
cisco,minicom,1
coreutils,netbsd,1
administration,top,3
device-mapper,readonly,1
linux,pscp,1
command-line,text-processing,233
firewall,yast,1
data,merge,1
files,truncate,2
compiler,interrupt,1
python,virtualenv,18
stderr,sysvinit,1
arch-linux,thunar,5
less,sigint,1
hard-link,scp,1
container,lfs,1
daemon,teamviewer,1
bash,icons,2
kde,ubuntu,43
bash,benchmark,2
wake-on-lan,webserver,1
privacy,w,1
cluster,load-balancing,3
arch-linux,vsftpd,5
boot,checksum,2
laptop,virtualbox,2
dig,rhel,1
init,runit,3
gui,users,2
chroot,libraries,5
kernel-modules,real-time,3
libraries,su,1
hadoop,network-interface,3
function,solaris,2
dns,traffic,1
centos,usb-device,2
cut,variable,3
colors,regular-expression,3
internet,measure,2
daemon,interactive,1
administration,daemon,1
openvpn,yubikey,1
debian,multi-touch,2
linux,nmap,14
coprocesses,fifo,1
background-process,mouse,1
distros,licenses,2
gnu-screen,mouse,3
tail,usb,1
apt,shell-script,18
grep,logs,43
clipboard,x11,61
reboot,shell-script,3
macintosh,syslinux,1
utilities,version,2
fuser,ssh-tunneling,1
git,pkgbuild,1
shell-script,xen,1
boot,numlock,1
dns,filesystems,1
clonezilla,grub,2
dash,gnome3,1
linux-mint,radeon,6
ripping,wav,2
java,windows,3
arduino,lsusb,1
process,static-linking,1
vnc,xming,1
password,ssh-tunneling,3
cups,lan,2
awesome,youtube,1
gtk3,vlc,1
bash,rsync,59
caching,filesystems,2
ifconfig,routing,5
arithmetic,security,1
shell,variable,176
boot,tightvnc,1
scp,sed,2
environment-variables,linux-mint,5
gcc,profile,1
network-namespaces,socket,1
remote-desktop,xfreerdp,6
smartcard,xfreerdp,2
firmware,kde,1
rsync,shell,33
performance,xargs,1
disk-encryption,login,1
fonts,natural-language,2
libinput,upgrade,1
osx,parameter,1
nohup,shell-script,12
armbian,virtualbox,1
curl,printing,1
nautilus,theme,1
gnome3,terminal-emulator,1
gui,reinstall,1
gentoo,maintenance,3
wildcards,zsh,63
gvfs,mount,8
autostart,networking,1
netcat,socks,1
grep,read,1
administration,fstab,1
patch,version-control,2
login,replication,1
aix,stderr,1
checkinstall,compiling,1
lxc,nftables,1
authentication,wpa-supplicant,1
malware,pkgbuild,1
rxvt,ssh,1
cpanel,symlink,1
lag,video,1
input,iptables,1
python,sshfs,1
gui,select,1
accounts,files,3
permissions,sshfs,16
mplayer,window-geometry,1
gcc,opensuse,8
gnome,grub2,2
security,verification,4
console,io-redirection,5
pip,sudo,3
cluster,redhat-satellite,1
debugging,files,2
audio,clock,1
mariadb,python,1
mutter,startx,1
character-encoding,lpr,1
hostname,ssh-config,2
plugin,vi,2
kde,thumbnails,1
boot,yum,2
productivity,utilities,1
pkcs11,smartcard,1
not-root-user,startup,3
fedora,ip,3
configuration,xfce4-terminal,1
linux-kernel,petalinux,1
email,ipset,1
directory,xfce,1
pxe,terminal,1
eject,power-management,1
dsl,password,1
sandbox,terminal,1
lxc,stability,1
nfs,readonly,1
command-line,temperature,1
slackware,software-raid,1
apache-hive,sql,2
drm,music,1
chrome,opengl,2
command,text-processing,7
openssl,tunneling,3
kill,session,3
here-document,json,2
email,zabbix,1
debian,rpmbuild,1
software-updates,wine,1
console,kde,4
crunchbang,kernel,1
aix,storage,2
high-dpi,i3,1
less,systemd,1
file-copy,port-forwarding,1
manjaro,pip,1
bridge,webserver,1
armbian,dhcp,1
freebsd,uefi,8
xinerama,xorg,10
deepin,fingerprint,1
cut,search,4
bash,gnome,22
fuse,history,1
configuration,timezone,3
dd,sfdisk,1
test,variable-substitution,4
awesome,typing-break,1
directory,ranger,2
c++,linux-headers,1
cd-command,curl,1
dependencies,zypper,4
deb,manjaro,1
reboot,xfce,1
ping,resolvconf,1
refind,ubuntu,4
directory,freebsd,4
benchmark,multipath-storage,1
kde4,theme,2
apache-httpd,smtp,2
files,process-management,3
bind,puppet,1
opensuse,vpn,5
gdb,permissions,2
core-dump,video,1
ext4,sata,2
bash,sql,18
conversion,perl,1
arguments,function,25
centos,chef,2
graphics,uninstall,1
64bit,settings,1
inode,vps,1
pae,security,1
debugging,setuid,1
logs,wildcards,2
bash,session,10
backup,email,5
cut,ksh,2
hardware,utilities,2
apache-httpd,subversion,9
images,truecrypt,1
nas,sd-card,1
kali-linux,xfce,6
ftp,wordpress,1
live-usb,rsync,1
linux,router,43
load,proxy,1
gdb,opensuse,2
bcache,opensuse,1
centos,mysql,103
display,java,2
file-comparison,spreadsheet,1
delete,samba,1
cd-command,profile,1
snmp,text-processing,4
osx,virtualenv,1
jails,su,2
linux-kernel,user-input,1
internet,remote,3
utilities,words,1
daemon,linux-audit,1
iptables,subnets,1
mv,selinux,1
excel,file-copy,1
chmod,postgresql,1
animation,grub,1
ipv6,opensuse,1
hard-link,synchronization,1
hp-ux,lpq,1
bash,xorg,13
debian,icmp,2
rhel,umask,7
btrfs,replace,2
eduroam,linux,1
hardware,internet,1
firmware,flashrom,1
dynamic-dns,raspberry-pi,1
cache,wordpress,1
checksum,nfs,1
grep,node.js,1
active-directory,prompt,1
home,key-authentication,2
cpp,ioctl,1
chkrootkit,testing,1
gem,ruby,10
scripting,whois,2
concurrency,coprocesses,1
kernel-modules,networkcard,2
inode,vi,2
perl,working-directory,1
chown,executable,1
bridge,internet,2
security,signals,1
hibernate,xscreensaver,1
boot,union-mount,1
curl,shell,24
embedded,ubuntu,6
boost,bsd-ports,1
android,netbook,1
kde,putty,1
brightness,openbox,1
rhel,text-formatting,1
gnu,split,2
chmod,shell,12
openvms,remote,1
deadbeef,scripting,1
gpu,xorg,12
command-line,variable-substitution,7
byobu,libnotify,1
make,parameter,1
dhcp,etc,1
namespace,route,1
dpms,mpv,1
pipe,security,4
file-manager,lubuntu,1
bash-script,rename,1
glib,kali-linux,1
nixos,patchelf,2
system-installation,windows,49
osx-finder,timestamps,1
eclipse,shell-script,1
emacs,xdg,1
notifications,suspend,1
hp-ux,links,1
javascript,software-installation,2
cut,split,5
acer,dual-boot,2
mutt,spamassasin,1
acl,lsm,1
multicast,udp,7
encryption,tor,1
privoxy,rewrite,1
gnuplot,images,1
rewrite,virtual-host,1
dokuwiki,permissions,1
printing,shell,5
command-line,raspbian,6
systemd,usb,9
cron,letsencrypt,1
linux,xml,25
animation,lxde,1
network-namespaces,route,1
beagleboneblack,kernel,1
drm,osx,1
process,wait,3
plasma5,ppa,1
mktemp,ram,1
firefox,protocols,1
environment-variables,x-server,1
gtk,make,2
file-copy,nc,1
console,rxvt,1
shared-folders,wordpress,1
fedora,iptables,25
openbsd,pthreads,1
open-source,rhel,2
boot,proc,2
android,sd-card,5
multiuser,vpn,1
multiprocessor,shell,1
cd-command,working-directory,2
gnome,xrdp,1
ssd,trim,20
aix,editors,1
oracle-linux,virtual-machine,2
fedora,tcpdump,3
iscsi,mount,3
pipe,random,1
distribution-choice,freebsd,4
dual-boot,lts,1
cern-root,shell-script,1
compiling,kde,3
json,perl,3
i3,login,1
ssh,vmware,13
mount,phone,2
find,wc,12
connectivity,systemd,1
amd,shell-script,1
cups,postscript,9
acl,rsnapshot,1
login,networking,3
linux,tty,105
scripting,slackware,1
grub,hyper-v,1
html,shell-script,23
bash-profile,sudo,1
grub,time,1
printing,serial-port,1
certificates,kmail,1
email,subversion,1
command-line,svg,3
cd-command,cron,1
window-decorations,window-title,1
ubuntu,xdotool,3
device-tree,disk,1
dd-wrt,ip,1
arch-linux,skylake,3
graphics,menu,1
fhs,init-script,1
altlinux,services,1
columns,whitespace,2
arch-linux,png,1
assembly,compiler,1
ssl,tls,7
linux-audit,linux-kernel,2
serial-port,system-installation,1
info,linux,4
keyboard-shortcuts,xbindkeys,18
fsck,virtual-machine,1
pci,proc,2
mac-address,macintosh,1
io,system-recovery,1
anaconda,rm,1
command-substitution,concalc,1
info,pacman,1
remote,users,3
hardware,rhel,7
boot,qemu,14
bind-mount,corruption,1
centos,lxc,5
boot,sshfs,1
antergos,terminal,2
raspbian,stdin,1
drivers,graphic-card,11
file-copy,large-files,1
csv,output,2
cd-command,which,2
cinnamon,opengl,1
iot,shell-script,2
ncurses,pgp,1
date,virtualization,1
docker,upload,2
fedora,ncurses,1
login,root,34
ppa,qt,1
disk-usage,linux-mint,14
linker,programming,3
hostname,netbsd,1
command-history,password,1
mount,zip,2
chrome,yum,7
getent,permissions,1
javascript,terminal,2
device-mapper,virtio,1
ownership,su,1
ldap,samba,12
fsck,gparted,3
metric,wifi,1
graphics,hdmi,6
encryption,thunderbird,1
c,compiling,37
embedded,networkcard,1
nvidia,text-processing,1
cups,google-cloud-print,1
perl,stdout,1
suse,virtualbox,1
gem,osx,1
gnome-terminal,php,1
bacula,x11,1
osx,vi,3
plugin,slackware,1
not-root-user,top,1
streaming,usb-device,1
c,memory-leaks,1
cbr,ffmpeg,1
hosts,sudo,3
licenses,open-source,4
fedora,gsm,1
dm-crypt,openpgp,1
documents,scanner,1
node.js,ruby,1
certificates,security,14
embedded,passwd,1
character-encoding,terminfo,1
host-name-resolution,ip-address,1
cygwin,shellshock,1
monitors,tty,2
repository,wget,2
filesystems,source,3
c,daemon,4
centos,performance,15
manjaro,theme,2
hp,programming,1
desktop-environment,gdm,4
memory,virtual-memory,92
filenames,systemd,1
cups,kali-linux,1
keyboard-backlight,keyboard-shortcuts,1
apache-httpd,pcre,2
python,tcsh,2
software-installation,voip,3
download,opensuse,1
man,selinux,1
connection-sharing,pptp,1
linux-mint,nemo,28
access-control,monitoring,1
linux-kernel,readonly,2
authentication,ethernet,1
gnuplot,pipe,1
hostapd,networkmanager,3
kde5,kerberos,1
sleep,terminal,1
firefox,vmware-workstation,1
lvm,thinpool,5
eclipse,gui,3
solaris,sssd,1
cygwin,filenames,2
access-point,networkmanager,1
configuration,uefi,1
firmware,initramfs,1
checksum,cron,2
kvm,time,1
editors,shell,5
defaults,editors,2
init-script,priority,1
freenas,opensolaris,1
gmail,mutt,2
logs,text-processing,56
http,packet,1
debian,qtcreator,2
networkmanager,privileges,1
slackware,virtual-machine,2
kernel-parameters,xorg,1
trisquel,x-server,1
gnu-screen,iptables,1
bash,elf,2
gnome-keyring,linux,2
array,ksh,11
openbox,workspaces,2
make,web,1
editors,logs,1
lag,pulseaudio,1
login-manager,screenshot,1
networking,wordpress,2
thinkpad,ubuntu,13
